[0.00-21.56] 各位同志先请不吝
[682.54-685.10] 所以我覺得應該也是蠻有挑戰性的
[685.14-687.18] 如果就我們第一期的表現
[687.18-689.24] 因為comparing to其他的
[689.24-692.56] 就是Color相關的廠商來講的話
[692.56-694.62] 其實我覺得我們是比較slow的
[694.62-697.18] 那我想可能是因為跟產品的結構有關
[697.18-699.48] 或者是跟我們家自己策略有關
[699.48-700.76] 但是因為最我想
[700.76-702.30] 第一個問題想要請教你
[702.30-704.08] 要如何去達成
[704.08-704.86] 這是第一個問題
[704.86-705.88] 第二個問題是
[705.88-708.94] 當然我們在這個毛利的表現我覺得是
[708.94-710.22] 非常不錯啦
[710.22-712.02] 就是像你所說的
[712.02-714.58] 我們最重要的是要調這個結構
[714.58-715.10] 那這個結構
[715.10-716.64] 我先講一下就是
[716.64-718.68] 剛剛先提到的問題
[718.68-719.70] 就是有兩方面
[719.70-720.48] 一個是
[720.48-722.02] 一個是產品的組合
[722.02-723.54] 另外一個就是Cost down
[723.54-725.08] 那我講Cost的部分來講的話
[725.08-726.62] 除了我們自身的Cost down
[726.62-729.94] 另外一部分來自於本來的金元的成本就是會下降
[729.94-731.22] 可以從這邊來看的話
[731.22-733.28] 可以講一下這個的趨勢
[733.28-735.06] 就是也順便講一下Pedomics
[735.06-737.38] 再來就是我們這個Power的這個
[737.38-738.66] 這個金元的成本
[738.66-741.46] 現在目前的定價方式是如何
[741.46-743.26] 然後我們現在的話就是
[743.26-744.54] 可以這樣update一下就是
[744.54-746.34] 我們在這個金元這一塊來講
[746.34-747.36] 跟這些公司
[747.36-748.38] 這個除了不管是
[748.38-750.68] 中國的或者是
[750.68-753.24] 臺灣的或者是一些二線的一線的
[753.24-754.26] 這個的組成
[754.26-756.82] 會不會跟我們講一下大概有什麼樣的變化
[756.82-758.36] 也讓我們明顯說
[758.36-760.16] 我們家是不是還可以再
[760.16-761.18] 持續的領出呢
[761.18-762.20] 麻煩
[764.26-769.38] 我先大概先從你剛剛比較後面的問題先回答
[769.38-771.68] 就是說金元的這一塊
[771.68-773.72] 我們的供應鏈的組成
[773.72-774.50] 那
[774.54-779.92] 我想過去我們大致上最大的供應商是在臺灣
[779.92-784.52] 那我們在去年也敲定了一個
[784.52-786.58] 很大的合作夥伴也是在臺灣
[786.58-790.16] 所以就目前來看中低壓的
[790.16-792.98] 中低壓產品過去我們用了8吋
[792.98-796.30] 用一個8吋然後用兩個6吋
[796.30-801.16] 那我們去年敲定一個非常大的合作夥伴在8吋
[801.16-804.50] 那剛好這個合作夥伴也給我們非常好的供應商
[804.54-805.56] 很大的support
[805.56-810.18] 所以那個量會隨著我們跟他的合作在放大的過程
[810.18-814.02] 我整體的cost charge還有機會去繼續
[814.02-818.10] 平均的cost應該還有機會繼續往下
[818.10-819.90] 這是我想就從
[819.90-821.70] 金元的供應鏈這邊
[821.70-826.30] 那高壓的部分就是速克槍基本上
[826.30-831.94] 過去是一直在用一家中國的供應商
[831.94-834.24] 從去年開始我們也
[834.24-837.06] 把一些產品在
[837.06-839.36] 韓國的金元廠也開出來了
[839.36-841.92] 那現在在退廣中
[841.92-843.46] 我只能說
[843.46-846.02] 基本上這個對我們未來
[846.02-854.20] 產品組合上面的我們的一些調度是更容易處理的
[854.20-856.00] 那我想就是說
[856.00-857.80] 還是回到剛剛就是說
[857.80-858.82] 那今年
[858.82-862.14] 那個附頂這一邊怎麼去
[862.14-864.20] 今年看起來相對有新的條件
[864.20-866.00] 那這個挑戰在浮出來
[866.00-868.30] 那我們怎麼去
[868.30-873.68] 確保就是說我們能夠達成我們今年在營收上的目標
[873.68-875.98] 主要還是在一個就是說在
[875.98-877.52] 23年的時候
[877.52-880.58] 附頂其實我們在一些內部的調整過程
[880.58-882.12] 包含一些
[882.12-887.50] 其實競爭力不強的產品其實客人會喜歡繼續用
[887.50-891.84] 因為有一些老產品但是cost charge不太好
[891.84-893.64] 那客人
[893.64-896.20] 因為用習慣了他會一直想要繼續用下去
[896.20-899.02] 但是這個會走著走著我的毛利會一直掉
[899.02-900.30] 掉到甚至
[900.30-903.12] 負得的時候他都還想要繼續用
[903.12-906.18] 那所以有一些這樣的產品在
[906.18-908.48] 去年我們花了一些功夫啦
[908.48-910.54] 跟客人也去
[910.54-914.12] 談過了就是說慢慢的這些產品線我們要
[914.12-916.94] 從附頂的供應中慢慢退出
[916.94-918.72] 那這個也影響到
[918.72-921.54] 附頂有一些revenue
[921.54-923.08] 因為我退出了
[923.08-923.60] 我把
[923.64-925.18] 舊的貨品掉
[925.18-926.96] 那我要新的
[926.96-929.78] 產品給他去認證這有一個
[929.78-931.32] 有一個過渡期
[931.32-932.34] 那
[932.34-935.16] 這些活動慢慢的會
[935.16-937.46] 會在今年又重新顯現出來
[937.46-938.74] 就是去年
[938.74-941.56] 在附頂的角來看這是一個
[941.56-944.88] 對營收可能是一個稍微有一部分的負面的因素
[944.88-948.72] 但是會成為正面的因素在今年
[948.72-953.08] 那我想這是一部分另外我們在
[953.08-953.60] 風扇就是
[953.60-959.24] 跟伺服器有關這塊的其實你會看到這是一個成長很快的
[959.24-963.32] 那我們目前看到這一塊的動能其實是還在
[963.32-965.38] 所以這會是一個
[965.38-966.66] 好的factor
[966.66-971.00] 那我想各位可能也看到高壓的產品其實
[971.00-973.82] 大概是這兩年來相對比較弱的
[973.82-974.84] 那我想
[974.84-975.88] 這個
[975.88-979.96] 短期內我們是認為可能也不太容易改變
[979.96-983.04] 我想高壓的產品應該
[983.04-986.88] 會是在台灣做這塊比較多的
[986.88-991.74] 但這塊的競爭的對手幾乎都是歐美的IDM為主
[991.74-996.86] 這些歐美的IDM在汽車產業不好的情況之下
[996.86-1000.44] 他很大幅的回來搶基本上是在這塊
[1000.44-1004.54] 那這個附頂在這邊承受的壓力是偏大的
[1004.54-1006.60] 我必須承認這是
[1006.60-1010.18] 但是我們在中低壓這邊的產品在
[1010.18-1013.00] 不論是在PC啦或是在
[1013.04-1016.62] 基本是在電源供應器其實都還是持續在往上
[1016.62-1018.42] 那我想
[1018.42-1021.48] 我們大概我只能說我們現在
[1021.48-1025.58] 大概努力的方向大概是這些啦至於CostFactual
[1025.58-1027.38] 那邊
[1027.38-1030.20] 我想跟各供應商大致上
[1030.20-1033.26] 有一些是敲定一整年的價格
[1033.26-1036.84] 那另外有一些基本上隨著
[1036.84-1039.92] 季度還是有一些空間繼續往下
[1039.92-1042.74] 大致上用這樣來回答
[1043.04-1048.16] 那謝謝各位的疑問以及解說
[1048.16-1052.00] 那我們今天不禁把說明快點到此結束
[1052.00-1053.54] 那第一度各位身體健康
[1053.54-1054.82] 萬事如意謝謝
