[0.00-4.20] Frank 第二季的簡報跟各位說明一下
[4.80-8.52] 好 線上的各位大家午安
[8.68-13.60] 接下來我來報告元大金控在2025年上半年的績效表現
[1460.76-1463.76] 那在簡報裡面各位也看到
[1463.76-1469.76] 我們在第29頁裡面
[1469.76-1471.76] 各位也可以明顯看到
[1471.76-1474.76] 外幣的Split的確比台幣高
[1474.76-1477.76] 這也就是為什麼Nin成長的動能
[1477.76-1479.76] 主要是來自這一段
[1479.76-1482.76] 但是隨著下半年可能Fed會降息
[1482.76-1485.76] 或是台幣可能會有一些變動
[1485.76-1488.76] 以保守政策來說我們希望
[1488.76-1490.76] 如同剛才Frank跟各位報告的
[1490.76-1492.76] 我們希望下半年的部分
[1492.76-1495.76] 我們的Nin能夠維持在0.97左右
[1495.76-1497.76] 這是我們目前的一個看法
[1503.76-1505.76] 各位先進還有沒有其他提問
[1508.76-1509.76] 副總不好意思
[1509.76-1510.76] 不好意思我是Oti
[1510.76-1512.76] 還是再追加一個問題不好意思
[1512.76-1516.76] 就是剛剛那個16頁其實我蠻好奇
[1516.76-1519.76] 就是我們現在對犯證券區的
[1519.76-1522.76] 一個國外營收希望就是往12%方向
[1522.76-1523.76] 成長去走
[1523.76-1526.76] 因為我看其實我們都是集中在
[1526.76-1529.76] 就是亞洲這個部分
[1529.76-1531.76] 因為剛好今年有個問題就是說
[1531.76-1532.76] 隨著我們這個獲利比重
[1532.76-1534.76] 如果持續提升的狀況下
[1534.76-1538.76] 我們未來這一塊匯率風險
[1538.76-1541.76] 是要怎麼去控有沒有什麼一個想法
[1541.76-1542.76] 可以分享給我們
[1542.76-1547.76] 基本上來說你剛才提到的問題分兩段
[1547.76-1550.76] 一段是我們在國外的投資
[1550.76-1553.76] 它基本上是用當地的貨幣
[1553.76-1556.76] 所以要匯兌在台灣的帳上的時候
[1556.76-1558.76] 那個是放在Balance sheet
[1558.76-1559.76] 不是放在水利點
[1559.76-1561.76] 就在匯兌其他水利
[1561.76-1564.76] 那會反映在鏡子裡面
[1564.76-1566.76] 所以第一個跟您說明的
[1566.76-1569.76] 不管我們是在香港或是泰國
[1569.76-1572.76] 在韓國不同的匕別裡面
[1572.76-1574.76] 它都會在一個我們的
[1574.76-1578.76] 資產負債表裡面的一個匯兌義
[1578.76-1580.76] 所以這個你可以大概可以從財報
[1580.76-1582.76] 可以看到這個地方
[1582.76-1584.76] 另外一個點您有提到
[1584.76-1586.76] 第二個問題是
[1590.76-1591.76] 喂 Otis
[1591.76-1593.76] 是是副總
[1593.76-1596.76] 會對我大概先跟你講了
[1597.76-1598.76] 理解
[1598.76-1599.76] 喂
[1599.76-1600.76] 是
[1600.76-1602.76] 因為我的concern
[1602.76-1606.76] 我比較就是有點擔心就是說
[1606.76-1608.76] 因為其實像第二季就是
[1608.76-1612.76] 台幣對亞幣就是獨搶
[1612.76-1614.76] 其實我們所有的
[1614.76-1617.76] 其他就是等於我們雜幣的一個匯率
[1617.76-1619.76] 其實對我台幣其實
[1619.76-1622.76] 當然第一個因為NFB禁止會有一個
[1622.76-1624.76] 會有一個減損的一個狀況
[1624.76-1626.76] 當然我們那些所有的TPL
[1626.76-1628.76] 就是我損益表上面的回來的收入
[1628.76-1630.76] 也會有收到這個影響
[1630.76-1632.76] 那就是說我們一旦這個部位
[1632.76-1634.76] 就是因為我們對亞太的這些券商
[1634.76-1636.76] 其實對我台幣來說
[1636.76-1638.76] 我覺得都是比較偏雜幣
[1638.76-1640.76] 當然大家會對順風的時候是會不錯
[1640.76-1642.76] 但是如果一旦發生像4月這種
[1642.76-1645.76] 台幣就是對整個雜幣獨搶的狀況下
[1645.76-1648.76] 我是比較想說我們這個部分的風險
[1648.76-1650.76] 就是有沒有在
[1650.76-1652.76] 有沒有一些indicator
[1652.76-1654.76] 或者是我們內部有些process
[1654.76-1656.76] 在monitor這些風險這樣子
[1656.76-1658.76] 就這樣我當然我
[1658.76-1660.76] 對對對大概是這樣的想法
[1660.76-1662.76] 第一個說明我們的海外轉投資
[1662.76-1664.76] 都是處於長期投資
[1664.76-1666.76] 那我剛才第一個已經跟各位說明過的
[1666.76-1669.76] 當地的貨幣也許從我們角度叫做雜幣
[1669.76-1671.76] 但是我們在
[1671.76-1673.76] 因為是長期投資的關係
[1673.76-1675.76] 所以他的匯兌損益
[1675.76-1677.76] 是放在所謂的資產負債表
[1677.76-1679.76] 第二個問題是
[1679.76-1681.76] 以元大證券現在的淨值
[1681.76-1683.76] 接近1500億
[1683.76-1685.76] 這些海外的轉投資
[1685.76-1687.76] 相對1500億淨值來說
[1687.76-1689.76] 數字是不大的
[1689.76-1691.76] 所以沒有像你剛才講的這部分
[1691.76-1693.76] 那因為是長期投資的部分
[1693.76-1695.76] 所以也不會像
[1695.76-1697.76] 壽險一樣做什麼避險
[1697.76-1699.76] 是沒有這種避險的東西
[1705.76-1707.76] 理解理解了謝謝理解
[1707.76-1709.76] 然後另外一個
[1709.76-1711.76] 先進提的一個問題是
[1711.76-1713.76] 近年我們銀行的
[1713.76-1715.76] 資本市主率有提升
[1715.76-1717.76] 那背後VIS
[1717.76-1719.76] 的計算新規
[1719.76-1721.76] 交易風險
[1721.76-1723.76] 還有企業上路
[1723.76-1725.76] 對資本好我大概跟你們說明一下
[1725.76-1727.76] 基本上我們
[1727.76-1729.76] 資本市主率的充足
[1729.76-1731.76] 來自於兩段
[1731.76-1733.76] 一段是我們的銀行獲利
[1733.76-1735.76] 的增長對VIS
