[0.00-2.00] 各位,今天我們都感謝
[773.00-779.00] 我們在這項目上 將提供更多的 財政策略。
[779.00-785.00] 在第一季, 自動商業 產品 將提供更多的 財政策略。
[786.00-791.00] 現在, 我們在2021年 將提供更多的 財政策略。
[791.00-797.00] 我們在這項目上 將提供更多的 財政策略。
[797.00-803.00] 現在, 我們在2021年 將提供更多的 財政策略。
[803.00-809.00] 在第二季, 自動商業 產品 將提供更多的 財政策略。
[809.00-813.00] 這將成為2025年最重要的一項目標
[814.00-818.00] 現時交易的流動力是另一個很重要的因素
[818.00-821.00] 這將影響到我們的交易表現
[822.00-824.00] 在過去的一年裡
[824.00-827.00] 我們已經建立了一個交易機構
[827.00-831.00] 以經營這三個項目的經濟為主
[832.00-834.00] 我們在日常的階段
[834.00-848.26] 跟更新標籤相
[849.00-854.00] 我們的交易典型 있다고全新可能
[855.00-856.36] attendings
[856.36-857.76] 引發成 présent現 situation
[857.76-859.24] 聞好了
[859.24-861.00] 因為它是我們的從장님
[861.00-863.78] 剩裁剩益與跨太平衡
[864.86-867.16] 我們ли預測到整體上
[867.66-870.08] 產業出現的提升
[870.72-872.74] 立即減少了抑壓
[873.94-874.56] estiver
[875.00-876.70] 我挺耶
[876.86-879.34] 很高興會感謝
[880.02-881.82] 讓我們丰富的從中
[882.38-884.06] 帶領了1這滴猜測
[884.54-885.70] 以下的場景
[886.06-886.70] 寧可暖心
[887.28-890.34] 畢竟跨太平 posición
[890.34-894.28] 會讓我們快速完成 讓我們 Pull on今次這個方案
[895.44-898.36] 接下來iously
[898.36-907.96] 我持續在即將通知的這個方案 可 visiting
[909.12-915.16] refreshen sharing
[915.16-917.00] 我興奮的
[917.00-921.64] 每月买了50.2亿� galentar
[921.64-923.68] Nom beast
[923.68-928.00] 目前有34亿尚丰
[928.00-939.68] 我们在原周农 dynamite
[940.24-943.68] 也许上运动 与20天的
[943.68-948.18] 這次的展開是為了提供更多的可能性
[948.18-951.18] 來回應美國的虛擬貨幣政策
[951.18-954.18] 我們看到CSP客戶們
[954.18-957.18] 在AI Compute和資料中心的設計下
[957.18-959.18] 持續著很大的進展
[959.18-964.68] 最近CATX的指揮從上述美國的虛擬貨幣
[964.68-967.68] 證實了他們將會在2025年
[967.68-969.68] 在AI的經濟發展上
[969.68-971.68] 在ерб爾今年過於這半年
[971.68-981.68] 儘管出了很大的發展
[981.68-982.68] 每個年時間的速度
[982.68-985.68] 也證實了竟然跟使用程式同步
[985.68-991.54] 駕馭了更多的問題
[992.54-993.68] 在這階段
[993.68-997.68] 在這次發展中,Qantas已經有了
[997.68-999.68] 實際的實際實驗,
[999.68-1001.68] 並且有了精準的計劃,
[1001.68-1003.68] 有了智能的環境,
[1003.68-1005.68] 並且有了操作的操作,
[1005.68-1007.68] 並且有了實際實驗,
[1007.68-1009.68] 並且有了實際實驗,
[1009.68-1011.68] 並且有了實際實驗,
[1011.68-1013.68] 我們在全球的存在中,
[1013.68-1015.68] 我們仍然在於
[1015.68-1017.68] 在於進展、成果、
[1017.68-1019.68] 效率和運用上的進展,
[1019.68-1021.68] 並且在於進展、成果、
[1021.68-1023.68] 和經營相關的環境中,
[1023.68-1025.68] 我們在整體上,
[1025.68-1027.68] 我們仍然在於
[1027.68-1029.68] 在整個年期間
[1029.68-1031.68] 在整個年期間
[1031.68-1033.68] 我們確信我們的能力
[1033.68-1035.68] 能夠保持著
[1035.68-1037.68] 我們的經濟經濟的進展,
[1037.68-1039.68] 我們將持續地
[1039.68-1041.68] 在經濟增長中
[1041.68-1043.68] 將持續地
[1043.68-1045.68] 在經濟增長中
[1045.68-1047.68] 我們相信Qantas
[1047.68-1049.68] 能夠能夠能夠
[1049.68-1051.68] 保持經濟發展、
[1051.68-1053.68] 新發展和經濟經濟合作
[1053.68-1055.68] 在經濟增長中。
[1055.68-1057.68] 這就是我們在
[1057.68-1059.68] Birds Quarters 成果和運用的
[1059.68-1061.68] 實驗。
[1061.68-1063.68] 現在我們將開通Q&A,
[1063.68-1065.68] 請問一問,
[1065.68-1067.68] 然後我們會進行一個一致的追蹤。
[1067.68-1069.68] 謝謝你。
[1069.68-1071.68] 現在請我們進行第一問。
[1073.68-1075.68] 是的,當然,謝謝你,Karo,
[1075.68-1077.68] 對於金融的提問。
[1077.68-1079.68] 現在我們將開通Q&A。
[1079.68-1081.68] 如果您想問一問,
[1081.68-1083.68] 請用提起手的功能,
[1083.68-1085.68] 我們會在此提問中呼籲您。
[1085.68-1087.68] 為了提醒您,
[1087.68-1089.68] 請自己一致的追蹤,
[1089.68-1091.68] 並且一致的追蹤,
[1091.68-1093.68] 以讓更多的參與。
[1093.68-1095.68] 謝謝您的合作。
[1095.68-1097.68] 我們先進行
[1097.68-1099.68] 第一問的提問。
[1099.68-1101.68] Randy,
[1101.68-1103.68] 請進行。
[1103.68-1105.68] 是的,
[1105.68-1107.68] 謝謝你接受這次的呼籲。
[1107.68-1109.68] 我的第一問
[1109.68-1111.68] 是想問
[1111.68-1113.68] 第二季的
[1113.68-1115.68] 出入。
[1115.68-1117.68] 首先,在第一季
[1117.68-1119.68] 你開始了
[1119.68-1121.68] 20%的進展。
[1121.68-1123.68] 我希望你
[1123.68-1125.68] 可以在我們進行中
[1125.68-1127.68] 提出
[1127.68-1129.68] 您的看法
[1129.68-1131.68] 如何提升
[1131.68-1133.68] 第二季的成果。
[1133.68-1135.68] 如果您可以分開
[1135.68-1137.68] AIS、
[1137.68-1139.68] AIS-P、AIS-RAC
[1139.68-1141.68] 和低AIS-P
[1141.68-1143.68] 的分別,
[1143.68-1145.68] 並且以
[1145.68-1147.68] 整體的力量
[1147.68-1149.68] 為期望。
[1151.68-1153.68] 謝謝Randy,
[1153.68-1155.68] 您的提問。
[1155.68-1157.68] Kara在之前提到的提問中,
[1157.68-1159.68] 新的高AIS-P
[1159.68-1161.68] 和AIS-P的成果
[1161.68-1163.68] 在這季度上,
[1163.68-1165.68] 我們期望成果
[1165.68-1167.68] 會繼續增長
[1167.68-1169.68] 在AIS-P
[1169.68-1171.68] 和AIS-RAC
[1171.68-1173.68] 的分別。
[1173.68-1175.68] 在第一季的60%
[1175.68-1177.68] 會繼續增長到
[1177.68-1179.68] 70%
[1179.68-1181.68] 在這季度上。
[1181.68-1183.68] 我們希望能看到
[1183.68-1185.68] 更多高AIS-P的成果。
[1185.68-1187.68] 這就是我提到的
[1187.68-1189.68] 提問。
[1189.68-1191.68] 我會再提到
[1191.68-1193.68] AIS-P的成果。
[1193.68-1195.68] 在第二季的
[1195.68-1197.68] 成果中,
[1197.68-1199.68] 我們期望
[1199.68-1201.68] 成果會繼續增長。
[1201.68-1203.68] 我會再提到
[1203.68-1205.68] 兩部分的提問。
[1205.68-1207.68] 如果您可以提出
[1207.68-1209.68] 整體的力量
[1209.68-1211.68] 在第一季的成果
[1211.68-1213.68] 如何提升?
[1213.68-1215.68] 它們是一個穩定的市場,
[1215.68-1217.68] 但它們的成果
[1217.68-1219.68] 是如何提升?
[1219.68-1221.68] 第二部分的提問
[1221.68-1223.68] 我其實想問
[1223.68-1225.68] GPU的供應
[1225.68-1227.68] 。
[1227.68-1229.68] 您提到
[1229.68-1231.68] GPU的供應
[1231.68-1233.68] 但我們看到很多
[1233.68-1235.68] RAC的延遲
[1235.68-1237.68] 但其實是GPU的運作
[1237.68-1239.68] 更順暢。
[1239.68-1241.68] 我確實在GPU上
[1241.68-1243.68] 有些困難
[1243.68-1245.68] 如果您的供應
[1245.68-1247.68] 是高AIS-P的
[1247.68-1249.68] 或是
[1249.68-1251.68] 高AIS-P的供應
[1251.68-1253.68] 或是
[1253.68-1255.68] RAC的
[1255.68-1257.68] 低AIS-P的供應。
[1257.68-1259.68] 我只是想問
[1259.68-1261.68] 你對DOY的供應
[1261.68-1263.68] 有什麼困難?
[1263.68-1265.68] 請問您的問題
[1265.68-1267.68] 我會把這個問題
[1267.68-1269.68] 交給您的
[1269.68-1271.68] 首先,供應
[1271.68-1273.68] 要提升
[1273.68-1275.68] DDR中心的供應
[1275.68-1277.68] 要提升
[1277.68-1279.68] 它們的供應
[1279.68-1281.68] 要提升
[1281.68-1283.68] 它們的供應
[1283.68-1285.68] 要提升
[1285.68-1287.68] 它們的供應
[1287.68-1289.68] 要提升
[1289.68-1291.68] 它們要提升
[1291.68-1293.68] 在市場上
[1293.68-1295.68] 在第一季
[1295.68-1297.68] 因為供應
[1297.68-1299.68] 高AIS-P的供應
[1299.68-1301.68] 供應
[1301.68-1303.68] 供應
[1303.68-1305.68] 更加
[1305.68-1307.68] 供應的供應
[1307.68-1309.68] 當然
[1309.68-1311.68] 這是供應
[1311.68-1313.68] 高AIS-P
[1313.68-1315.68] 低AIS-P的供應
[1315.68-1317.68] 不論是
[1317.68-1319.68] 供應或是供應的損失
[1319.68-1321.68] 我會把這個 whistles
[1321.68-1323.68] 轉鼻角 avenge
[1323.68-1332.28] 這邊還削
[1334.68-1335.68] 我們來到第二季
[1335.68-1336.68] 供應
[1336.68-1338.68] 高AIS-P損失
[1338.68-1340.72] 都在提升
[1341.68-1345.68] 產品低 Memory
[1345.68-1348.68] 它們供應
[1348.68-1351.02] 仍然有很强的规律
[1351.02-1353.56] 所以这种是一种调整
[1353.56-1357.56] 高ASP和低ASP的差距
[1359.88-1360.68] 好的 谢谢
[1360.68-1362.88] 如果您可以在传达传达传达传达
[1362.88-1364.48] 然后我再回到网络
[1366.72-1368.38] 它们继续往下走
[1368.38-1369.68] 但是在这一部分
[1369.68-1372.48] 高ASP的传达传达传达
[1372.48-1377.98] 应该比低ASP的传达传达更好
[1378.98-1380.84] 你要 kids
[1382.58-1383.32] 好吧 谢谢
[1383.32-1386.32] method
[1386.32-1397.60] 谢谢 bey
[1399.30-1400.94] 嗨
[1400.94-1401.90] 它们是
[1401.90-1403.70] 好
[1404.24-1406.88] 您 playable
[1406.88-1408.24] 是
[1408.24-1410.24] 我的第一問是在Notebook
[1410.24-1412.24] 我想問一下
[1412.24-1414.24] 我對Notebook的投資額
[1414.24-1416.24] 在第一季中心的投資額
[1416.24-1418.24] 是25%的
[1418.24-1420.24] 所以我第一問是
[1420.24-1422.24] 我們在Q1中
[1422.24-1424.24] 在Chromebook的兌換
[1424.24-1428.24] 是否有很強勁的回報?
[1428.24-1430.24] 在Q1中
[1434.24-1438.24] 現在我們在Chromebook中
[1438.24-1440.24] Chromebook還在回到
[1440.24-1442.24] 常用的圖案
[1442.24-1444.24] 只有10%
[1444.24-1446.24] 不然就只有一些
[1446.24-1448.24] 所以現在我們在
[1448.24-1450.24] 整個NURBISH
[1450.24-1452.24] 圖案中保持保持保持保持
[1452.24-1454.24] 保持保持保持
[1454.24-1456.24] 保持保持保持
[1456.24-1458.24] 然後就說一下
[1458.24-1460.24] 在2025年
[1460.24-1462.24] 項目的
[1462.24-1464.24] 項目的項目
[1464.24-1466.24] 再說一下
[1466.24-1468.24] 你們在最後一季
[1468.24-1470.24] 項目的項目
[1470.24-1472.24] 你們說AI的投資額
[1472.24-1474.24] 會增長三個數字一年
[1474.24-1476.24] 而整個服務器
[1476.24-1478.24] 會平均一年
[1478.24-1480.24] 而自動車
[1480.24-1482.24] 會每個數字一年
[1482.24-1484.24] 這些項目還會不改變嗎?
[1484.24-1486.24] 三個月後?
[1486.24-1488.24] 今天?
[1488.24-1490.24] 目前
[1490.24-1492.24] 在AI的投資額
[1492.24-1494.24] 在70%上
[1494.24-1496.24] 所有數字都還未確認
[1496.24-1498.24] 好
[1498.24-1500.24] 整個服務器
[1500.24-1502.24] 看起來比較好
[1502.24-1504.24] 從5G到5G
[1504.24-1506.24] 對,基本上
[1510.24-1512.24] 明白
[1512.24-1514.24] 最後一個問題
[1514.24-1516.24] 我想要解釋一下
[1516.24-1518.24] 可能你
[1518.24-1520.24] 回答了
[1520.24-1522.24] Randy的問題
[1522.24-1524.24] 在低ASP AI的
[1524.24-1526.24] 服務器
[1526.24-1528.24] 你提到Q1
[1528.24-1530.24] 的需求相當強
[1530.24-1532.24] 是否應該說
[1532.24-1534.24] 這次的需求會繼續
[1534.24-1536.24] 持續到今年
[1536.24-1538.24] 的持續度
[1538.24-1540.24] 還是你預期
[1540.24-1542.24] 低ASP AI的服務器
[1542.24-1544.24] 會繼續下降
[1544.24-1546.24] 在未來的一年
[1546.24-1548.24] 你還看到
[1548.24-1550.24] 它仍然在增長
[1550.24-1552.24] 就像我提到的
[1552.24-1554.24] 這兩個問題
[1554.24-1556.24] 首先是在高ASP
[1556.24-1558.24] 和低ASP的
[1558.24-1560.24] 服務器上
[1560.24-1562.24] 的需求
[1562.24-1564.24] 還有它的開發
[1564.24-1566.24] 我們還看到
[1566.24-1568.24] 低ASP的服務器
[1568.24-1570.24] 它仍然在增長
[1570.24-1572.24] 但可能會在低ASP的服務器上
[1572.24-1574.24] 持續到未來的一年
[1574.24-1576.24] 對
[1580.24-1582.24] 它仍然在增長
[1582.24-1584.24] 但在低ASP的服務器上
[1584.24-1586.24] 對,謝謝
[1586.24-1588.24] 謝謝
[1588.24-1590.24] 謝謝,Howard
[1590.24-1592.24] 接下來的問題
[1592.24-1594.24] 是從Angela
[1594.24-1596.24] Angela,請你回答
[1598.24-1600.24] 你好
[1600.24-1602.24] 聽到嗎
[1602.24-1604.24] 對,Angela,請你回答
[1604.24-1606.24] 好的,謝謝你回答我的問題
[1606.24-1608.24] 這是一個
[1608.24-1610.24] AI服務器的
[1610.24-1612.24] 問號
[1612.24-1614.24] 你能否給我們一個低ASP
[1614.24-1616.24] 和高ASP的
[1616.24-1618.24] AI服務器的定義
[1618.24-1620.24] 我還不太確定
[1620.24-1622.24] 這是什麼意思
[1622.24-1624.24] 低ASP的服務器
[1624.24-1626.24] 在第一季的低ASP服務器上
[1626.24-1628.24] 對,我們先說低ASP
[1628.24-1630.24] 對,我們先說低ASP
[1630.24-1632.24] 這是一個不同的服務器
[1632.24-1634.24] 這是一個不同的服務器
[1634.24-1636.24] 但現在的
[1636.24-1638.24] 現在的服務器
[1638.24-1640.24] 現在的服務器
[1640.24-1642.24] 是由於不同的
[1642.24-1644.24] 不同的設施
[1644.24-1646.24] 所以它們有不同的價值
[1646.24-1648.24] 現在的服務器
[1648.24-1650.24] 現在的服務器
[1650.24-1652.24] 現在的低ASP
[1652.24-1654.24] 現在的低ASP
[1654.24-1656.24] 所以它們的意思是
[1656.24-1658.24] Hopper是低ASP的AI服務器
[1658.24-1660.24] 而Blackwell是高ASP的AI服務器
[1660.24-1662.24] 我對嗎
[1662.24-1664.24] 對,我對
[1664.24-1666.24] 好的,謝謝你
[1666.24-1668.24] 好的,謝謝你
[1668.24-1670.24] 好的,謝謝你
[1670.24-1672.24] 我們看到你的AI服務器
[1672.24-1674.24] 是由於買賣和售賣的
[1674.24-1676.24] 而基於賬號的原則
[1676.24-1678.24] 如果你買到GPU
[1678.24-1680.24] 從客戶買到CSP
[1680.24-1682.24] 然後裝置
[1682.24-1684.24] 然後送給他們
[1684.24-1686.24] 你會預訂自己的價值
[1686.24-1688.24] 包括GPU、CPU
[1688.24-1690.24] 或者你會有
[1690.24-1692.24] NIT
[1692.24-1694.24] 導致
[1694.24-1696.24] 主機
[1696.24-1698.24] 和其他NIT的價值
[1698.24-1700.24] 只有這問題
[1700.24-1702.24] 接下來
[1702.24-1704.24] 這就是NIT
[1704.24-1706.24] 根據客戶的要求
[1706.24-1708.24] 如果是一個負面模式
[1708.24-1710.24] 它們會保留
[1710.24-1712.24] 最重要的價值
[1712.24-1714.24] 如果是一個買賣模式
[1714.24-1716.24] 我們會保留
[1716.24-1718.24] 這是客戶的混合
[1718.24-1720.24] 但如果是一個
[1720.24-1722.24] 商業的合作
[1722.24-1724.24] 就要有買賣模式
[1726.24-1728.24] 好的,根據你
[1728.24-1730.24] 的客戶的要求
[1730.24-1732.24] 是額外的
[1732.24-1734.24] 負面的價值
[1734.24-1736.24] 還是買賣的價值
[1736.24-1738.24] 的合作
[1738.24-1740.24] 最後一題
[1740.24-1742.24] 是買賣模式
[1742.24-1744.24] 的部分
[1744.24-1746.24] 好的
[1746.24-1748.24] 最後一題
[1748.24-1750.24] 是關於
[1750.24-1752.24] 主機
[1752.24-1754.24] 的部分
[1754.24-1756.24] 好的,謝謝
[1756.24-1758.24] 最後一題是關於
[1758.24-1760.24] 第一季的金融
[1760.24-1762.24] 的部分
[1762.24-1764.24] 是很難看到
[1764.24-1766.24] 你第一季的
[1766.24-1768.24] 金融的部分
[1768.24-1770.24] 你能否解釋
[1770.24-1772.24] 主機的原因
[1772.24-1774.24] 以及這次的情況
[1774.24-1776.24] 會否繼續在
[1776.24-1778.24] 下個月
[1778.24-1780.24] 好的,謝謝
[1780.24-1782.24] 對,商業的生意
[1782.24-1784.24] 一直在增長
[1784.24-1786.24] 我們可以看到
[1786.24-1788.24] 負面的銷售
[1788.24-1790.24] 銷售
[1790.24-1792.24] 他們都很兇
[1792.24-1794.24] 他們都很兇
[1794.24-1796.24] 但是,在生意上
[1796.24-1798.24] 你所賣的銷售
[1798.24-1800.24] 的價值
[1800.24-1802.24] 的銷售
[1802.24-1804.24] 的價值
[1804.24-1806.24] 你需要
[1806.24-1808.24] 更多的銷售
[1808.24-1810.24] 的價值
[1810.24-1812.24] 所以客戶的要求
[1812.24-1814.24] 是把GPU扣掉
[1814.24-1816.24] 這就代表
[1816.24-1818.24] 你需要再多的銷售
[1818.24-1820.24] 的價值
[1820.24-1822.24] 所以只有幾個玩家
[1822.24-1824.24] 在這類型的生意中
[1824.24-1826.24] 可以在這類型的生意中
[1826.24-1828.24] 跟CSP合作
[1828.24-1830.24] 做這類型的生意
[1832.24-1834.24] 好的,很合理
[1834.24-1836.24] 所以我們需要
[1836.24-1838.24] 預期這個情況
[1838.24-1840.24] 會繼續在GPU
[1840.24-1842.24] 或AI,最高的AI
[1842.24-1844.24] 在增長的時間內
[1844.24-1846.24] 我們會看到這個情況
[1846.24-1848.24] 會繼續的
[1848.24-1850.24] 這可以繼續
[1850.24-1852.24] 這就是我們
[1852.24-1854.24] 在這類型的生意中
[1854.24-1856.24] 需要的金額
[1856.24-1858.24] 如果我們
[1858.24-1860.24] 在低金額
[1860.24-1862.24] 的生意中
[1862.24-1864.24] 可以低低
[1864.24-1866.24] 銷售的價值
[1866.24-1868.24] 在第一半
[1868.24-1870.24] 我們如果將
[1870.24-1872.24] 這個形式扣掉
[1872.24-1874.24] 這會使我們
[1874.24-1876.24] 在這類型的生意中
[1876.24-1878.24] 需要的金額
[1878.24-1880.24] 好的,謝謝
[1880.24-1882.24] 謝謝你回答
[1886.24-1888.24] 謝謝Angela,下一位
[1888.24-1890.24] 會是Albert
[1890.24-1892.24] Albert,請進
[1892.24-1894.24] 謝謝你
[1894.24-1896.24] 謝謝Nichol
[1896.24-1898.24] 謝謝你,謝謝你
[1898.24-1900.24] 總統,你的結果很強勁
[1900.24-1902.24] 我的第一個問題是
[1902.24-1904.24] 根據你所說
[1904.24-1906.24] CSP的客戶
[1906.24-1908.24] 在第一半
[1908.24-1910.24] 在第一半
[1910.24-1912.24] 在第二半
[1912.24-1914.24] 我們在增長了
[1914.24-1916.24] 我的問題是
[1916.24-1918.24] 你如何
[1918.24-1920.24] 對於GV伺服器
[1920.24-1922.24] 在低金額的客戶
[1922.24-1924.24] 有什麼看法
