[0.00-2.24] 各位法人及媒体朋友午安
[190.10-192.30] 2025年第一季
[192.30-193.42] 每股盈余为
[193.42-195.02] 0.39元
[195.02-197.44] 较2024年第一季
[197.44-199.26] 每股盈余追溯调整后
[199.26-200.60] 0.38元
[200.60-201.68] 成长率为
[201.68-203.28] 2.63%
[203.28-205.98] 获利绩效
[205.98-207.92] 2025年第一季
[207.94-208.94] 年化后
[208.94-210.60] 资产报酬率
[210.60-213.08] ROA为0.88%
[213.08-215.58] 相较2024年第一季
[215.58-217.12] 0.96%
[217.12-218.46] 成长率为
[218.46-220.36] -8.33%
[220.36-222.70] 2025年第一季
[222.70-223.66] 年化后
[223.66-225.06] 净值报酬率
[225.06-227.86] ROE为10.44%
[227.86-230.54] 相较2024年第一季
[230.54-232.04] 10.76%
[232.04-233.02] 成长率为
[233.02-235.24] -2.97%
[237.94-239.94] 主要获利动因
[239.94-242.94] 台中银行2025年第一季
[242.94-244.18] 净收益为
[244.18-246.42] 46.75亿元
[246.42-248.62] 较2024年第一季
[248.62-250.42] 43.22亿元
[250.42-252.86] 增加3.53亿元
[252.86-254.62] 年成长率为
[254.62-256.62] 8.17%
[256.62-259.58] 台中银行2025年第一季
[259.58-260.46] 营业费用
[260.46-262.46] 19.90亿元
[262.46-264.46] 较2024年第一季
[264.46-266.46] 16.66亿元
[266.46-266.94] 增加3.24亿元
[266.94-267.94] 增加3.24亿元
[267.94-269.94] 年成长率为
[269.94-271.94] 19.45%
[271.94-273.94] 台中银行2025年第一季
[273.94-275.94] 净提列
[275.94-277.94] 待账费用
[277.94-279.94] 1.26亿元
[279.94-281.94] 较2024年第一季
[281.94-283.94] 2.15亿元
[283.94-285.94] 减少0.89亿元
[285.94-287.94] 年成长率为
[287.94-289.94] -41.40%
[289.94-291.94] 台中银行2025年第一季
[291.94-293.94] 税前净利
[293.94-295.94] 25.59亿元
[295.94-297.94] 较2024年第一季
[297.94-299.94] 增加1.18亿元
[299.94-301.94] 年成长率为
[301.94-303.94] -4.83%
[303.94-305.94] 台中银行2025年第一季
[305.94-307.94] 利息净收益为
[307.94-309.94] 30.11亿元
[309.94-311.94] 较去年同期增加2.64亿元
[311.94-313.94] 年成长率为
[313.94-315.94] 9.61%
[315.94-317.94] 台中银行2025年第一季
[317.94-319.94] 手续费净收益为
[319.94-321.94] 11.5亿元
[321.94-323.94] 较2024年第一季
[323.94-325.94] 税前净利息
[325.94-327.94] 费用量为
[327.94-329.94] 12.28亿元
[329.94-331.94] 较去年同期增加2.66亿元
[331.94-333.94] 年成长率为
[333.94-335.94] 30.86%
[335.94-337.94] 较去年同期减少1.77亿元
[337.94-339.94] 年成长率为
[339.94-341.94] -24.82%
[341.94-343.94] 年成长率为
[343.94-345.94] -24.82%
[345.94-347.94] 较去年同期减少1.77亿元
[347.94-349.94] 年成长率为
[349.94-351.94] -24.82%
[351.94-353.94] 较去年同期减少1.77亿元
[353.94-357.26] 三大净收益30.11亿元
[357.26-361.72] 其中利息净收益占比为64.41%
[361.72-365.94] 手续费净收益占比为24.13%
[366.58-369.94] 其他净收益占比为11.46%
[370.70-374.96] 手续费收入组合
[374.96-381.78] 2025年第一季合并手续费收入为15.62亿元
[381.78-383.08] 较去年同期
[383.08-385.78] 增加2.90亿元
[385.78-388.78] 年成长率为22.80%
[388.78-393.34] 主因放缓手续费收入增加2.29亿元
[393.34-397.78] 保险手续费收入增加0.49亿元
[397.78-402.36] 及信托手续费收入增加0.27亿元
[402.36-408.78] 2025年第一季单季手续费收入为15.62亿元
[408.78-411.84] 较上季增加2.53亿元
[411.84-412.88] 成长率为
[412.88-414.48] 19.33%
[414.48-419.62] 主要为放缓手续费收入增加1.87亿元
[419.62-423.96] 及保险手续费收入增加0.95亿元
[423.96-430.02] 2025年第一季单季手续费收入各项目中
[430.02-434.90] 比放缓手续费收入5.85亿元占比最高
[434.90-439.32] 占总手续费收入37.45%
[439.32-441.46] 次高为信托手续费收入4.05亿元
[441.46-442.64] 至高为信托手续费收入4.05亿元
[442.64-442.72] 至高为信托手续费收入4.05亿元
[442.72-442.74] 至高为信托手续费收入4.05亿元
[442.74-442.86] 至高为信托手续费收入4.05亿元
[442.88-447.68] 占总手续费收入25.93%
[447.68-453.56] 以手续费收入业务类别区分
[453.56-458.42] 2025年第一季单季手续费收入总额中
[458.42-463.98] 归属于财富管理业务之收入共计6.99亿元
[463.98-467.30] 占比为44.75%
[467.30-472.70] 2025年第一季单季财富管理业务手续费收入
[472.70-472.74] 占比为44.75%
[472.74-476.56] 较去年同期增加0.40亿元
[476.56-478.92] 成长6.07%
[478.92-483.70] 2025年第一季财富管理业务手续费收入
[483.70-487.00] 较上季增加0.66亿元
[487.00-491.12] 成长率为10.43%
[491.12-494.52] 存款组合
[494.52-500.86] 2025年第一季存款总额8529亿元
[500.86-502.72] 较去年同期增加0.46亿元
[502.72-504.98] 增加1106亿元
[504.98-508.86] 增加1406亿元
[508.86-511.94] 成长14.90%
[511.94-515.28] 其中台币存款增加904亿元
[515.28-520.56] 外币存款折合台币后增加202亿元
[520.56-525.22] 较上季增加442亿元
[525.22-528.14] 成长5.47%
[528.14-530.54] 其中台币存款增加365亿元
[530.54-532.54] 外币存款折合台币后增加77亿元
[532.54-539.40] 2025年第一季新台币存款7387亿元中
[539.40-543.60] 台币定存3742亿元
[543.60-547.38] 较去年同期增加749亿元
[547.38-550.12] 成长25.03%
[550.12-553.38] 较上季增加365亿元
[553.38-555.78] 成长10.81%
[555.78-560.26] 台币活存3645亿元
[560.26-563.44] 较去年同期增加155亿元
[563.44-566.16] 成长4.44%
[566.16-568.58] 与上季则为持平
[568.58-571.26] 2025年第一季
[571.26-576.14] 外币存款折合台币后为1142亿元
[576.14-580.04] 其中外币定存为857亿元
[580.04-583.62] 较去年同期增加173亿元
[583.62-586.42] 成长25.29%
[586.42-589.34] 较上季增加59亿元
[589.34-590.06] 成长
[590.06-591.86] 7.39%
[591.86-595.56] 外币活存为285亿元
[595.56-598.34] 较去年同期增加29亿元
[598.34-601.56] 年成长率11.33%
[601.56-604.52] 较上季增加18亿元
[604.52-607.38] 季成长率6.74%
[607.38-610.78] 存款结构
[610.78-613.06] 2025年第一季
[613.06-618.30] 台币存款占总存款占比为86.61%
[618.30-620.04] 外币存款占总存款占比为86.61%
[620.06-623.38] 外币存款占比为86.61%
[623.38-627.98] 其中台币活存占比42.74%
[627.98-631.18] 较上季下降2.33%
[631.18-635.04] 较去年同期下降4.28%
[635.04-639.22] 台币定存占比43.87%
[639.22-642.34] 较上季上升2.11%
[642.34-646.02] 较去年同期上升3.55%
[646.02-649.94] 外币活存占比3.34%
[649.94-650.04] 较上季上升3.55%
[650.06-652.80] 较上季上升0.04%
[652.80-656.50] 较去年同期下降0.11%
[656.50-660.56] 外币定存占比10.05%
[660.56-663.42] 较上季上升0.18%
[663.42-667.06] 较去年同期上升0.84%
[667.06-671.68] 2025年第一季
[671.68-676.12] 台中银行总放款余额6304亿元
[676.12-679.94] 较2024年度6094亿元
[679.94-680.70] 较2024年度50亿元
[680.70-683.02] 增加214亿元
[683.02-685.54] 成长3.51%
[685.54-690.32] 放款类别以企业金融及消费金融区分
[690.32-692.62] 2025年第一季
[692.62-698.02] 企业金融放款额为3,119亿元
[698.02-702.58] 较2024年度增加129亿元
[702.58-704.90] 成长4.31%
[704.90-707.46] 2025年第一季
[707.46-709.28] 消费金融放款额
[709.28-709.92] 增加3,119亿元
[709.94-713.02] 较2024年度增加85亿元
[713.02-716.60] 成长2.74%
[716.60-720.18] 以放款币别区分
[720.18-723.26] 台币放款2025年第一季
[723.26-726.84] 台币放款额5782亿元
[726.84-731.44] 占总放款比重91.72%
[731.44-735.80] 较2024年底占比91.53%
[735.80-738.62] 较2025年度增加3,185亿元
[738.62-739.70] 成长2.74%
[739.70-742.00] 上升0.19%
[742.00-744.30] 较2024年底
[744.30-747.64] 余额增加208亿元
[747.64-750.46] 成长3.73%
[750.46-751.98] 外币放款
[751.98-753.52] 2025年第一季
[753.52-755.06] 外币放款余额
[755.06-758.14] 折合台币后为522亿元
[758.14-762.22] 占总放款比重8.28%
[762.22-766.32] 较2024年底占比8.47%
[766.32-768.62] 下降0.19%
[768.62-769.66] 较2025年底占比8.47%下降0.19%
[769.70-773.54] 较2024年底余额增加6亿元
[773.54-778.40] 成长1.16%
[778.40-780.46] 放款组合
[780.46-783.02] 2025年第一季
[783.02-785.58] 台中银行总放款余额
[785.58-788.14] 6304亿元
[788.14-791.72] 较去年同期增加756亿元
[791.72-794.78] 年成长13.63%
[794.78-797.86] 较上季增加214亿元
[797.86-799.66] 季成长3.51%
[799.70-805.58] 以手信类别区分
[805.58-829.40] 大型企业放款余额
[829.40-831.66] 成长13.70%
[831.66-834.92] 较上季增加91亿元
[834.92-837.62] 季成长4.18%
[837.62-842.26] OBU及海外分行放缓余额
[842.26-846.38] 折合台币后为467亿元
[846.38-849.82] 较去年同期增加122亿元
[849.82-852.40] 成长35.36%
[853.14-855.52] 较上季增加27亿元
[855.52-857.72] 季成长6.14%
[859.40-862.74] 购置住宅及修缮贷款放缓余额
[862.74-864.22] 912亿元
[864.22-867.02] 较去年同期增加60亿元
[867.02-869.54] 成长7.04%
[869.54-872.52] 较上季增加5亿元
[872.52-874.76] 季成长0.55%
[874.76-879.60] 个人消费性放缓余额107亿元
[879.60-882.42] 较去年同期减少5亿元
[882.42-886.18] 成长率为-4.46%
[886.18-888.74] 较上季增加4亿元
[888.74-889.38] 季成长7.46%
[889.38-891.56] 季成长率3.88%
[891.56-894.90] 其他个人非消费性放缓
[894.90-896.38] 含土地抵押贷款
[897.08-899.84] 余额2166亿元
[899.84-902.88] 较去年同期增加211亿元
[902.88-905.48] 成长10.79%
[905.48-908.24] 较上季增加76亿元
[908.24-910.38] 季成长3.64%
[911.20-917.44] 放缓余额以担保品别区分
[917.44-919.36] 无担保放缓余额以担保品别区分
[919.38-923.08] 占总放缓占比为17.56%
[923.08-928.58] 有担保放缓占总放缓占比为82.44%
[928.58-934.44] 无提供担保之放缓余额为1107亿元
[934.44-937.88] 较2024年底增加24亿元
[937.88-940.96] 成长2.22%
[940.96-946.38] 有提供担保之放缓余额为5197亿元
[946.38-949.36] 较2024年底增加12.24%
[949.38-960.54] 其中不动产担保放缓余额为4755亿元
[960.54-964.56] 较2024年底增加176亿元
[964.56-967.80] 成长3.84%
[967.80-972.10] 保证函担保放缓余额为167亿元
[972.10-975.30] 较2024年底增加1亿元
[975.30-977.66] 成长0.60%
[977.66-979.36] 其他担保放缓余额为167亿元
[979.38-986.18] 较2024年底增加13亿元
[986.18-989.04] 成长4.96%
[989.04-994.34] 存放比2025年第一季
[994.34-998.56] 台币存放比为77.82%
[998.56-1002.02] 较去年同期下降1.88%
[1002.02-1005.38] 较上季下降1.97%
[1006.60-1009.38] 外币存放比为45.72%
[1009.38-1013.38] 较去年同期上升4.78%
[1013.38-1016.72] 较上季下降2.74%
[1016.72-1020.80] 总存放比为73.55%
[1020.80-1024.18] 较去年同期下降1.24%
[1024.18-1027.38] 较上季下降2.10%
[1028.12-1033.10] 存放利差2025年第一季
[1033.10-1036.38] 台币存放利差1.81%
[1036.38-1036.60] 较去年同期1.81%
[1036.60-1040.60] 较去年同期1.88%
[1040.60-1042.42] 利差下降7点
[1042.42-1045.92] 外币存放利差2.14%
[1045.92-1048.88] 较去年同期2.96%
[1048.88-1051.16] 利差下降82点
[1051.16-1056.22] 总存放台外币合并利差1.70%
[1056.22-1059.82] 较去年同期1.78%
[1059.82-1062.04] 利差下降8点
[1066.60-1081.28] 三分之二四
[1081.28-1082.44] 三分之一
[1082.44-1087.58] 较去年同期三分之三
[1087.58-1090.60] 长期内満蒙 ends
[1090.60-1093.92] 持有加 Oi
[1093.92-1094.76] 三分之三
[1094.76-1096.18] stitched the dep 꾸
[1096.18-1096.56] 装门
[1096.56-1096.58] cash channel
[1096.60-1099.16] 增加319亿元
[1099.16-1102.92] 按摊效后成本衡量之金融资产
[1102.92-1104.88] 减少21亿元
[1104.88-1107.70] 2025年低季
[1107.70-1109.88] 净利息收益率
[1109.88-1112.30] NIM1.33%
[1112.30-1115.46] 较去年同期1.36%
[1115.46-1117.04] 下降3点
[1117.04-1120.06] 主要因支息资产
[1120.06-1123.48] 而平均利率上升9点
[1123.48-1125.02] 而复习负债
[1125.02-1127.14] 而平均利率上升12点
[1127.14-1130.18] 2025年低季
[1130.18-1135.06] 支息资产均额9108亿元
[1135.06-1138.60] 较上季8328亿元
[1138.60-1140.60] 增加780亿元
[1140.60-1143.22] 主要于贴现及放款
[1143.22-1145.74] 增加475亿元
[1145.74-1147.98] 透过其他综合损益
[1147.98-1151.00] 按公允价值衡量之金融资产
[1151.00-1153.50] 增加174亿元
[1153.50-1155.00] 及存放央行
[1155.02-1157.02] 增加55亿元
[1157.02-1159.02] 2025年低季
[1159.02-1161.02] 净利息收益率
[1161.02-1163.02] NIM1.33%
[1163.02-1165.02] 较上季1.36%
[1165.02-1167.02] 下降3点
[1167.02-1169.02] 营业费用占净收益占比
[1169.02-1171.02] 台中银行2025年低季
[1171.02-1173.02] 总营业费用19.90亿元
[1173.02-1175.02] 净收益为46.75亿元
[1175.02-1177.02] 成本效益为
[1177.02-1179.02] 19.95亿元
[1179.02-1181.02] 总收益为
[1181.02-1183.02] 19.95亿元
[1183.02-1185.02] 总收益为16.75亿元
[1185.02-1187.02] 成本效益比率为
[1187.02-1189.02] 42.57%
[1189.02-1191.02] 台中银行2025年低季
[1191.02-1193.02] 成本效益比率42.57%
[1193.02-1195.02] 成本效益比率42.57%
[1195.02-1197.02] 较去年同期38.55%
[1197.02-1199.02] 较去年同期38.55%
[1199.02-1201.02] 上升4.02%
[1201.02-1203.02] 上升主因
[1203.02-1205.02] 净收益46.75亿元
[1205.02-1207.02] 较去年同期增加3.53亿元
[1207.02-1209.02] 较去年同期增加3.53亿元
[1209.02-1211.02] 年成长率8.17%
[1211.02-1213.02] 年成长率8.17%
[1213.02-1215.02] 合营业费用19.90亿元
[1215.02-1217.02] 合营业费用19.90亿元
[1217.02-1219.02] 较去年同期增加3.24亿元
[1219.02-1221.02] 较去年同期增加3.24亿元
[1221.02-1223.02] 成长率为19.45%所致
[1223.02-1225.02] 成长率为19.45%所致
[1225.02-1227.02] 资产品质
[1227.02-1229.02] 资产品质
[1229.02-1231.02] 台中银行2025年低季
[1231.02-1233.02] 预放余额为17.87亿元
[1233.02-1235.02] 预放余额为17.87亿元
[1235.02-1237.02] 较去年同期增加10.38亿元
[1237.02-1239.02] 较去年同期增加10.38亿元
[1239.02-1241.02] 成长率为138.58%
[1241.02-1243.02] 成长率为138.58%
[1243.02-1245.02] 增加14.28亿元
[1245.02-1247.02] 增加14.28亿元
[1247.02-1249.02] 成长率为397.77%
[1249.02-1251.02] 成长率为397.77%
[1251.02-1253.02] 成长率为397.77%
[1253.02-1255.02] 2025年低季预放比率为0.28%
[1255.02-1257.02] 2025年低季预放比率为0.28%
[1257.02-1259.02] 较去年同期上升0.15%
[1259.02-1261.02] 较去年同期上升0.15%
[1261.02-1263.02] 较上季0.06%
[1263.02-1265.02] 较上季0.06%
[1265.02-1267.02] 较上季0.06%
[1267.02-1269.02] 较上季0.06%
[1269.02-1271.02] 较上季0.06%
[1271.02-1273.02] 较上季0.26%
[1273.02-1275.02] 较上季0.16%
[1275.02-1277.02] 较上季0.akap
[1277.02-1279.02] 较上季0.08%
[1279.02-1281.02] 较上季0.08%
[1281.02-1283.02] 较上季0.08%
[1283.02-1285.02] 较上季0.08%
[1285.02-1287.02] 较上季0.08%
[1287.02-1289.02] 较上季0.08%
[1289.02-1291.02] 较上季0.04%
[1291.02-1293.02] 较上季0.04%
[1293.02-1295.02] 3. critics
[1295.02-1297.02] 3. critics
[1297.02-1299.02] 3. critics
[1299.02-1301.02] Prime Minister
[1301.02-1303.02] Prime Minister
[1303.02-1305.86] 资本市足性
[1305.86-1308.48] 2025年低季
[1308.48-1313.14] 字节合并资本市足率为13.66%
[1313.14-1316.84] 低类资本比率为12.32%
[1316.84-1320.74] 普通股权益比率为11.17%
[1320.74-1324.04] 相较2024年资本市足性
[1324.04-1326.60] 相关比率变化情形为
[1326.60-1330.54] 资本市足率下降0.01%
[1330.54-1334.62] 低类资本比率下降0.02%
[1334.62-1338.60] 普通股权益比率则上升0.02%
[1339.32-1339.90] 其中
[1339.90-1343.10] 自有资本1008亿元
[1343.10-1345.88] 较2024年增加26亿元
[1345.88-1347.60] 成长2.65%
[1348.20-1350.54] 加权风险性资产额
[1350.54-1352.88] 7381亿元
[1352.88-1356.64] 较2024年增加197亿元
[1356.64-1359.10] 成长2.74%
[1359.10-1362.10] 低类资本比率下降0.02%
[1362.10-1363.70] 相较2025年低季
[1363.70-1367.10] 字节合并资本市足率为13.87%
[1367.10-1370.10] 低类资本比率为12.56%
[1370.10-1373.10] 普通股权益比率为11.38%
[1373.10-1376.10] 相较2024年资本市足性
[1376.10-1379.10] 相关比率变化情形为
[1379.10-1382.10] 资本市足率上升0.01%
[1382.10-1385.10] 低类资本比率持平
[1385.10-1387.98] 普通股权益比率上升0.03%
[1387.98-1388.98] 低类资本比率下降0.01%
[1389.10-1391.10] 高时收益比率突잖아
[1391.10-1393.10] 高时收益比率上升
[1393.10-1396.10] 高时收益比率下降0.1%
[1396.10-1396.34] 低类资本比率上升
[1396.34-1397.44] 低类资本比率上升
[1397.44-1398.10] 糊口
[1398.10-1400.10] 对比率上升
[1400.10-1401.34] 低类资本比 airport
[1401.34-1403.48] 低轮
[1403.48-1404.48] 之类地
[1404.48-1406.10] 大陆
[1406.10-1407.44] 利亚
[1407.44-1408.94] 低类资本比率达3.63%
[1408.94-1411.44] 大陆
[1411.44-1411.64] 瑞士
[1411.64-1412.64] 低unky
[1412.64-1413.64] 解码
[1415.10-1416.10] 反鞠
[1416.10-1417.10] 想要超視
[1417.10-1418.10] 二 �salad
[1418.10-1418.72] 浆薯
[1418.72-1419.10] 火愚
[1419.10-1422.56] 继折台币后为4.15亿元
[1422.56-1425.76] 较去年同期4.06亿元
[1425.76-1427.82] 增加0.09亿元
[1427.82-1430.44] 成长2.22%
[1430.44-1435.34] 主要OBU分行税前净利3.82亿元
[1435.34-1438.70] 较去年同期减少0.02亿元
[1438.70-1441.68] 成长-0.52%
[1441.68-1445.60] 纳米分行税前净利0.33亿元
[1445.60-1448.80] 较去年同期增加0.11亿元
[1448.80-1451.02] 成长50%
[1451.02-1456.78] 2025年第一季纳米及OBU分行税前净利
[1456.78-1462.38] 占台中银行税前净利25.59亿元中
[1462.38-1465.12] 占比为16.22%
[1465.12-1467.48] 较上季15.21%
[1467.48-1469.50] 上升1.01%
[1469.50-1472.68] 较去年同期16.63%
[1472.68-1474.68] 下降0.41%
[1474.68-1478.78] 指公司收益
[1478.78-1503.24] ṣ
[1508.60-1508.68] Pipon 上去年同期增加1.110亿元
[1508.68-1515.26] 子公司2025年第一季税后净利2.04亿元
[1515.26-1518.60] 较去年同期减少0.26亿元
[1518.60-1521.96] 成长负11.30%
[1521.96-1528.38] 财务资讯部分请各位法人及媒体朋友主参
[1528.38-1534.96] 副录部分智慧财产权再次获TIPSA级验证
[1534.96-1540.18] 社会责任连三年响应世界自然基金会
[1540.18-1543.60] Earth Hour地球关灯一小时活动
[1543.60-1546.84] 落实金融友善有效防炸
[1546.84-1550.88] 再度获颁任养照铃感谢奖座
[1550.88-1555.86] 荣耀与肯定荣获2025财讯财富管理大奖
[1555.86-1561.54] 最佳客户推荐大奖及最佳创意行销奖项
[1561.54-1563.82] 连续三年获颁
[1563.82-1568.00] 信保基金绿色授信推动奖肯定
[1568.00-1573.68] 本次的简报到这里告一段落
[1573.68-1576.14] 接下来进入问答阶段
[1576.14-1580.42] 请有问题的投资朋友于画面右下角栏位
[1580.42-1581.66] 输入您的问题
[1581.66-1584.48] 我们将于整理后统一回复
[1584.48-1584.92] 谢谢
[1593.82-1623.80] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1623.82-1653.80] 欢迎订阅明镜与点点栏目
[1653.82-1683.80] 欢迎订阅明镜与点点栏目
[1683.82-1713.80] 欢迎订阅明镜与点点栏目
[1713.82-1743.80] 欢迎订阅明镜与点点栏目
[1743.82-1773.80] 欢迎订阅明镜与点点栏目
[1773.82-1803.80] 欢迎订阅明镜与点点栏目
[1803.82-1833.80] 欢迎订阅明镜与点点栏目
[1833.82-1863.80] 欢迎订阅明镜与点点栏目
[1863.82-1893.80] 欢迎订阅明镜与点点栏目
[1893.80-1923.78] 欢迎订阅明镜与点点栏目
[1923.80-1953.78] 欢迎订阅明镜与点点栏目
[1953.80-1983.78] 欢迎订阅明镜与点点栏目
[1983.80-2013.78] 欢迎订阅明镜与点点栏目
[2013.80-2043.78] 欢迎订阅明镜与点点栏目
