[0.00-5.76] 大家好謝謝
[626.92-628.92] 基本上我們也是
[628.92-630.92] 還算不錯的表現
[630.92-632.92] 那本益比我們最低的
[632.92-634.92] 然後我們的股票殖利率最高的
[634.92-638.92] 當然這樣比較並不是很公平的原因是因為
[638.92-641.92] 他們的產業的規模是比我們大很多
[641.92-643.92] 比如說可能上百億或上兩百億
[643.92-645.92] 當然我們只是跟大家報告就是說
[645.92-648.92] 我們並不會因此而停下的走步
[648.92-650.92] 我們一樣會去不斷的去開拓我們的市場
[650.92-651.92] 後面幾頁就想說
[651.92-653.92] 我們如果說美國之外
[653.92-655.92] 我們是有另外一個可能性
[655.92-657.92] 來創造出我們的營收
[661.92-664.92] 那看一下整個關稅對公司的影響
[664.92-665.92] 可能有人第一次來
[665.92-667.92] 我先跟大家做說明
[667.92-669.92] 就是說以結論來看
[669.92-673.92] 公司的售價基本上就是美國同業的成本
[673.92-674.92] 我大概算一次給大家看
[674.92-677.92] 就是說100塊的成本裡面
[677.92-679.92] 有64塊的材料
[679.92-680.92] 6.7許人工
[680.92-681.92] 2.7許人工
[681.92-682.92] 2.9許人工
[682.92-683.92] 2.9.3許人工
[683.92-684.92] 是所謂的進階人員跟水電費
[684.92-687.92] 租進那些耗材的到2.9.3
[687.92-689.92] 那以美國來講
[689.92-691.92] 它的材料是中國的1.6倍
[691.92-693.92] 所以貴百是60
[693.92-694.92] 人工是5倍
[694.92-696.92] 我想這件沒什麼太大問題
[696.92-699.92] 那製造費用我們簡單點算
[699.92-701.92] 我們就把人乘以5就好了
[701.92-703.92] 其他費用我們不要乘
[703.92-705.92] 基本上美國的費用一定比中國高
[705.92-706.92] 可是我們沒關係
[706.92-707.92] 我們簡單算
[707.92-709.92] 把人往下翻5倍就好
[709.92-710.92] 算起來
[710.92-712.92] 它的成本是200
[712.92-713.92] 如果毛利是50%
[713.92-714.92] 我的售價200塊
[714.92-715.92] 毛利50%
[715.92-718.92] 我的售價等於它的成本
[718.92-719.92] 那請問一下
[719.92-721.92] 美國同業難當成本來賣嗎
[721.92-722.92] 不可能
[722.92-724.92] 它至少要抓30%毛利
[724.92-725.92] 為什麼30%
[725.92-727.92] 因為營業費用至少20%
[727.92-729.92] 我們公司營業費用是22
[729.92-733.92] 我不相信美國同業的營業費用會比我們低
[733.92-735.92] 所以營業費用20%
[735.92-736.92] 淨利10%
[736.92-738.92] 所以它至少要往上墊30%
[738.92-739.92] 所以換句話說
[739.92-744.92] 當我們關稅上漲到87.5的時候
[744.92-747.92] 基本上我們就沒有優勢了
[747.92-748.92] 現在我們有優勢是因為
[748.92-751.92] 我們用臺灣跟中國大陸的產能調控
[751.92-754.92] 來創造出我們的利率
[754.92-757.92] 可是價格並不是客人唯一考量
[757.92-758.92] 即便如此
[758.92-761.92] 我們的價格是有一定的優勢
[761.92-763.92] 可是打起仗來講
[763.92-765.92] 還是想上當兵谷
[765.92-766.92] 那來看一下
[766.92-768.92] 我們對整個關稅怎麼去應對
[768.92-770.92] 我們大概有幾個層次來看
[770.92-772.92] 第一就是最簡單就是
[772.92-775.92] 一樣的產品其他都是一個附加價值
[775.92-778.92] 就是我們提到的分店包跟分部門包
[778.92-780.92] 或是解決客人的痛點
[780.92-781.92] 自動商業系統
[781.92-784.92] 幫客人來減少他的成本
[784.92-786.92] 這個東西是我們房堆一直在做的事情
[786.92-789.92] 這個客戶們還要講
[789.92-791.92] 另外一段的話
[791.92-792.92] 做製造分流
[792.92-794.92] 也就是部分製程在大陸做
[794.92-796.92] 部分製程在臺灣做
[796.92-798.92] 讓整個成本來講
[798.92-799.92] 客人可以往下降
[799.92-801.92] 這待會我就做個示範跟說明
[801.92-803.92] 再來的話就是說
[803.92-804.92] 我們降低成本
[804.92-806.92] 我們跟供應商抬價
[806.92-807.92] 抬調料成本
[807.92-810.92] 同時我們匯率我們讓一些給客人
[810.92-812.92] 以及我們大陸這邊已經
[812.92-815.92] 增添了充滿製程
[815.92-817.92] 我們調料成本可以再往下往下
[817.92-818.92] 可以再往下降
[818.92-820.92] 最後一段的話就是
[820.92-823.92] 其實客人根本就不太在意
[823.92-826.92] 我們的所謂的貨價成本
[826.92-827.92] 為什麼
[827.92-829.92] 因為我們賣的是商品
[829.92-830.92] 他賣的是服務
[830.92-831.92] 他賣的是貨價
[831.92-833.92] 我們賣的東西是貨價
[833.92-834.92] 一般的售商
[834.92-836.92] 他70%的成本是來自於貨價
[836.92-837.92] 對不起
[837.92-839.92] 70%來自於翻譯成本
[839.92-841.92] 另外10%來自於人工
[841.92-843.92] 另外10%是來自於場地的租金
[843.92-845.92] 水電那些有的沒有的
[845.92-846.92] 所以基本上
[846.92-850.92] 貨價是他們非常眾多成本的微小段而已
[850.92-853.92] 所以其實他們做的東西
[853.92-854.92] 他們只要做一件事
[854.92-855.92] 不可以搞定這個事情
[855.92-857.92] 就是他們提高上架費
[857.92-859.92] 也就是所有東西上貨到上架
[859.92-861.92] 到我們公司要賣東西的售價
[861.92-863.92] 往到長平點一
[863.92-866.92] 他就可以解決我們貨價上漲成本
[866.92-867.92] 而且還有漲
[867.92-870.92] 所以其實客戶有強大定價權
[870.92-872.92] 當然大家等看到的時候
[872.92-873.92] 這個新聞
[873.92-876.92] 沃邁就是因為他要漲
[876.92-877.92] 沃邁要漲就漲
[877.92-879.92] 他要求要降價
[879.92-881.92] 是商品儲貨的進口成本
[881.92-882.92] 所以他做的事情
[882.92-884.92] 一定是先針對大
[884.92-885.92] 要想想看
[885.92-886.92] 如果你有公司
[886.92-887.92] 你要做的事情
[887.92-888.92] 你去想辦法
[888.92-889.92] 這樣是商品成本
[889.92-891.92] 你一定會找大額來降
[891.92-894.92] 你不會找那種小布拉丁的東西來降
[894.92-895.92] 那沒有意義
[895.92-896.92] 沒辦法節省你的成本
[896.92-898.92] 所以我們來看一下
[898.92-899.92] 到底這55%
[899.92-901.92] 對客戶影響有多大嗎
[901.92-902.92] 試算一下
[902.92-906.92] 假設個產品一半台灣做
[906.92-907.92] 部分產品在台灣做
[907.92-909.92] 部分產品在大陸直接做
[909.92-910.92] 直接出去
[910.92-912.92] 所以關稅55%除以20%
[912.92-914.92] 應該沒問題
[914.92-915.92] 那再來的話
[915.92-917.92] 我們光說FoB出口價
[917.92-918.92] 一段關稅
[918.92-920.92] 就是27.5除以0.5
[920.92-921.92] 是13.5
[921.92-922.92] 再來的話
[922.92-924.92] 我才要降5%
[924.92-926.92] 匯率降一些降5%給客人
[926.92-928.92] 所以客人影響有8.75
[928.92-930.92] 客人貨價是入5年攀停的
[930.92-932.92] 所以對他來講才1.75%
[932.92-934.92] 所以可以看到55%
[934.92-936.92] 到後面才1.75
[936.92-937.92] 很大嗎
[937.92-938.92] 或許很大
[938.92-939.92] 可是對他來講
[939.92-941.92] 他要漲價的很容易
[941.92-942.92] 他不是10%
[942.92-944.92] 他不是55%
[944.92-945.86] 對他來講
[945.92-947.92] 要漲價這1.75%
[947.92-949.92] 我想應該不是太難的步驟
[949.92-950.92] 所以他要開刀
[950.92-952.92] 他就對三組除了開刀
[952.92-954.92] 他不會對我們貨價開刀
[956.92-958.92] 那再來的話就是
[958.92-959.92] 即便如此
[959.92-960.92] 可是關稅這問題
[960.92-962.92] 終究是寻人未覺
[962.92-963.92] 他不斷在往上調整
[963.92-964.92] 那我們如何在
[964.92-966.92] 信有地緣政治之中
[966.92-968.92] 然後去確保整個宇宙動能
[969.92-972.92] 我們要做就是開拓非美地區的移收
[972.92-973.92] 跟大家做報告
[973.92-975.92] 我們並不是放棄美國市場
[975.92-976.92] 我們是在美國一樣
[976.92-978.92] 最主要的基礎情況是這樣
[978.92-980.92] 我們開一條支線出來
[980.92-982.92] 從這個支線去做
[982.92-984.92] 去維護公司的持續性動能
[986.92-988.92] 我們做的這件事情就是說
[988.92-991.92] 我們會鎖定其他地區的內需市場
[991.92-993.92] 我們會先鎖定中國跟大陸的
[993.92-995.92] 中國大陸的印尼市場
[995.92-998.92] 那我們目前中國這邊呢
[998.92-1001.92] 我們開拓了電動車業者的生產資據
[1001.92-1003.92] 這訂單就下來了
[1003.92-1004.92] 對不起字寫錯了
[1004.92-1005.92] 是另外一個字
[1005.92-1006.92] 就是說
[1006.92-1008.92] 當我會的圖片就是介紹就是
[1008.92-1010.92] 我們是生產哪一種資據
[1010.92-1012.92] 供給所謂的電動車業者
[1012.92-1014.92] 這個我們已經開拓出來了
[1014.92-1017.92] 那這客人是大陸的央企
[1017.92-1018.92] 不是國企
[1018.92-1019.92] 因為我本來都不清楚
[1019.92-1021.92] 央企比國企更高一些
[1021.92-1025.92] 是黨他們走進的事業叫央企
[1025.92-1028.92] 所以我們已經成功的跟他們簽了約
[1028.92-1032.92] 那再來就是全家的超市的展建也是我們
[1032.92-1034.92] 我們已經導入他們供應鏈了
[1034.92-1036.92] 所以未來中國市場的開電需求
[1036.92-1039.92] 這邊我們會有一些不實之地
[1039.92-1044.92] 那他們的目標是華中跟華南是五萬家電
[1044.92-1047.92] 那他們目前開電的佔納數是三千多家電
[1047.92-1050.92] 所以他很大的生產空間
[1050.92-1052.92] 他要求我們就是你每一年
[1052.92-1054.92] 如果要進來我們供應鏈的話
[1054.92-1057.92] 你每一年要三十五%的成長力道
[1057.92-1059.92] 來配合他們開電的時間
[1059.92-1061.92] 所以未來中國市場
[1061.92-1063.92] 大體認為說中國會不會內需
[1063.92-1065.92] 市場是照配不景氣
[1065.92-1066.92] 其實不會
[1066.92-1068.92] 因為我們做的就是民生必需品
[1068.92-1070.92] 我們賣的不是設施品
[1070.92-1072.92] 我們賣的不是文具用品
[1072.92-1074.92] 不是文創
[1074.92-1077.92] 所以對他們來講是個民生必需品
[1077.92-1080.92] 所以其實這個內需市場會不斷的開拓
[1080.92-1082.92] 那印尼這邊未來如果有不實的新的成績
[1082.92-1084.92] 我們可以跟大家做報告
[1084.92-1087.92] 對不起就是說
[1087.92-1089.92] 再來的話這一段
[1089.92-1091.92] 為什麼會挑非美國地區
[1091.92-1093.92] 我們去年就是呼應該電的
[1093.92-1095.92] 前面請教授提到就是
[1095.92-1099.92] 我們浪費了太多成本在關稅跟海運費
[1099.92-1101.92] 當我們鎖定中國市場的時候
[1101.92-1102.92] 我沒有海運費
[1102.92-1103.92] 我沒有關稅
[1103.92-1104.92] 印尼也是一樣
[1104.92-1105.92] 我沒有關稅
[1105.92-1109.92] 那我頂多就是把聯儲料進口到印尼
[1109.92-1110.92] 應該賺到海運費
[1110.92-1112.92] 基本上我沒有其他的成本
[1112.92-1114.92] 那我可以我信用團隊
[1114.92-1116.92] 我也不用再擴編
[1116.92-1119.92] 所以我的基本的成本可以控制得了
[1119.92-1121.92] 那我創造出來輸出的利潤
[1121.92-1122.92] 這等於盡力
[1122.92-1123.92] 好
[1123.92-1125.92] 所以為什麼會做這樣的目的
[1125.92-1128.92] 就是我們要閃掉關稅跟海運費
[1128.92-1134.92] 那再來的話就是提高鋼材溢價能力
[1134.92-1136.92] 因為我們電動車這個次據的鋼材
[1136.92-1138.92] 是需要很大量的
[1138.92-1141.92] 好幾萬噸的鋼材的需求
[1141.92-1144.92] 那這個東西我們可以把溢價能力
[1144.92-1146.92] 這個效果可以轉化到
[1146.92-1148.92] 所謂分享到所謂的一般的貨架
[1148.92-1150.92] 因為貨架也需要錢
[1150.92-1152.92] 所以我統一購買的時候
[1152.92-1154.92] 我整個溢價能力提高
[1154.92-1156.92] 然後再來再搭配我們的整個抽管製程
[1156.92-1157.92] 壓低我們的成本
[1157.92-1160.92] 所以其實我們油物料是有優勢的
[1160.92-1162.92] 那最後一段就是剛剛提到的
[1162.92-1164.92] 就是沒有關稅
[1164.92-1165.92] 沒有波動
[1165.92-1167.92] 劇烈波動的海運費
[1167.92-1168.92] 現在海運費又漲到三千多塊錢
[1168.92-1171.92] 所以其實海運費是非常飄的
[1171.92-1173.92] 然後我們沒有大量營業費用
[1173.92-1175.92] 具有規模的支支效應
[1175.92-1176.92] 其實未來的話
[1176.92-1181.92] 我們會去開拓非美地區的營收
[1181.92-1184.92] 那未來不是只有中國
[1184.92-1185.92] 印尼之外
[1185.92-1186.92] 另外的兩種國家
[1186.92-1187.92] 我們也還在審慰中
[1187.92-1191.92] 就是未來不會只有中國被運營
[1195.92-1196.92] 那這一段的話
[1196.92-1199.92] 就請Susan幫我們做介紹
[1204.92-1207.92] 嗨 我是Susan
[1207.92-1210.92] 在這整個過程裡面
[1211.92-1215.92] 美國川普總統在發表領獎
[1215.92-1218.92] 我從頭聽到尾
[1218.92-1219.92] 九十分鐘
[1219.92-1221.92] 在這九十分鐘裡面
[1221.92-1223.92] 只有途鳥中
[1223.92-1225.92] 我很感恩臺詞
[1225.92-1228.92] 在美國設成
[1228.92-1230.92] 所以所有在臺灣的duty
[1230.92-1233.92] 就是terror free
[1233.92-1234.92] 所以你要知道
[1234.92-1236.92] 我們原來是臺灣擁有的
[1236.92-1238.92] 美國公司
[1238.92-1240.92] 所以現在很理所當然的
[1241.92-1244.92] 我們都回到臺灣生產
[1244.92-1247.92] 這是我們現在在做的
[1247.92-1248.92] 所以在這裡面
[1248.92-1250.92] 我們也可以節省大家的金管稅
[1250.92-1253.92] 那在這個整個在流程上面
[1253.92-1256.92] 因為我是臺灣人
[1256.92-1261.92] 我在美國已經待了四十年
[1261.92-1265.92] 所以我是在臺灣最開始的時候
[1265.92-1269.92] 叫做臺灣籍銀河霸
[1269.92-1271.92] 那一段時間
[1271.92-1273.92] 是我們
[1273.92-1277.92] 到後來移到中國大陸
[1277.92-1279.92] 現在呢
[1279.92-1280.92] I'm happy
[1280.92-1283.92] 我又要回來我們臺灣
[1283.92-1285.92] 在製造
[1285.92-1288.92] 做這些跟我們以前一樣的
[1288.92-1290.92] 在這個裡面呢
[1290.92-1293.92] 我發現到有一個非常重要的
[1293.92-1297.92] 我要把這一個帶給所有人希望
[1297.92-1299.92] 我要每一個過程裡頭
[1299.92-1301.92] 我都賺錢
[1301.92-1304.92] 我從生產製造開始
[1304.92-1306.92] 產品設計
[1306.92-1312.92] 一直到美國幫客人整家店施工
[1312.92-1314.92] 把整家店做出來
[1314.92-1318.92] 所以所有該賺錢的每一個步驟
[1318.92-1320.92] 我都賺到了
[1320.92-1322.92] 所以我覺得在這個裡面
[1322.92-1324.92] 是我們現在在做的
[1324.92-1326.92] 所以我現在告訴你
[1326.92-1329.92] 告訴大家我的產品的開發
[1329.92-1330.92] OK
[1330.92-1332.92] 像在這個裡面Lowes的
[1332.92-1335.92] 看到旁邊這個灑水系統嗎
[1335.92-1336.92] OK
[1336.92-1339.92] 我們從開發去年開始開發
[1339.92-1340.92] OK
[1340.92-1342.92] 到現在已經相當成熟
[1342.92-1343.92] 今年呢
[1343.92-1348.92] 我們幫他從產品到安裝設計
[1348.92-1349.92] 我們今年呢
[1349.92-1352.92] 應該要做到將近400家店
[1352.92-1353.92] OK
[1353.92-1354.92] 所以呢
[1354.92-1357.92] 這個就是我們從產品開發開始
[1357.92-1360.92] 到一直到店裡的安裝設計
[1360.92-1361.92] OK
[1361.92-1362.92] 第二個呢
[1362.92-1367.92] 我們看到的這一個
[1367.92-1370.92] 這叫Pricing Tag
[1370.92-1373.92] 也就是說他到每一個地方去的時候呢
[1373.92-1376.92] 他就是用這一個看看多好錢
[1376.92-1377.92] 印出來
[1377.92-1378.92] 重新
[1378.92-1379.92] 所以他到每一家店
[1379.92-1381.92] 我們一家店總共有
[1381.92-1384.92] 六個Pricing Tag在走
[1384.92-1385.92] 所以呢
[1385.92-1386.92] 我們到去年呢
[1386.92-1388.92] 就是在上個月開始
[1388.92-1390.92] 我們將近一年
[1390.92-1393.92] 有1720家店
[1393.92-1396.92] 我們通通都有這個Pricing Tag
[1396.92-1397.92] 所以
[1397.92-1399.92] It's coming
[1399.92-1400.92] OK
[1400.92-1404.92] 然後呢這個非常非常非常簡單的Basket
[1404.92-1405.92] 籃子
[1405.92-1406.92] OK
[1406.92-1408.92] Lowes一樣
