[0.00-9.00] 好各位投资先进午安
[562.72-564.78] 营收的比率则季对季持平
[564.78-567.84] 维持在0.1%
[568.66-571.98] 那在年化股东权益报酬率
[571.98-575.82] 本第一季的ROWC是10.3%
[575.82-577.36] 与第四季持平
[577.36-580.94] 从过去几个季的趋势来看
[580.94-582.48] 集团并购Future后
[582.48-585.56] 对公司ROWC有持续的正面贡献
[585.56-588.38] 那如果看一下我们ROWC对比我们
[588.38-589.66] 全球的主要同业
[589.66-592.22] 公司也是处于比较高的水平
[592.22-598.36] 接下来我们看一下
[598.36-602.72] 2025年第二季的财务预测
[602.72-604.76] 第二季的财务预测是基于
[604.76-610.90] 1美元对31.2元台币的汇率假设
[610.90-613.46] 那这个31.2是基于4月的
[613.46-616.54] 我们实际的平均汇率是32.73
[616.54-618.58] 那以及5、6月我们假设是
[618.58-622.42] 1美元对30元台币的假设而来
[622.42-624.72] 那基于这个汇率的假设
[624.72-627.28] 营收预估的中位数是台币
[627.28-628.32] 2473.3元台币的财务预测
[628.32-629.34] 是75亿元
[629.34-632.68] 约计持平年增1.6个%
[632.68-634.98] 第二季因为整个汇率的影响比较大
[634.98-637.02] 如果我们排除汇率影响
[637.02-639.08] 也就是看美元的数字的话
[639.08-643.16] 第二季的营收是Mid-Single-Digit的计增
[643.16-645.22] 那其中WP跟Future
[645.22-647.78] 第二季都是呈现季的成长
[647.78-650.34] 如果以美元计价
[650.34-651.88] 那这边提一下我们今天其实
[651.88-654.68] 同步也公告了4月的营收
[654.68-658.02] 4月的营收是新台币1181亿元
[658.02-659.56] 那由于出货节奏
[659.56-660.58] 第二季的营收
[660.58-665.18] 有比较大的部分都集中在4月
[665.18-666.98] 那接下来我们看到毛利
[666.98-670.56] 毛利额的预估中位数是113.9亿元
[670.56-673.90] 纪持平年增3.6%
[673.90-676.46] 毛利率预估的中位数是4.6%
[676.46-679.52] 较第一季是大致持平
[679.52-682.08] 因为整个第二季的财政组有变化不大
[682.08-686.18] 那整个Future这边的毛利率也是维持稳定
[686.18-687.98] 营业费用预估的中位数为
[688.02-689.56] 65.6亿元
[689.56-692.88] 费用率中位数为2.65%
[692.88-696.98] 营业利益预估的中位数是48.3亿元
[696.98-698.52] 约季增6%
[698.52-701.08] 年增13%
[701.08-704.40] 那季增的原因主要是因为Future的营运干稿
[704.40-707.22] 持续在改善
[707.22-710.04] 营业利率预估中位数是1.95%
[710.04-712.08] 季内季也是预估成长
[712.08-713.62] 显示营收持续回稳
[713.62-715.16] 毛利率维持稳定
[715.16-717.46] 那费用是平稳至少不下滑
[717.46-720.02] 带动整体的营业干稿回升
[720.02-722.84] 提升营业利益
[722.84-726.16] 税前净利预估中位数是38.6亿元
[726.16-727.96] 季增10%
[727.96-729.24] 年增29%
[729.24-731.80] 显示Future的业绩逐步回温对利润
[731.80-734.36] 会产生进一步的贡献
[734.36-738.20] 那归属于母公司的净利预估中位数是27.5亿元
[738.20-739.48] 季增1.6%
[739.48-741.02] 年增28%
[741.02-743.82] 然后注意一下就是说本季的预估税率会比较高
[743.82-747.42] 因为第二季有未分配应于税的关系
[747.46-752.06] 那第二季的EPS是因为需要扣除掉全年的特别股股利
[752.06-754.88] 那我们EPS预估中位数在2.2元
[754.88-758.22] 是季减8%年增30%
[758.22-761.02] 那如果不扣掉特别股股利的话
[761.02-766.92] 那美股的这个获利美股EPS是2.45元
[766.92-771.78] 那接下来我们请董事长来更新一下市场情况跟展望的部分
[771.78-773.06] 大家好
[773.06-777.16] 现在大家都特别关心关税的影响
[777.16-781.00] 关税对我们的直接影响其实很少
[781.00-784.84] 因为出口到美国的半导体并没有配等关税
[784.84-791.50] 只有少部分被动元件及中国制半导体受到影响
[791.50-793.54] 但是这个部分非常非常少
[793.54-796.10] 而美国出口到中国的部分
[796.10-797.38] 美制半导体
[797.38-800.96] 输中本来占比就很少
[800.96-805.06] 且绝大部分品项都已经放宽了
[805.06-806.60] 因此关税的影响
[806.60-807.12] 还是
[807.16-808.70] 是间接的影响
[808.70-812.02] 也就是客户的制成品
[812.02-813.04] 因为
[813.04-817.40] 遭遇关税所带来需求的变化
[817.40-822.52] 这部分目前主要的品项如手机PC
[822.52-826.36] 等SERVO等都有90天的宽限
[826.36-828.16] 会递延到7月
[828.16-831.74] 现在观察到部分品项第2季
[831.74-834.04] 因此会有一些提前拉货
[834.04-836.60] 至于下半年的影响还需要持续观察
[837.16-839.98] 在关税的影响下
[839.98-842.80] 也会带来供应链的移转
[842.80-846.12] 和贸易流程的复杂化
[846.12-847.14] 这部分
[847.14-848.94] 对于像
[848.94-853.54] WT将具有全球服务的能力的通路商而言
[853.54-855.08] 是有利的
[855.08-857.90] 我们会尽力配合客户做
[857.90-858.92] 调配
[858.92-860.46] 寻找配套
[860.46-863.02] 协助客户及供应商
[863.02-866.34] 完善他们的全球布局
[866.34-867.12] 回到产业的问题
[867.16-868.96] 我们会有一个很重要的设计
[868.96-871.00] 就是在这个关税的基本状态
[871.00-873.04] 除去关税议题
[873.04-876.64] 我们实际上看到半导体产业的基本面
[876.64-879.44] 呈现全面性的改善
[879.44-883.80] 这个改善主要反映于下游客户库存
[883.80-886.62] 调整都已经大致完成
[886.62-888.40] 人工智慧
[888.40-893.02] AI相关应用需求持续稳健成长
[893.02-895.32] 以及中国电动车市场
[895.32-897.12] 维持上升动能
[897.16-898.96] свет warp晒电位负电阻值
[898.96-900.24] 增多产业情况
[900.24-901.86] 其中其下 MiniStorm
[901.86-903.30] 和经济失败进程
[903.30-904.58] 有效活动
[904.58-905.30] 然后就是
[905.30-906.40] 有了 anunci和
[906.40-907.36] 射长 beams
[907.36-925.20] 就能够
[925.20-926.08] 加早焦助
[926.08-927.10] China
[927.10-929.66] 市场成长率为11.8%
[929.66-933.22] 较上次的12.7%有所下修
[933.22-936.56] 而半导体不含机体市场
[936.56-940.66] 2025年的成长率预估为11.2%
[940.66-945.30] 较前次预估12.6%亦有所下修
[945.30-951.36] 主要是因2024年市场机器较原先预期为高
[951.36-955.90] 2025年整体市场规模实为上修
[955.90-962.92] 上修的晶片类型主要是ASSP、Memory以及MCU
[962.92-965.80] 而Analog跟Discrete则略有下修
[965.80-971.08] 2024到2028半导体市场长期的年复合成长率
[971.08-973.62] Garland预估为7.1%
[973.62-978.64] 较前次预估7.3%为幅下修
[978.64-983.26] 主要是因2024年机器比预期的高
[983.26-990.28] 2028年整体市场规模将达到8620亿美金
[990.28-992.76] 其中不含机体市场
[992.76-998.08] 2024到2028的年复合成长率为8.4%
[998.08-1001.00] 另外IPM1市场
[1001.00-1006.56] 2024到2028年的年复合成长率预估为5.3%
[1006.56-1012.90] 2028年IPM1市场规模预估将达2410亿美元
[1013.26-1023.28] 公司所处的市场规模将从2024年全球半导体市场的6561美元
[1023.28-1031.48] 大幅增加到2028年全球半导体加IPM1超过1兆美元的规模
[1031.48-1036.78] 按照应用比来看
[1036.78-1040.58] Garland预估2025年各应用比都会成长
[1040.58-1043.24] 其中资料中心及市场规模会增长
[1043.26-1045.62] 市服器预估成长近26%
[1045.62-1048.20] 车用成长11%
[1048.20-1050.80] 而工业亦成长6%
[1050.80-1055.06] 这些带动今年整体半导体需求成长
[1055.06-1057.18] 长期趋势来看
[1057.18-1063.40] Garland预估2024到2028年汽车电子年复合成长率7.7%
[1063.40-1065.64] 工业10.9%
[1065.64-1067.56] 通讯4%
[1067.56-1071.28] 资料中心及市服器13.5%
[1071.28-1073.24] 消费电子5.5%
[1073.26-1076.72] 个人电脑及周边3.5%
[1076.72-1078.80] 手机1.4%
[1078.80-1085.58] 可见各应用领域由于AI技术与应用的持续发展与数位化的需求
[1085.58-1089.74] 未来几年还是会持续有不错的成长
[1089.74-1097.42] 公司会持续投入资源于高成长或高毛利的应用领域
[1097.42-1101.44] 如汽车电子 工业 通讯 资料通讯及市服器
[1101.44-1103.24] 目标在这些应用领域中
[1103.26-1106.72] 能够有较高的成长率
[1106.72-1110.88] 进而让公司整体成长性优于预期
[1110.88-1123.54] 接下来我们看一下第一季公司按应用别的营收分布
[1123.54-1125.76] 第一季是手机的单季
[1125.76-1129.74] 而车用及资料中心出货有短期波动
[1129.74-1133.12] 因此工业 通讯 PC等QoQ成长的应用领域
[1133.12-1136.06] 应用别营收占比有所提升
[1136.06-1140.26] 按应用别的营收变化
[1140.26-1143.94] 我们先看右上方的QoQ变化图
[1143.94-1147.00] 这是公司整体包含Future的
[1147.00-1151.50] 车用电子第一季整体季减14%
[1151.50-1154.38] 其中WT季减约20%
[1154.38-1157.12] Future则季增11%
[1157.12-1160.72] 亚洲市场因为过去连续数季成长强劲
[1160.72-1162.04] 基期较高
[1162.04-1162.98] 且第四季成长增长达到11%
[1162.98-1164.98] 即是车用的旺季
[1164.98-1166.68] 低季有所调整
[1166.68-1170.08] 欧美市场则季对季改善
[1170.08-1173.86] 工业与仪器低季整体季增5%
[1173.86-1177.66] 其中WT小幅季增2%
[1177.66-1180.64] Future约季增6%
[1180.64-1185.16] 工业从2024年以来首次出现季增
[1185.16-1187.54] 反映我们之前提到
[1187.54-1191.04] 库存调整其实已经到尾声了
[1191.04-1192.98] 整体工业需求持续增长
[1192.98-1193.98] 继续改善
[1193.98-1198.62] 通讯业务主要来自于WT
[1198.62-1201.18] 低季季增36%
[1201.18-1204.30] 通讯讯业务没有固定季节性
[1204.30-1207.82] 看供货状况及客户拉货的节奏
[1207.82-1209.26] 第四季比较淡
[1209.26-1211.16] 低季则大幅好转
[1211.16-1214.74] 长期而言我们看好光通讯的成长
[1214.74-1217.78] 不过短期季对季之间的出货
[1217.78-1219.14] 仍有可能波动
[1219.14-1220.98] 市场中心的通讯业务
[1220.98-1221.98] 通讯业务主要来自于WT
[1221.98-1222.98] 低季季增36%
[1222.98-1223.98] 通讯业务主要来自于WT
[1223.98-1226.98] 这个部分主要的营收都来自于WT
[1226.98-1228.98] 低季季减9%
[1228.98-1233.98] 比上次法说提到的季减20%要好
[1233.98-1237.32] 主要也是季度之间出货的波动
[1237.32-1239.32] 跟光通讯一样
[1239.32-1242.50] 我们看好AI在今年持续成长
[1242.50-1245.98] 但季对季之间出货会有所波动
[1245.98-1250.98] 消费性电子与其他低季整体维护
[1250.98-1251.98] 季增1%
[1251.98-1253.98] 乘限淡季不淡
[1253.98-1256.98] 个人电脑主要来自于WT
[1256.98-1258.98] 低季季增4%
[1258.98-1260.98] 亦乘限淡季不淡
[1260.98-1262.98] 手机主要也来自于WT
[1262.98-1265.98] 低季季减27%
[1265.98-1267.98] 反应季节性因素
[1267.98-1272.98] 接下来我们看简报右下方的低季营收YYY的变化图
[1272.98-1275.98] 这个是WT不含Future的
[1275.98-1278.98] 那按照应用别
[1278.98-1279.98] 车用增加4%
[1279.98-1280.98] 工业减6%
[1280.98-1284.98] 通讯年增44%
[1284.98-1286.98] 资料中心年增2%
[1286.98-1289.98] 消费电子年增9%
[1289.98-1291.98] PC年增15%
[1291.98-1294.98] 手机年增18%
[1294.98-1297.98] 可以看到除了工业外需求都正在成长
[1297.98-1301.98] 而工业年减的情况也有所改善
[1301.98-1304.98] 以上是我对大家的报告
[1304.98-1305.98] 好
[1305.98-1310.98] 谢谢董事长跟财务长连续两个部分的一个简报
[1310.98-1315.98] 那接下来我们要进行提问的一个阶段
[1315.98-1317.98] 如果您需要提问
[1317.98-1321.98] 现在在发言的一个视窗之中
[1321.98-1325.98] 写上您代表的公司大名跟问题
[1325.98-1328.98] 那接着呢我们会静音
[1328.98-1330.98] 一分钟到两分钟
[1330.98-1333.98] 收集大家的问题整理之后呢
[1333.98-1334.98] 一并回复
[1334.98-1339.98] 谢谢董事长
[1340.98-1360.98] 那 Ziel计定了
[1360.98-1361.98] 请了
[1361.98-1365.98] 请
[1365.98-1367.98] 非常感谢你
[1367.98-1369.98] 谢谢他
[1369.98-1370.98] 谢谢
[1370.98-1387.14] 好 现在我们请Yvonne来
[1387.14-1389.46] 针对问题的部分来提问
[1389.46-1392.20] 第一题 投资人询问
[1392.20-1395.34] 今年第二季与全年各应用别的展望
[1395.34-1399.76] 第二季的营收展望部分
[1399.76-1401.46] 前面已经有提到
[1401.46-1404.36] 预期按照美元计价
[1404.36-1407.00] 会有Mid Single Digit的计增
[1407.00-1411.58] 那以下WT按照应用别的情形
[1411.58-1413.14] 皆为美元计价
[1413.14-1414.62] 汽车电子
[1414.62-1418.24] 亚洲市场经过第一季的淡季调整后
[1418.24-1422.00] 预期第二季约有中高位数的
[1422.00-1423.44] 百分比的计增
[1423.44-1425.34] 工业与仪器
[1425.34-1428.66] 亚洲的工业与第一季恢复小幅计增
[1428.66-1429.74] 预期第二季约有中高位数的
[1429.74-1432.82] 第二季会有10%以上的计增
[1432.82-1437.58] 通讯AI伺服器带动光通讯升级需求强劲
[1437.58-1440.50] 尽管第一季已经有大幅的进程长
[1440.50-1444.58] 预期第二季仍然会有10%左右的计增
[1444.58-1446.48] 资料中心与伺服器
[1446.48-1450.70] 第一季营收下滑幅度低于原先的预期
[1450.70-1454.74] 预期第二季会有中高位数的
[1454.74-1456.26] 百分比的计增
[1456.26-1458.50] 个人电脑第一季单机不淡
[1458.50-1459.54] 预期第二季
[1459.54-1460.66] 开始进入旺季
[1460.66-1464.18] 也能够维持季节性超过10%的计增
[1464.18-1468.14] 消费性电子预期第二季开始会进入旺季
[1468.14-1470.16] 会有10%左右的计增
[1470.16-1472.52] 手机第二季仍然是淡季
[1472.52-1476.06] 预期营收会有个位数百分比的季节
[1476.06-1479.02] 另外需求的部分
[1479.02-1482.18] 预期第二季按美元计价的营收
[1482.18-1483.86] 也会持续小幅的成长
[1483.86-1486.14] 整体需求持续回稳
[1486.14-1487.62] 库存的问题
[1487.62-1489.50] 北美基本上已经结束了
[1489.54-1492.74] 欧洲调整也已经告一段落
[1492.74-1495.02] 至于下半年的展望
[1495.02-1499.50] 因为目前大环境存在许多变数
[1499.50-1504.70] 因此本公司只仅提供本季度的展望
[1504.70-1509.66] 接下来的问题都是跟关税有关的
[1509.66-1512.54] 首先投资人询问美国实施对等关税
[1512.54-1514.26] 对公司的直接影响
[1514.26-1518.66] 半导体目前呢
[1519.54-1521.98] 没有纳入美国对等的关税
[1521.98-1525.70] 因此只有极少数出入到美国的IPNE
[1525.70-1529.10] 及中国制半导体
[1529.10-1531.98] 出到美国会有所影响
[1531.98-1534.18] 但是这两个部分出到美国的比例
[1534.18-1536.66] 都非常比较特别特别的少
[1536.66-1540.50] 占公司整体营收远小于1%
[1540.50-1543.98] 所以公司会替客户找到相对有利的供应
[1543.98-1545.66] 以降低关税影响
[1545.66-1549.14] 如果需要付关税也会有客户负担
[1549.54-1551.54] 因此直接影响非常小
[1551.54-1558.38] 接下来投资人询问中国对美国晶圆制造的半导体
[1558.38-1561.18] 产品实施关税的直接影响
[1561.18-1564.38] 近期是否有部分品项豁免
[1564.38-1569.18] 公司代理很多美国原厂的工艺商产品
[1569.18-1574.86] 但是真正在美国制造输出占中国的比例很少
[1574.86-1579.50] 而且这个部分也大部分品项都已经没有关税了
[1579.54-1582.30] 所以直接影响非常的轻微
[1582.30-1588.94] 接下来投资人询问关税战的间接影响
[1588.94-1591.98] 是不是有看见客户因为关税提前拉货
[1591.98-1594.54] 是否会影响终端需求
[1594.54-1596.74] 我在这边再强调一次
[1596.74-1599.10] 关税大概分成两个层面
[1599.10-1601.06] 一个是指在零件的部分
[1601.06-1604.70] 那零件的部分因为大部分都已经
[1604.70-1606.82] 关税都已经拿掉了
[1606.82-1609.34] 所以说零件的部分关税的影响
[1609.34-1611.26] 其实已经很小了
[1611.26-1615.38] 那它对产品的部分其实是会有影响
[1615.38-1617.78] 那我们目前提过目前终端产品
[1617.78-1619.98] 有几个最大类的品项
[1619.98-1622.94] PC手机SERVO这一类的产品
[1622.94-1624.90] 输美的部分
[1624.90-1627.98] 非出美国根本没有受到关税的影响
[1627.98-1629.58] 出美国的部分
[1629.58-1633.42] 因为这样而提前拉货是有一些的
[1633.42-1636.58] 不过第二季的彩色主要还是反应半导体
[1636.58-1637.98] 景气循环
[1637.98-1638.82] 从谷底
[1638.82-1640.22] 逐步回升
[1640.22-1644.90] 至于关税后续会如何影响终端需求
[1644.90-1649.90] 因为相关的政策一直还在变化中
[1649.90-1652.50] 所以目前还没有办法预测
[1656.62-1660.74] 接下来就是因应美国对于各国实施
[1660.74-1661.82] 对等关税
[1661.82-1663.82] 有无收到客户回馈
[1663.82-1666.34] 需要协助移转供应链
[1666.34-1668.46] 公司会如何规划仓储
[1668.46-1671.02] 与运输以做因应
[1671.02-1675.50] 未来有无规划扩增东南亚或是印度的据点和仓储
[1677.98-1681.26] 这个应对供应链的变化
[1681.26-1686.26] 因为我们集团具有全球服务能力的能力
[1686.26-1689.98] 所以基本上这对我们来讲是一个优势
[1689.98-1693.02] 尤其是供应链转移
[1693.02-1694.98] 主要会来自于亚洲客户
[1694.98-1697.58] 这个部分是我们的强项
[1697.58-1698.34] 那
[1698.46-1702.86] 公司会持续与客户保持紧密的联系
[1702.86-1705.74] 那如果有需要调整
[1705.74-1708.62] 这个零组件的收发出货地点
[1708.62-1710.54] 因为他们的制造据点移转
[1710.54-1715.54] 公司有全球布局都可以服务客户的相关需求
[1715.54-1717.78] 仓储跟运输据点的扩充
[1717.78-1721.54] 我们可以在现有的全球平台上进行
[1721.54-1725.62] 会以客户需求与效率最大化的执行
[1725.62-1728.02] 这个部分不会是我们的瓶颈了
[1728.46-1734.86] 接下来这个问题是跟上一个有一点像
[1734.86-1737.82] 他说关税造成供应链动荡变化大
[1737.82-1742.98] 文业作为跨国通路商提供给客户的附加价值是否会增加
[1742.98-1746.42] 例如库存与各地区的金融管理服务
[1746.42-1748.66] 那文业的利润是否会更好
[1748.66-1752.70] 目前公司目前有全球布局
[1752.70-1756.12] 所以我们已经前面提了好几次了
[1756.12-1758.18] 所以因为这个贸易政策或
[1758.18-1764.46] 利润政治造成供应链复杂化以及快速变动的情况下
[1764.46-1770.46] 相信有比过去更好的能力来服务与协助原厂与客户进行调整
[1772.38-1776.58] 以这一方面来说
[1776.58-1779.98] 增加获利不会是我们的重点
[1779.98-1781.62] 我们会专注在
[1782.70-1786.46] 支持客户跟支持供应商服务他们
[1786.46-1788.16] 协助他们做最有效的工作
[1788.18-1791.26] 做最有效的调整和安排
[1791.26-1797.90] 进一步提升文业在全球的市占率
[1797.90-1799.90] 接下来这个是关于汇率
[1799.90-1805.14] 请问应对近期台币急升公司的避险策略为何
[1805.14-1808.98] 是否会对整体财务产生很大的负面影响
[1808.98-1812.94] 又或是对于毛利率的影响
[1812.94-1813.74] 谢谢
[1813.74-1814.66] 这个我来回答一下
