[0.00-20.24] 各位先進午安
[165.78-168.30] 跟去年第四季來比的話
[168.30-172.16] 9.49億是衰退了11.8%
[172.16-176.16] 然後美股淫於0.81衰退了12%
[176.16-177.04] 那跟去年同期的第一季來比的話是衰退了11.8%
[177.04-177.06] 那跟去年同期的第一季來比的話是衰退了11.8%
[177.06-179.02] 那跟去年同期的第一季來比的話是衰退了11.8%
[179.02-181.92] 那跟去年同期的第一季來比的話是衰退了11.8%
[181.92-185.08] 美股淫於0.7成長1.4%
[185.08-186.90] 那我們看下面的毛利率的話
[186.90-190.20] 今年第一季毛利率是25.51
[190.20-194.26] 跟去年的25.9稍微衰退
[194.26-200.44] 然後跟去年第一季的話是24.92比的話是有成長
[200.44-205.78] 那盈利率的話是今年第一季20.66%
[205.78-207.32] 相對跟第四季
[207.32-208.86] 去年第四季跟第一季
[208.86-208.92] 相對跟第四季去年第四季跟第一季
[208.92-211.26] 就是有稍微衰退一點
[211.26-215.06] 那最後金利的部分是今年第一季16.19%
[215.06-219.34] 跟去年的第四季16.23%
[219.34-224.78] 跟去年同期的第一季16.61比也是稍微衰退
[224.78-227.40] 那主要部分是毛利部分
[227.40-229.24] 因為我們跟第四季比的話
[229.24-230.64] 因為我們的行業有說過
[230.64-233.68] 就是通常第一季是最最淡
[233.68-235.76] 因為有逢到過年嘛
[235.76-237.76] 所以工作天數又少
[237.76-238.76] 所以相對一定會
[238.76-243.76] 比第四季來講會業績會比較不佳
[243.76-246.60] 那跟去年同期第一季比的話
[246.60-248.08] 反而就是就會有成長
[248.08-251.14] 那是因為主要我們營收成長了4%
[251.14-253.94] 但是毛利只成長了2.2%
[253.94-257.94] 那主要是因為我們的成本
[257.94-261.14] 水明的成本有稍微的增加
[261.14-265.52] 還有另外就是我們人德廠新的廠
[265.52-268.60] 有折舊有開始從去年的七月開始提升
[268.60-270.60] 所以相對的這些成本
[270.60-274.60] 還有一些人事費用的調漲等等的
[274.60-277.60] 所以導致了我們成本的成長的幅度
[277.60-279.60] 比營收的成長幅度大
[279.60-282.60] 所以毛利稍微增加了一點點
[282.60-286.60] 那營業利益的部分也是
[286.60-290.60] 費用的部分主要也是因為薪資的費用
[290.60-292.60] 較提高了
[292.60-296.60] 所以還有一些研發的一些費用增加
[296.60-297.60] 所以導致我們的營業利益率也增加了
[298.60-302.60] 所以我們也只是維持了成長一點點
[302.60-309.60] 那接下來我們來看資產數代表的一些相關的重要指標
[309.60-314.60] 那這裡我們可以看到公司的現金及有價證件的這種投資
[314.60-317.60] 達到差不多60.17億
[317.60-320.60] 那營收賬款72.58億
[320.60-324.60] 跟去年同期或者是去年底來比的話
[324.60-327.60] 其實這個營收賬款其實都差不多
[327.60-328.60] 微增了一點點
[328.60-331.60] 所以我們可以看到這個資產的資產總值
[331.60-333.60] 也就是在這個幅度上
[333.60-335.60] 那看不動產廠房設備的話
[335.60-339.60] 現在第一季達到186億
[339.60-341.60] 跟去年同期177億
[341.60-344.60] 跟去年同期的1441億比來講的話
[344.60-346.60] 是大幅的成長
[346.60-352.60] 那主要當然就是我們南港總部大樓的這一部分的增加
[352.60-357.60] 那投資性不動產基本上維持都在這個五十幾億左右
[357.60-361.60] 維持的資產總值是達到453.82億
[361.60-366.60] 那流動負債的部分目前有64.36億
[366.60-370.60] 那飛龍洞負債是101億左右
[370.60-373.60] 那負債合計是166億
[373.60-376.60] 那古龍泉域才288億
[376.60-380.60] 那我們看下面的重要指標
[380.60-384.60] 目前截至第一季的淨值是23.42
[384.60-386.60] 流動比率是217.42億
[386.60-388.60] 217.7%
[388.60-391.60] 那負債比率維持在36.6
[397.60-402.60] 那我們來看這一張的合併營收的結構
[404.60-406.60] 從這個趨勢看起來我們的
[406.60-412.60] 國產主要的目前就是台灣這一塊的一半混凝土的營收為大宗
[412.60-416.60] 現在已經到截至第一季為止已經達到84%
[416.60-422.60] 那輸出的部分是
[422.60-428.60] 衰退就是慢慢的在我們總營收裡面是越來越少了
[428.60-434.60] 那合併子公司其他子公司也是維持在差不多9%到10%左右
[434.60-440.60] 那我們接下來這張圖是
[440.60-443.60] 建造總樓地板面積
[443.60-445.60] 那我們看現在的這個
[445.60-449.60] 從樓地板面積的趨勢來講的話
[449.60-453.60] 其實目前看起來紅色區限是本期的
[453.60-458.60] 並沒有多大的衰退反而還是有稍微成長
[463.60-469.60] 那物價指數的部分來看的話也是維持在就是維持在這個高檔上
[469.60-472.60] 還沒有明顯的往下的走的趨勢
[475.60-482.60] 接下來說明一下我們公司未來的營運展望
[482.60-486.60] 基本上跟上次說明的事也是差不多的
[486.60-493.60] 因為目前主要也是一些像台積電帶來的一些科技廠房
[493.60-496.60] 在全省都還是有陸續在建廠
[496.60-499.60] 所以對我們公司來講的話
[499.60-503.60] 這個未來的3到5年的這個需求其實都還是蠻穩定的
[503.60-504.60] 那剛剛說到這個水平的部分的話呢
[504.60-508.60] 那第二部分是展望今年的話
[508.60-511.60] 我們還是以降本增益為主軸
[511.60-514.60] 然後交聚在這個AI智慧工廠
[514.60-516.60] 低碳的永續
[516.60-520.60] 啟落時TAF的實驗認證
[523.60-529.60] 那目前我們手上的訂單能見度還是維持在16個月以上
[529.60-532.60] 所以還是可以穩健的成長
[534.60-542.60] 那公司潛在的優勢更長遠的未來來看的話
[542.60-546.60] 一樣是第一個部分是我們的南港總部大樓
[546.60-551.60] 那第二點就是跟剛才前面那個展望是一樣
[551.60-557.60] 就是我們目前台中廠正在導入AI 4.0的智能生產輔助系統
[557.60-562.60] 然後期望能夠減少原料的損耗跟節省成本
[562.60-563.60] 那第三點是我們在台中的工廠的生產輔助系統是如何的呢?
[564.60-566.60] 我們目前已經推出了24款
[566.60-571.60] 或者國際ISO14067碳足跡認證的低碳混凝土
[571.60-575.60] 那這種產品目前銷售是蠻好的
[579.60-582.60] 好 那我現在就可以進行Q&A
[582.60-586.60] 歡迎各位投資朋友踴躍的問
[586.60-588.60] 謝謝
[588.60-590.60] 謝謝協理為我們的簡報
[590.60-592.60] 那如果各位先進有任何問題
[592.60-594.60] 可以直接打開您的麥克風
[594.60-596.60] 進行提問 謝謝
[608.60-609.60] 你好 不好意思
[609.60-617.60] 想請問一下有關於綠混凝土公司未來的這個
[617.60-623.60] 在建案使用的這個成長幅度有沒有往上?
[624.60-634.60] 基本上這個應該是主要是建商的要求的話
[634.60-636.60] 它只要去綠色混凝土的話
[636.60-641.60] 基本上我們的這個產品的銷售一定是都在往上走的
[641.60-642.60] 好的 謝謝
[654.60-664.60] możemy接近搭內邊嗎?
[664.60-669.60] zeka caricature redirects
[669.60-674.60] $870 kicks off
[674.60-675.60] 喂
[675.60-679.60] 目前的在手訂單量約超過八百萬左右
[679.60-682.60] 好的 謝謝
[682.60-686.32] 第二季的混泥土成本跟第一季相較有再提高嗎?
[686.32-688.82] 那請問目前在手的訂單量
[690.82-694.64] 目前在手訂單量已經回答過是差不多800萬
[695.14-700.52] 那你說第二季的成本跟第一季的成本是不是會往上走?
[701.28-703.34] 目前看起來的趨勢
[703.34-713.84] 是會往上走一點點但是幅度應該也不會太大
[717.94-718.96] 好的謝謝協力
[733.34-739.48] Q2的毛利會微幅下降嗎?因為你看我們目前
[739.74-744.34] 公布的4月營收來講是達到20.1億左右
[744.60-748.18] 那目前因為我們去年同期來講的話
[749.22-752.02] 應該說4月份的銷售量其實
[753.82-755.86] 比去年同期好很多
[759.20-763.30] 相對跟第一季來比的話毛利率應該也是有所提升
[763.54-764.62] 所以基本上
[765.14-769.74] 應該不會有所下降因為通常我們第二季的產量會比較大
[770.26-775.12] 那所以相對的成本這些製造成本跟人工成本這樣就會比較便宜一點
[775.62-778.70] 所以基本上會通常會比第一季還高
[778.96-783.06] 除非你說第二季突然又沒雨或連續下很多雨這樣子
[783.30-785.10] 突然通常會比第一季還好
[793.54-797.94] 所以如果說還是要我 nobody
[798.16-802.96] JA
[807.12-807.16] 閒說
[814.52-816.92] awards
[820.14-821.56] ervi
[823.34-832.40] 新年的出貨目標大概是620萬方
[853.34-858.96] 主要下雨天的話,當然就是下大雨的話,我們量就是沒辦法出嘛
[858.96-863.52] 所以下雨的影響主要就是因為一般混凝土這種特性
[863.52-867.32] 所以它基本上下大雨,我就沒辦法出
[867.32-868.84] 所以這都影響到
[868.84-874.26] 那你說另外一個問題說Q3Q4的趨勢是不是
[874.26-877.36] 跟以往一樣都會比較好一點
[877.36-882.58] 理論上這個天氣因素只要是都是這個這個週期來講的話
[882.58-883.34] 基本上都會是一樣的
[883.34-889.04] 因為我們手訂單已經就是基本上我們一年的出貨量已經都有了
[889.04-893.42] 只是說時間上天氣上可以配合我們就能出
[893.42-894.96] 那像我們第一季的話
[894.96-899.50] 今年的第一季比較特別是因為說實在是過完年之後
[899.50-902.16] 可能大家開工都比較晚
[902.16-905.48] 所以第一季的毛利也沒有那麼的突出
[907.50-910.04] 那目前正常的走法
[910.04-912.72] 天氣好的狀態下應該是會越來越好
[913.34-921.38] 了解
[921.38-923.60] denn
[923.60-923.84] rapidly
[923.84-930.46] CQ1 國內一般混凝土的遇 With the Q1 we are here one hundred thousand ambient soil
[930.46-933.36] 均價差不多3190
[933.36-939.42] 到第二季的部分
[939.42-939.54] debt
[939.54-943.20] 因為現在只過一個月
[943.20-947.64] 那目前來看的話應該是3200億左右
[957.34-962.06] 然後剛才說我們今年有沒有處分土地的計畫等等
[962.06-965.24] 這個我們一直都有在資產國化
[965.24-968.44] 然後也一直有在尋求買家
[968.44-972.64] 只是會不會有成大家就是要看
[973.20-976.40] 能不能成交
[976.40-980.76] 不是我們能決定但是我們是積極都有一直在處理
[991.30-996.30] 那剛才說營收的結構的部分其實我們目前的趨勢都是這樣子
[996.30-999.36] 就是公共工程裡面就差不多11%
[999.36-1001.56] 廠房也差不多12%
[1001.56-1003.16] 科技廠房是12%
[1003.16-1006.92] 然後大樓的部分就是差不多66%
[1006.92-1010.06] 那後天的是8%
[1010.06-1013.92] 目前都是以這個結構為差不多這樣
[1023.16-1024.16] 哈囉 學禮不好意思
[1024.16-1026.56] 我想快速請問一個問題
[1026.56-1033.16] 就是說有看到你們在台中打造全台第一座的AI智慧混泥土廠
[1033.16-1043.16] 那想要可不可以稍微介紹一下這個跟你們以往這個其他一般的這種就是傳統的這個廠有什麼樣的不一樣的地方
[1043.16-1047.16] 因為我們目前傳統的那個投料
[1047.16-1051.16] 因為你知道我們一般混泥土其實主要就是把砂石
[1051.16-1054.16] 藥劑 灰飛 爐石這些材料
[1054.16-1057.16] 有各自的漏斗直接把它
[1057.16-1060.16] 用人工的方式去控制它
[1060.16-1063.16] 所以要放多少料多少料進去嘛
[1063.16-1067.16] 那所謂的AI系統的話它是直接可以用
[1067.16-1069.16] 在那個
[1069.16-1072.16] 統槽裡面裝那個監測的設備
[1072.16-1076.16] 可以更精準的說我可能要投入多少的量
[1076.16-1080.16] 那這個監測設備可以更精準的投放進去
[1080.16-1086.16] 就不用用目視或用傳統的機器要目 讓看的這樣子操作
[1086.16-1092.16] 所以可以更精準的投放的原料這些不要過於浪費這樣子
[1093.16-1095.16] 所以要用一個很精準的設備
[1095.16-1098.16] 那你可能要用一個很精準的設備
[1098.16-1100.16] 就是這個
[1100.16-1102.16] 這個
[1102.16-1104.16] 這個
[1104.16-1106.16] 這個
[1106.16-1108.16] 這個
[1108.16-1110.16] 這個
[1110.16-1112.16] 這個
[1112.16-1114.16] 這個
[1114.16-1116.16] 這個
[1116.16-1118.16] 這個
[1118.16-1120.16] 這個
[1120.16-1122.16] 這個
[1123.16-1132.16] 他也不問其說我們預期今年的第二季會不會毛利能夠於
[1132.16-1144.16] 去年同期了毛利率
[1144.16-1151.16] 以毛利率來講的話不能不能保證說一定會高
[1151.16-1152.16] 會高
[1152.16-1154.76] 一定會高或者低
[1154.76-1157.02] 但是我們只能說
[1157.02-1158.16] 金額的部分
[1158.16-1161.30] 消費盲利的金額一定是會高於去年
[1161.30-1166.06] 因為我們去年的
[1166.06-1168.36] 已經過去的就是4月份的銷售量
[1168.36-1170.62] 只有差不多49萬方
[1170.62-1172.96] 那我們4月的部分是
[1172.96-1175.82] 今年4月是達到52萬方
[1175.82-1178.22] 所以量明顯的就已經比
[1178.22-1180.16] 去年的4月還高
[1180.16-1185.10] 那單價的部分也比去年的第4月高
[1185.10-1187.56] 所以基本上
[1187.56-1191.22] 盲利一定會比去年同期高
[1191.22-1195.82] 除非說5、6月突然下雨或什麼的
[1195.82-1197.40] 不然的話
[1197.40-1200.06] 應該是會比較好一點
[1210.16-1213.40] 以前如果出現暴雨累積的情況
[1213.40-1214.36] 比較好
[1214.36-1216.20] 如果有很多料 kits
[1216.20-1218.32] 或者有 JK op濾去
[1218.32-1219.20] يع разв Simple var
[1219.20-1220.06] 有點 preoc�細
[1220.06-1221.26] 可能是有地道 feedback
[1221.26-1222.52] 因為遼仁樹木
[1222.52-1233.32] 沒有實現基建
[1237.38-1237.98] 就是
[1237.98-1239.22] 去年
[1239.22-1269.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1269.22-1299.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1299.22-1317.64] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1329.22-1359.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1359.22-1389.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1389.22-1417.30] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1419.22-1449.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1449.22-1475.78] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1479.22-1509.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1509.22-1539.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1539.22-1557.08] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1569.22-1578.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1599.22-1622.90] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1629.22-1659.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1659.22-1689.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1689.22-1719.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1719.22-1749.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1749.22-1779.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1779.22-1809.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1809.22-1838.30] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1839.22-1869.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1869.22-1899.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1899.22-1929.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1929.22-1959.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1959.22-1989.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1989.22-2019.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2019.22-2049.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2049.22-2079.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2079.22-2094.34] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2109.22-2139.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2139.22-2152.10] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2169.22-2199.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2199.22-2229.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2229.22-2259.20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
