[0.00-8.64] 那欢迎各位投资先进参加凯基举办美利达线上法人会议
[1434.72-1436.72] 主要是因为我们
[1436.72-1439.72] 我们今年的话有
[1439.72-1441.72] 有蛮重要的新车款要
[1441.72-1442.72] 要上市
[1442.72-1444.72] 所以我们在去年
[1444.72-1446.72] 其实就一直在等着
[1446.72-1449.72] 因为这些车款对我们来讲非常重要
[1449.72-1451.72] 对营收跟获利都很有帮助
[1451.72-1453.72] 所以我们去年为了
[1453.72-1455.72] 为了能确保说我们可以如期
[1455.72-1456.72] 如计划生产
[1456.72-1458.72] 所以我们有比较早就
[1458.72-1459.72] 已经把
[1459.72-1461.72] 我们的很多基本上领主件
[1461.72-1463.72] 车价所有的废料都已经
[1463.72-1465.72] 都已经迁进场
[1465.72-1468.72] 所以因为那些车单价非常高
[1468.72-1471.72] 基本平均那一车大概都是从FOB
[1471.72-1473.72] 从3000到5000
[1473.72-1476.72] 所以这个大概台币光FOB就是大概台币
[1476.72-1479.72] 10万到十七八万左右
[1479.72-1481.72] 所以这车单价很高
[1481.72-1482.72] 数量也不少
[1482.72-1484.72] 所以我们为了准备这件事
[1484.72-1485.72] 所以进了非常多
[1485.72-1488.72] 几乎把所有零件的车价提高都进来
[1488.72-1489.72] 所以
[1489.72-1492.72] 导致整个存货往上升
[1492.72-1493.72] 可是
[1493.72-1494.72] 所以我们记得
[1494.72-1496.72] 如果我们把那100亿拆开来讲
[1496.72-1499.72] 台湾的部分当时有从三十几亿的库存
[1499.72-1501.72] 一路冲到40多
[1501.72-1507.72] 可是在我们12月下旬有开始生产之后
[1507.72-1509.72] 我们1月开始就很明显看到
[1509.72-1511.72] 我们的库存有大幅快速的下降
[1511.72-1512.72] 所以
[1512.72-1513.72] 像我们到三个月
[1513.72-1514.72] 我记得已经回到三
[1514.72-1516.72] 我看一下
[1516.72-1517.72] 你帮我看一下
[1517.72-1518.72] 我记得是31亿还是32亿
[1518.72-1520.72] 反正就回从四十几亿
[1520.72-1523.72] 很快速的回到三十出头亿
[1523.72-1524.72] 这样子
