[0.00-8.68] 第二位是我們的財務長葉澤光
[261.66-263.66] 增長大概6.15%
[263.66-266.66] 增長大概50%左右
[266.66-268.66] 那營收是
[268.66-273.66] 增長6%到347億台幣
[273.66-276.66] 這是我們整個營收的狀況
[298.66-302.66] 那這是整個華新科的產品的占有率的部分
[302.66-303.66] 市占率的部分
[303.66-308.66] 那晶片電阻華新科的市占率大概是29%
[308.66-312.66] 那大概全世界出貨量大概是世界第二
[312.66-315.66] 這個資料是來自於富士種園的部分
[315.66-318.66] 那電容大概占10%
[318.66-321.66] 那大概全世界第四跟第五左右
[321.66-323.66] 大概跟OG有
[323.66-326.66] 我們的產業大概有相同的比例
[326.66-327.66] 那
[328.66-330.66] 接下來就是伯莫電組
[330.66-332.66] 那我們占的是9%
[332.66-334.66] LTC 接電陶瓷濾波器
[334.66-337.66] 大概我們自以春天大概占
[337.66-340.66] 之後大概占全世界大概23%
[340.66-342.66] 那主要是生產一些手機
[342.66-345.66] 網路通訊的一些領域
[345.66-347.66] 這個部分
[347.66-350.66] 那安規電容大概就是一些Disk
[350.66-353.66] 那因為安規電容它生產的廠商比較多
[353.66-356.66] 那現在全世界第一大大也是春天
[356.66-358.66] 那我們大概是全世界第二大大
[358.66-363.66] 所以我們主要用在一些電源類的一些安規的產品上
[363.66-365.66] 以及電源進來交流電
[365.66-367.66] 那個部分的安規電
[367.66-372.66] 大概這個是整個我們產品的市占率的部分
[372.66-379.66] 那這是我們產品的各個產業的應用的分別
[379.66-382.66] 那我們公司的產品大概在整個產業上面
[382.66-384.66] 大概分別比較平均一點
[384.66-386.66] 也沒有特別集中在
[386.66-388.66] 通訊然後工業
[388.66-390.66] 大概就是非常平均的分別在
[390.66-391.66] 通訊
[391.66-393.66] 然後工業還有皮革周邊
[393.66-394.66] 消費性電池
[394.66-395.66] 然後汽車
[395.66-397.66] 那在去年的話大概
[397.66-399.66] 通訊類的產品因為
[399.66-401.66] 手機市場比較平淡
[401.66-403.66] 而且價格竟然比較多
[403.66-406.66] 所以通訊類的產品也是有點比較弱
[406.66-408.66] 那比較多的大概就是汽車
[408.66-411.66] 整整種大概在汽車跟消費性電池
[411.66-415.66] 那這兩塊大概就是有一些新的應用
[416.66-418.66] 像新能源車大概就是
[418.66-420.66] 或是智能汽車大概就是
[420.66-423.66] 比較重要的成長的部分
[423.66-426.66] 然後消費性電池大概就是
[426.66-428.66] 收到一些新的產品的應用
[428.66-431.66] AI的應用或是一些傳感器的應用
[431.66-433.66] 還有一些產商
[433.66-436.66] 那工業用跟周邊大概就是一些比較
[436.66-437.66] 跟去年
[437.66-439.66] 跟2023年
[439.66-440.66] 大概就比較平淡一點
[440.66-443.66] 大概就是持平
[443.66-445.66] 那這個各個產品
[445.66-447.66] 這個剛剛前面已經有講過
[447.66-449.66] 那也是這個地點
[452.66-454.66] 那這一個點
[454.66-455.66] 這是我們的生產據點
[455.66-459.66] 交貨地點跟生產跟工廠的據點
[459.66-462.66] 那我這邊比較強調的就是
[462.66-466.66] 我們現在總共有四個生產的基地
[466.66-467.66] 四個國家
[467.66-469.66] 大概一個是四個區域
[469.66-471.66] 大概是大陸
[471.66-472.66] 台灣
[472.66-474.66] 然後還有馬來西亞
[474.66-475.66] 英國還有日本
[475.66-477.66] 日本
[477.66-480.66] 那因為現在就是在
[480.66-483.66] 中美貿易的競爭的情況之下
[483.66-486.66] 所以呢我們現在主要的投資就是
[486.66-488.66] 擴產大概就是在馬來西亞
[488.66-490.66] 另外一部分是在日本
[490.66-495.66] 那台灣這邊當然是我們主要的
[495.66-498.66] 整個營收的滿大一部分
[498.66-501.66] 不過後面有一些產線呢
[501.66-502.66] 也開始在往
[502.66-504.66] 主要是從馬來西亞變移動比較多
[504.66-506.66] 但是有一些特殊的產品
[506.66-508.66] 我們還是放在日本那邊去做
[508.66-512.66] 因為日本它的一些生產的技術
[512.66-515.66] 還有一些生產的觀念
[515.66-517.66] 比較適合一些特殊品
[517.66-518.66] 還有一些特殊的應用上面
[518.66-520.66] 那在交貨的上面呢
[520.66-522.66] 除了各個生產基地它可以交貨以外
[522.66-525.66] 另外還有就是我們在歐洲
[525.66-527.66] 路德丹
[527.66-530.66] 另外還有一個就是阿爾帕索
[530.66-532.66] 就是美國的阿爾帕索這個地方
[532.66-534.66] 我們都有wayhouse
[534.66-538.66] 可以直接對當地的客戶做出戶
[538.66-541.66] 那這個就是分散所有的風險
[541.66-545.66] 然後最關稅的這些問題
[545.66-548.66] 做一些排除
[548.66-552.66] 所以我們在所有的產品
[552.66-555.66] 現在都把它分散至少兩個生產地
[555.66-557.66] 生產的地點
[557.66-560.66] 像電容我們現在就有兩個生產地點
[560.66-562.66] 電阻它有三個生產地點
[562.66-566.66] 耗時力破氣也有兩個以上的生產地點
[566.66-569.66] 它用這樣的方式來分散所有的風險
[569.66-575.66] 那這一頁大概就是補充剛剛上一頁的部分
[575.66-578.66] 那當然就是多個生產基地
[578.66-579.66] 多個原物料
[579.66-582.66] 主要擴產是在日本跟馬來西亞
[582.66-585.66] 物流我們是全世界物流開始補件
[585.66-588.66] 這些個人wayhouse
[588.66-590.66] 另外一個是自己材料
[590.66-592.66] 我們NIO本身就有很投資相關的東西
[592.66-594.66] 像剛剛多人關心企業生來說
[594.66-595.66] 材料的部分
[595.66-599.66] 不管是糖質分、電氣高
[599.66-603.66] 這部分也是我們主要自己支出的部分
[612.66-615.66] 那這是我們對於市場的展望部分
[615.66-618.66] 我們主要集中在五個產業
[618.66-619.66] 一個是工業
[619.66-622.66] 另外一個是智能化的
[622.66-627.66] 應該現在大部分標準流行都是講智能移動
[627.66-629.66] 這種一方當然是汽車
[629.66-634.66] 當然也很多人說的交通工具這一類的東西
[634.66-640.66] 那另外一個是PC周邊通訊跟消費性的電子
[640.66-644.66] 那在工業跟智能、汽車這一類的話
[644.66-646.66] 對我們公司來講
[646.66-649.66] 這比較多元化的產品可以運用什麼去啊
[649.66-651.66] 主要因為這些東西工業用的
[651.66-653.66] 甚至汽車用的
[653.66-656.66] 它比較集中在非常多的電源類的東西
[656.66-659.66] 還有一些比較特殊的環境的場景
[659.66-664.66] 所以它需要的元件就包含了一些重高壓的電容
[664.66-667.66] 包含了一些特殊的電阻
[667.66-669.66] 那也高壓的電阻
[669.66-670.66] 還有高溫的電阻
[670.66-673.66] 甚至一些傳感器部分
[673.66-675.66] 像NTC Service的
[675.66-678.66] 另外還有一些電源的偵測的電阻
[678.66-680.66] 我們除了所謂的可能省省部分
[680.66-681.66] 還有一些電源的偵測的電阻
[681.66-683.66] 所以這一部分的話
[683.66-689.66] 大概就是我們比較多的新的技術可以運用的部分
[689.66-693.66] 那在這邊這兩個產業上面來看的話
[693.66-697.66] 特別是在工礦上面還有電源上面
[697.66-701.66] 因為我們最近在一些電源類
[701.66-703.66] 特別是像一些台灣的
[703.66-708.66] 因為伺服器的產業這一塊成長很快
[708.66-710.66] 所以主要這些
[710.66-713.66] 比較高規的電容
[713.66-714.66] 甚至是高壓
[714.66-717.66] 甚至一些高頻
[717.66-719.66] 屬於電源類的高電容
[719.66-720.66] 高頻的電容
[720.66-723.66] 都是在這個產業裡面
[723.66-726.66] 那目前這個產業大概是
[726.66-728.66] 在成長的部分
[728.66-730.66] 因為伺服器的產業相關
[730.66-732.66] 還有智能製造
[732.66-735.66] 這些都需要用到這些東西
[735.66-738.66] 那當然這個智慧汽車這個是
[738.66-739.66] 除了電動車以外之外呢
[739.66-744.66] 當然現在所有車上面的電子零件都卸掉非常多
[744.66-747.66] 那整個電子零件的量
[747.66-750.66] 可能都比手機啊
[750.66-751.66] 家用的電視啊
[751.66-752.66] 這些加起來都還要多
[752.66-755.66] 所以這個持續在成長
[755.66-758.66] 那PC周邊這一部分大概就比較持平
[758.66-761.66] 比較成長大概就是4PC這方面
[761.66-764.66] 那整個AIPC的量應該
[764.66-766.66] 可能要等到後續
[766.66-769.66] 一些比較平價的應用處理
[769.66-770.66] 然後再調整出來
[770.66-772.66] 這個AIPC的量才會成長
[772.66-773.66] 目前我們看到PC這邊
[773.66-774.66] 當然是在持平
[774.66-776.66] 那這邊我們可以發揮的原件
[776.66-778.66] 大概就是一些高容
[778.66-780.66] 傳統一些高容的一些元件
[780.66-782.66] 還有一些就是抗流化的一些電阻
[782.66-784.66] 在伺服器上面利用
[784.66-786.66] 另外還有一些
[786.66-790.66] 偵測一些電流大小的一些電阻
[790.66-793.66] 那通訊跟consumer這一塊
[793.66-796.66] 也是我們公司非常大的主力的部分
[796.66-798.66] 主要的部分
[798.66-800.66] 就是我們現在這一塊會牽涉到
[800.66-803.66] RF的色頻的濾波器
[803.66-805.66] 然後還包含天線
[805.66-808.66] 另外還有一個就是所謂的色頻的電路
[808.66-810.66] 這高頻的部分
[810.66-812.66] 通訊的部分
[812.66-813.66] 另外一些像資料中心
[813.66-816.66] 當然牽涉到一些光通訊啊
[816.66-818.66] 這一類的東西啊
[818.66-820.66] 那這一類部分大概我們能夠
[820.66-823.66] 貢獻的大概就是一些高容電
[823.66-825.66] 還有高精度的一些電阻器
[825.66-827.66] 甚至還有一些就是
[828.66-831.66] 偵測電源用量的一些
[831.66-834.66] 特殊的低電能的電阻
[834.66-837.66] 那還有一些濾波器的部分
[837.66-839.66] 所以這個部分就增加了
[839.66-841.66] 除了剛剛這個工業用的應用
[841.66-845.66] 的一些高電壓
[845.66-847.66] 特殊的電阻
[847.66-851.66] 還有一些傳感器部分
[851.66-853.66] 這邊還多增加了一部分的
[853.66-856.66] 色頻的元器間跟天線的部分
[856.66-858.66] 那這是這個產業
[858.66-862.66] 我覺得5G通訊因為前年
[862.66-865.66] 狀況都比較遲
[865.66-866.66] 遲漏一點
[866.66-868.66] 今年應該是已經到
[868.66-870.66] 到國平應該開始在慢慢的
[870.66-872.66] 開始往上了
[872.66-873.66] 那消費性電子
[873.66-876.66] 因為收到AI的一些影響
[888.66-898.66] 所以消費性電子還是有一些應用在增長
[898.66-901.66] 那我們公司整個的業務成長狀況
[901.66-904.66] 就是一個智能化的市場
[904.66-906.66] 那整套AI成本下降
[906.66-908.66] 所以一些高新味的產品
[908.66-911.66] 另外還有一些智能機的上面
[911.66-913.66] 其實應用的產品越來越多
[913.66-915.66] 另外一個是元件的需求
[915.66-917.66] 現在電源類的應用算是比較
[918.66-919.66] 多元的
[919.66-920.66] 另外一個資訊處理
[920.66-922.66] 因為這個體積的利用率都最大化
[922.66-924.66] 所以很多新型的雲件
[924.66-926.66] 都有一些新的需求
[926.66-927.66] 這個下一頁的話
[927.66-929.66] 我會稍微做一些簡單的說明
[929.66-932.66] 那另外一個數據中心
[932.66-935.66] 因為有些能源效率跟散熱需求
[935.66-938.66] 所以一些高電量高溫大電流
[938.66-941.66] 抗流化雲間的需求會持續的增加
[941.66-942.66] 那我們整個發展策略
[942.66-945.66] 當然是往高階產品去發展
[945.66-948.66] 在AI伺服器的領用領域方面
[948.66-951.66] 跟公控汽車醫療跟新能源
[951.66-953.66] 我想這個高階的產品
[953.66-960.66] 過去我們大概在台灣的變動引擎產業
[960.66-964.66] 大概是持續在中階的產品方面
[964.66-966.66] 那目前來講就是
[966.66-969.66] 大家也持續在往高階的方面去高融
[969.66-972.66] 高壓甚至一些比較工業用的
[972.66-974.66] 高可靠度的產品上面在發展
[974.66-978.66] 這一塊當然是我們持續在投資上面
[978.66-980.66] 另外客製化
[980.66-984.66] 因為現在很多的東西應用都是蠻特殊的
[984.66-986.66] 那還有一些新的產品
[986.66-989.66] 那以前我們沒辦法接觸到一些半導理廠
[989.66-994.66] 或是一些比較先進的業動
[994.66-997.66] 因為我們台灣的一些IC的進步
[997.66-999.66] 跟一些產業的進步
[999.66-1000.66] 也幫我們帶進去
[1000.66-1003.66] 可以直接跟這些中端的客戶直接接觸
[1003.66-1004.66] 所以目前來講
[1004.66-1007.66] 有一些客製化的東西也開始在做一些討論
[1007.66-1011.66] 所以這個也要做一些比較快速的客製化的動作
[1011.66-1012.66] 另外一個是因為
[1012.66-1015.66] 我們公司也投資了非常多的日本公司
[1015.66-1018.66] 這些公司都專門做一些客製化的產品
[1018.66-1019.66] 工業用的東西
[1019.66-1021.66] 所以這一塊我們也開始跟他們在合作
[1021.66-1026.66] 做這一些所謂的客製化需求的一些業務的
[1026.66-1029.66] FAE 市場營運的服務
[1029.66-1031.66] 另外剛剛是成本降低
[1031.66-1034.66] 當然是IT化、自動化的部分
[1034.66-1036.66] 彈性製造、經營型產
[1036.66-1040.66] 海外拓展跟永續發展
[1040.66-1043.66] 這個其實是為了去全球化
[1043.66-1046.66] 還有一些關稅貿易的問題
[1046.66-1049.66] 我們持續的在拓展這些營業
[1049.66-1053.66] 永續經營這個ESG方面是一個有序的話題
[1053.66-1057.66] 我們也持續的在發展這些東西
[1057.66-1059.66] OK 下一頁
[1063.66-1066.66] 那整個產業趨勢大概我們
[1066.66-1069.66] 看的話大概從自動化
[1069.66-1070.66] 等一會
[1074.66-1078.66] 自動化、線化跟綠能跟用料減量
[1078.66-1080.66] 這一部分來著手
[1080.66-1083.66] 這是我們認為整個後面的產業的
[1083.66-1085.66] 跟技術的趨勢
[1085.66-1090.66] 那我們就是在這些趨勢裡面去尋找各個產業
[1090.66-1094.66] 在AI、在5G、在自動車、在IC產業
[1094.66-1095.66] 備用硬件
[1095.66-1098.66] 還有新能源工業的基礎建設上的應用
[1098.66-1101.66] 那我舉一些例子來講
[1101.66-1106.66] 我想要減量在IC產業這一塊的應用
[1106.66-1109.66] 那這個各位了解在安老體封裝裡面
[1109.66-1112.66] 其實這個元件越來越用越小
[1112.66-1115.66] 甚至有一些新的應用
[1115.66-1117.66] 它其實封在IC裡面
[1117.66-1121.66] 那你封在IC裡面其實你的結構
[1121.66-1124.66] 你的所有的設計其實是跟傳統
[1124.66-1127.66] 把它焊在PCB板上是不一樣的
[1127.66-1129.66] 那這一塊其實當我們去接觸這種
[1129.66-1131.66] 剛剛我講我們做很多客製化工
[1131.66-1132.66] 我們開始在接觸的時候
[1132.66-1135.66] 當你去接觸到這些比較先進的公司
[1135.66-1139.66] 你就會發現以前我們可能沒有這個機會去接觸這種行業
[1139.66-1141.66] 慢慢開始我們帶進這個行業
[1141.66-1144.66] 你就會發現它要求的東西其實不一樣
[1144.66-1148.66] 因為它封在這個IC的配置裡面
[1148.66-1150.66] 它需要的一些需求
[1150.66-1153.66] 那環境的要求也不一樣
[1153.66-1155.66] 所以它不需要有一些東西
[1155.66-1157.66] 但是它需要另外一些東西
[1157.66-1159.66] 比如說它需要小尺寸
[1159.66-1162.66] 它不需要SMT打件
[1162.66-1164.66] 它需要Wafer Bumping
[1164.66-1165.66] 這些東西
[1165.66-1170.66] 所以我們怎麼樣去滿足這些產業的需求
[1170.66-1172.66] 然後把這些材料把它減量
[1172.66-1175.66] 包含了包裝材料的減量
[1175.66-1177.66] 以前我們用Tapping Tree
[1177.66-1180.66] 我們只要把一個元件做成
[1180.66-1182.66] 不需要這個Tapping Tree
[1182.66-1183.66] 來滿足半導體的需求
[1183.66-1186.66] 這是我們的一些新的發展
[1186.66-1190.66] 那另外一個像AI這部分的發展
[1190.66-1192.66] 當你去接觸它的時候
[1192.66-1195.66] 它會需要一些比較
[1195.66-1197.66] 譬如說大家現在在台灣
[1197.66-1202.66] 要把它泡在液體裡面做閃燈
[1202.66-1204.66] 那你就會發現
[1204.66-1207.66] 你會發現這本身這個環境就是絕緣的
[1207.66-1210.66] 所以它對很多的元件的設計
[1210.66-1212.66] 它考慮的點很不一樣
[1212.66-1214.66] 所以如果你用別的方式去設計
[1214.66-1217.66] 它會得到不同的體積的電腦票
[1217.66-1222.66] 或是不同的一些耐電量的要求
[1222.66-1226.66] 這些東西都是我們現在根據這些的需求
[1226.66-1227.66] 然後去找這些產業
[1227.66-1231.66] 開發新的技術跟新的產品
[1231.66-1235.66] 這是新市場應用的部分
[1235.66-1238.66] 那我今天報告就到這邊
[1238.66-1239.66] 謝謝各位
