[0.00-5.50] 各位衛兵同志先敬大家午安
[266.42-272.82] 飛的飛機大概幾乎都是FONDA的產品在裡面
[272.82-276.66] 我先講第一個在單通道飛機的部分
[276.66-281.22] 當然最大的目前就是CNN公司所出的Lip
[281.22-283.22] 這款發動機
[283.22-285.22] Lip 當然各位知道用在G37 MAX
[285.22-289.22] A320以及中國的C919
[289.22-291.22] 那另外像Bambadia
[291.22-294.26] Ebrenna這些短途的科技上面用的CFN機
[294.26-296.26] 那另外像Bambadia這個Ebrenna這些短途的科技上面用的CFN機
[296.42-301.54] 有3.4以及舊款的C37使用的CFN56
[301.54-305.38] CRZ用的CFN34
[305.38-307.94] 舊款C37用的CFN56
[307.94-309.94] 這單通道的部分
[309.94-311.94] 那另外在雙通道的部分
[311.94-316.90] 像波音777 MAX所使用的G9X
[316.90-318.90] 787用的GNX
[318.90-322.02] 上發理用的GP7200
[322.02-325.30] G90 CF6等等這些都有
[326.42-328.42] 那另外Rothwell的引擎的部分
[328.42-331.54] 像T1000 T900 T800
[331.54-336.66] 這些大概都有我們的零件在上面
[336.66-340.50] 那另外輔會的BW-1100 BW-1800
[340.50-345.62] 這些也都是有使用到FONDA的產品
[345.62-350.74] 那除此之外
[350.74-352.74] 整個FONDA的產品在應用的部分
[352.74-355.54] 我想最大的當然還是航空的部分
[355.54-356.26] 用了很多的產品
[356.42-358.98] 那另外太空的部分也有
[358.98-360.90] 那另外陸地上的
[360.90-362.82] 比如說這個專用品牌的發動機啊
[362.82-365.38] 等等發電廠使用的部分
[365.38-370.50] 另外海洋的部分就是船隻所使用的發動機
[370.50-371.78] 這也有
[371.78-374.34] 那另外是飛機的應用方面
[374.34-376.90] 我想發動機的部分
[376.90-378.18] 剛剛提到的
[378.18-379.46] 起落降的系統
[379.46-380.74] 飛通系統
[380.74-383.30] 這些整個都是航空的應用方面
[383.30-385.86] 那汽車的部分我們還是著重在
[386.42-391.54] 一些比較客製化的汽車產品的扣件的設計方面
[391.54-394.10] 這個是FONDA一直以來想採取的一個
[394.10-396.66] 在汽車扣件上面的一些應用
[396.66-397.94] 尤其是最近這幾年
[397.94-403.06] 可能比較多運用在這種新能源車的方面
[403.06-406.90] 尤其是它品牌用很多電池
[406.90-410.74] 所以它對於整個品牌跟車身的一個緊固
[410.74-413.30] 它需要一些比較特殊的一些要求
[413.30-415.86] 這個是我們主要的應用的範圍
[416.42-418.98] 營收的部分
[418.98-424.10] 我想各位大概都很清楚我們公司的營收狀況
[424.10-426.66] 從疫情之後開始
[426.66-427.94] 我們在2022年開始
[427.94-429.22] 陸續往上爬
[429.22-430.50] 30億
[430.50-433.06] 30億
[433.06-434.34] 35億去年
[434.34-436.90] 去年35億的營收
[436.90-439.46] 那今年Q1
[439.46-440.74] 今年Q1已經來到了
[440.74-444.58] 單季是9.35億
[444.58-446.38] 這是今年Q1的狀況來的
[446.42-448.98] 當然整個Q1的狀況
[448.98-451.54] 我們來看幾個產品的一個配額
[451.54-454.36] 航胎扣件大概佔56%
[454.36-455.90] 航胎的車銷件
[455.90-458.46] 機價的部分大概佔33%
[458.46-460.50] 工業 汽車的部分
[460.50-462.80] 大概在11%
[462.80-466.90] 乳重上面大概為止是降一個狀況
[466.90-472.28] 這個是新產品的一個開發導入的部分
[472.28-476.12] 我想新產品的一個開發
[476.42-480.78] 承認的數量一直是公司比較著重的內容
[480.78-488.46] 因為這個開發會帶動未來35年未來10年的整個公司的營運的一個成長
[488.46-489.98] 所以我們還會
[489.98-495.10] 公司內部會很著重在這一塊的一個開發的數量上面
[495.10-498.18] 那截至到第一季為止的
[498.18-500.48] 130幾個項目
[500.48-502.28] 就重新被客戶認證了
[502.28-504.58] 當然這個數量還會再次增加
[506.42-509.74] 整個公司的核心發展的內容
[509.74-514.36] 持續強化整個
[514.36-515.90] 全球的一個航胎扣件
[515.90-518.96] 以及五金機加件的一個開發
[518.96-520.76] 希望能夠在這個地方
[520.76-521.78] 做一個
[521.78-524.86] 能夠在一個供應商一個領先的地位
[524.86-529.72] 當然我會積極擴展整個生產能力跟技術的一個水準
[529.72-531.76] 提供多元化的產品
[531.76-534.06] 跟服務給我的客戶
[534.06-536.38] 當然市場不斷的需求的變化
[536.42-541.80] 我們要確保客戶能夠有好的品質以及整個服務
[541.80-544.36] 那當然我們優先發展在
[544.36-550.76] 飛行安全有關的以及比較靈特利基型的產品方面
[550.76-552.30] 這是一個重點
[552.30-556.14] 當然從疫情之後我們很著重在
[556.14-558.70] 智慧製造方面
[558.70-560.22] 提升生產效率
[560.22-562.28] 控制產品的水準
[562.28-565.60] 控制這個品質的水準還有優化人力的配置
[565.60-566.38] 當然還有一個是
[566.38-568.68] 智慧化的管理
[568.68-570.48] 同時一些能提升
[570.48-572.52] 提高生產效率的工具
[572.52-574.82] 包括品質跟客戶的服務
[574.82-579.94] 那這塊公司在今年會特別著重尤其類似像
[579.94-581.74] AI的應用
[581.74-582.76] 以及
[582.76-585.32] 人型機器人上面的應用
[585.32-588.40] 這個部分在今年的公司的這個支出上面
[588.40-589.68] 也會著重在
[589.68-594.80] 這方面的一個投資
[594.80-596.08] 風達的一個
[596.08-600.44] 零件的一個發展的路線上面
[600.44-601.96] 我想
[601.96-603.00] 有三個路線
[603.00-605.56] 第一個當然會有一個通過產品的
[605.56-607.86] 擴張以及
[607.86-611.70] 技術的整合來強化風達的競爭力
[611.70-612.98] 那透過
[612.98-616.56] 人工智慧來提升整個製造的技術
[616.56-618.86] 以及品質的一個保證
[618.86-620.66] 通過自動化
[620.66-623.48] 來提升整個生產的效率
[623.48-626.04] 我們從2004年開始進入到
[626.08-628.12] 航空螺抱的部分
[628.12-631.72] 2008年機甲件
[631.72-633.00] 2015年
[633.00-634.02] 螺栓
[634.02-637.08] 其實這類型的產品都有一個共同的特徵
[637.08-639.14] 就是它需要用鍛造
[639.14-642.20] 所以我們在2019年我們把鍛造
[642.20-646.04] 特別發展成一個公司一個核心技術的能力
[646.04-649.88] 利用鍛造我們來做很多不同的開發
[649.88-652.20] 把產品的尺寸
[652.20-653.48] 從小
[653.48-654.76] 變大
[654.76-656.04] 不管是
[656.08-657.62] 螺抱也好
[657.62-659.16] 螺絲也好
[659.16-660.68] 機甲零件也好
[660.68-663.50] 從小的我們來做到變大的
[663.50-667.86] 所以透過鍛造我們是擴大整個產品零件的一個範圍
[667.86-671.18] 尺寸的範圍那也增加了各種不同產品的一個
[671.18-671.96] 組合
[671.96-673.48] 跟它的多樣性
[673.48-677.08] 當然透過智慧製造
[677.08-682.70] 包括這些自動化的部分AI的部分鍛造的自動化智慧化等等
[682.70-685.52] 來提升公司的整個生產的效率
[685.52-686.04] 以及
[686.08-687.36] 產品的一個品質
[687.36-692.22] 當然我們利用在這個基礎上面我們還會有一些
[692.22-699.40] 擴充一些不一樣的一個產品路線的一個發展
[699.40-704.26] 剛提到透過整個技術整合來強化公司的一個競爭力
[704.26-708.86] 剛提到利用鍛造我們來做更多不一樣的產品類型
[708.86-714.24] 我們把過去技嘉的東西利用鍛造來提升我們技嘉的一個競爭力
[714.24-716.04] 利用鍛造我們來做
[716.08-717.62] 更大型的
[717.62-718.64] 一些產品
[718.64-721.20] 利用鍛造我們來做
[721.20-725.04] 不一樣的一個產品類別不一樣的
[725.04-731.18] 項目的一些開發
[731.18-732.72] 螺帽的部分
[732.72-734.52] 這些大概是過去
[734.52-738.60] 風達比較傳統的一些螺帽的一個內容
[738.60-739.64] 十二角螺帽
[739.64-740.92] 十一角螺帽
[740.92-741.68] Bearow
[741.68-743.48] Gang Channel
[743.48-745.52] 浮動螺帽等等的
[745.52-747.32] 利用這些基礎
[747.32-751.16] 我們開始把零件慢慢變大
[751.16-753.72] 更深化
[753.72-756.28] 把零件的產品類別更擴大
[756.28-760.36] 利用這個基礎我們會做一些比較大的螺帽
[760.36-763.18] 利用這個基礎我們現在來開發
[763.18-764.98] 這個是前兩年開發的
[764.98-767.02] 現在開始拿到訂單的
[767.02-770.60] 這種比較新型的鎖定用的螺帽
[770.60-773.42] 利用這個鍛造我們開始
[773.42-775.48] 進入了整個
[775.52-778.08] 起落下煞車部分的一個
[778.08-781.92] 比較大的而且安全性更高的一種
[781.92-786.02] 螺帽的一個應用
[786.02-788.58] 螺栓的部分也是一樣
[788.58-792.92] 利用鍛造可以做各種不一樣形狀的
[792.92-794.20] 的螺帽
[794.20-798.30] 利用工業汽車拉帽的這個基礎
[798.30-801.38] 把它應用到航空上面來發展
[801.38-803.68] 所以利用這樣的一個技術的一個背景
[803.68-805.48] 我們來開發新的
[805.52-808.08] 不一樣的構建的應用
[808.08-809.36] 在航空上面
[809.36-811.16] 一些不一樣的構建的應用
[811.16-812.68] 那
[812.68-813.96] 鋪印到我之前
[813.96-816.02] 前幾頁的內容所提到的
[816.02-817.80] 這些新產品的開發
[817.80-820.12] 都是著重在比較
[820.12-821.40] 利基型的產品
[821.40-822.16] 也就是說
[822.16-824.72] 它的門檻相對高
[824.72-828.30] 在市場上的競爭對手相對少
[828.30-829.08] 那當然
[829.08-831.12] 它的產品的難度
[831.12-833.68] 是有一定不好做的地方
[833.68-835.22] 所以這個利用工事
[835.22-838.54] 是過去這20年的一個技術的基礎
[838.54-841.36] 還是做這樣的一些類型的一些
[841.36-845.72] 不一樣產品的開發
[845.72-849.56] 那汽車的部分我想跟過去的報告內容一樣
[849.56-852.88] 我們現在還是著重於在客製化產品的一些
[852.88-854.68] 一些應用範圍上面
[854.68-857.50] 在電池跟車身的連接
[857.50-859.28] 剎車盤的部分
[859.28-860.82] 貨車的部分
[860.82-863.64] 那當然最近的一個狀況就是因為
[863.64-865.18] 這個因為有些
[865.22-868.54] 一些比較不確定性的因素的發生
[868.54-870.60] 那
[870.60-871.88] 因為關稅的問題
[871.88-874.94] 那可能有些客戶
[874.94-877.76] 希望從比較高關稅的地方
[877.76-878.78] 能夠
[878.78-881.60] 移動到比較低關稅的地方
[881.60-882.62] 那這個當然
[882.62-885.18] 也都是我們最近
[885.18-888.26] 也接到一些比較大量的詢問的一個
[888.26-890.06] 一個內容
[890.06-892.36] 但是這個
[892.36-893.38] 我覺得還在看
[893.38-895.18] 因為隨著最近這兩天
[895.22-897.78] 美中之間的一個談判的內容
[897.78-899.06] 其實這個
[899.06-900.86] 可能還會有些變化
[900.86-902.64] 所以這個
[902.64-907.00] 還是我們繼續來關注這方面的訊息
[907.00-913.90] 那我們再來報告一下什麼的航空市場的開發的一個趨勢
[913.90-916.46] 其實豐達的零件
[916.46-917.24] 我們
[917.24-919.28] 台灣做了之後
[919.28-924.40] 我們這個舉的例子是以日本這個引擎來做一個說明
[924.40-925.18] 我們做了之後
[925.18-926.20] 其實
[926.20-929.02] 一方面一部分送到美國G1
[929.02-932.34] 送到T1送到美國G1去做組裝
[932.34-934.40] 另外一個部分是送到
[934.40-936.44] 法國賽豐
[936.44-937.72] 去做組裝
[937.72-942.08] 最後會組成立了這個引擎然後再送到
[942.08-944.64] 各個不同的領域去
[944.64-945.66] 那當然
[945.66-948.74] 飛機的部分尤其在這種所謂的
[948.74-952.32] 涅合金這個產品上面其實
[952.32-954.36] 我想各位很多人在關注說
[954.36-955.14] 關稅的問題
[955.18-956.20] 那其實
[956.20-958.00] 這些東西在
[958.00-959.78] 就算是之前的這個
[959.78-962.10] 所謂的對等關稅上面
[962.10-963.62] 其實是豁免的
[963.62-965.42] 因為航空在
[965.42-967.98] 這些方面在涅合金在高涅上面
[967.98-972.08] 他是有一些豁免的一個條款在裡面的
[972.08-974.12] 那當然
[974.12-976.68] 以737的機型來講
[976.68-978.74] 這具引擎
[978.74-983.60] 在法國會組低壓的部分
[983.60-985.14] 在美國做的是低壓的部分
[985.18-986.72] 高壓的部分
[986.72-987.74] 所以
[987.74-989.02] 737用的
[989.02-990.30] 最終組裝在美國
[990.30-992.10] 所以賽豐會把他的引擎
[992.10-994.66] 送到美國G1去做組裝
[994.66-996.96] 那如果是Airbus的部分
[996.96-998.24] 320用的
[998.24-999.52] 反過來
[999.52-1001.82] 美國做好之後會交到法國
[1001.82-1003.86] 在法國做最後的組裝
[1003.86-1005.14] 再叫Airbus
[1005.14-1008.74] 所以其實這個零件其實它是在全世界到處輪動
[1008.74-1010.02] 所以當然
[1010.02-1013.86] 包括波音Airbus或者是
[1013.86-1015.66] G1最近都一直
[1015.66-1017.70] 跟美國政府在
[1017.70-1020.52] 宣導在邀請希望恢復到
[1020.52-1022.06] 當年在19
[1022.06-1023.84] 應該是1979年
[1023.84-1025.90] 在WTO的架構上面
[1025.90-1027.68] 他們有成成一個所謂的
[1027.68-1029.98] 全球航空零件的一個
[1029.98-1032.30] 與關稅的一個條文
[1032.30-1033.82] 那你正在談這件事情
[1033.82-1034.60] 那當然
[1034.60-1036.64] 原則上整個關稅的部分
[1036.64-1038.44] 在風打的部分
[1038.44-1040.48] 我們的交易條件
[1040.48-1042.78] 是不需要去承擔
[1042.78-1043.82] 任何的關稅
[1043.86-1046.42] 那當然我知道在客戶端其實
[1046.42-1047.96] 他們也不見得會負擔關稅
[1047.96-1049.74] 因為很多東西其實是
[1049.74-1051.28] 有莫名的一個
[1051.28-1054.86] 項目在裡面
[1054.86-1057.68] 那當然因應整個市場的不確定性
[1057.68-1058.70] 我想風打
[1058.70-1061.02] 我們提出了這樣四個
[1061.02-1062.54] 方向來去發展
[1062.54-1063.32] 第一個
[1063.32-1066.90] 我們還是會深化整個學術整合的一個部分
[1066.90-1068.70] 整個技術的學術整合
[1068.70-1070.48] 控制品質成本
[1070.48-1072.28] 我們如果縮短交期
[1072.28-1073.82] 符合客戶的需求
[1073.86-1075.14] 那
[1075.14-1077.96] 我利用一些更靈活的一些方法
[1077.96-1080.00] 例如我們的生產機器
[1080.00-1082.56] 生產基地的一個更有彈性的部分
[1082.56-1085.12] 我現在有台灣我有中國我有馬來西亞
[1085.12-1087.18] 那我們在這個
[1087.18-1089.48] 幾個賽克之間我們會來做一些
[1089.48-1091.02] 做一些調整
[1091.02-1092.30] 例如說其實
[1092.30-1093.58] 其實當
[1093.58-1096.38] 當時候川普第一任的時候我們當初就做了一個調整
[1096.38-1097.42] 就是我們把
[1097.42-1099.46] 美國的東西我們從
[1099.46-1101.26] 中國移到台灣來
[1101.26-1102.78] 那
[1102.78-1103.82] 再來馬來西亞的部落口
[1103.86-1106.68] 我們最近就做了一個調整
[1106.68-1108.46] 我們會把
[1108.46-1111.80] 屬於美國的比較多美國的東西我們會
[1111.80-1113.58] 我們慢慢移到
[1113.58-1115.12] 馬來西亞去開發
[1115.12-1117.68] 屬於歐洲客戶的部分
[1117.68-1120.50] 我們會比較集中在
[1120.50-1121.78] 中國的部分
[1121.78-1124.60] 當然我剛剛現在講的是主要是以技嘉為主
[1124.60-1126.14] 因為扣件的部分
[1126.14-1128.18] 它有相當的
[1128.18-1129.46] 技術含量
[1129.46-1131.26] 以及一些knowhow的部分
[1131.26-1133.82] 所以我們不會輕易的
[1133.86-1135.90] 讓它移開台灣
[1135.90-1137.70] 當然我們會挑一些產品
[1137.70-1138.98] 就是怎麼樣
[1138.98-1141.80] 運用馬來西亞的資源來去做一些
[1141.80-1144.36] 可能比較
[1144.36-1146.40] 早比較
[1146.40-1148.96] 技術含量沒有那麼高的一些扣件
[1148.96-1150.76] 我們會慢慢移到
[1150.76-1151.78] 馬來西亞去
[1151.78-1152.54] 去生產
[1152.54-1153.82] 這個是整個在
[1153.82-1156.90] 整個生產基地的一個更彈性的部分
[1156.90-1161.26] 當然要擴大整個數位化跟智慧製造的部分
[1161.26-1163.30] 我們去優化產品智能技術的部分
[1163.86-1164.88] 這個領基
[1164.88-1168.46] 包括整個目前公司在做一些整個
[1168.46-1170.00] 技術
[1170.00-1172.30] 資料的一個混種
[1172.30-1174.10] 怎麼樣把它變成一個
[1174.10-1175.90] 夠大的一個Data Fix
[1175.90-1178.46] 來去運用未來的一個發展
[1178.46-1179.48] 那
[1179.48-1181.02] 也讓這個技術
[1181.02-1183.06] 跟這個資訊在不同
[1183.06-1184.34] 工廠之間
[1184.34-1185.36] 能夠
[1185.36-1186.90] 共享跟移轉
[1186.90-1188.18] 就我剛剛提到的
[1188.18-1189.20] 三個Site
[1189.20-1191.26] 如果在產品的Lag上面
[1191.26-1193.82] 去做一些更有彈性的一個調整
[1193.86-1196.16] 當然我們還是會持續開發
[1196.16-1197.44] 立即型的產品
[1197.44-1198.98] 生化生產線
[1198.98-1202.06] 來回應客戶的需求
[1202.06-1203.84] 以及提高我們全球的一個
[1203.84-1204.86] 競爭力
[1204.86-1207.18] 立即型的產品
[1207.18-1209.74] 是我們非常重視的一個
[1209.74-1214.08] 內容
[1214.08-1218.94] 未來20年當然整個航空的需求一定是不斷的繼續在增長
[1218.94-1220.74] 我想這個無庸置疑的部分
[1220.74-1222.78] 這個只是給大家做個參考
[1222.78-1223.56] 在
[1223.86-1225.14] 營運數量的部分
[1225.14-1226.16] RPK的部分
[1226.16-1227.44] 還是持續在
[1227.44-1230.78] 在增長當中的
[1230.78-1232.30] 那飛機的交付
[1232.30-1233.34] 給各位一個參考
[1233.34-1234.10] 就是
[1234.10-1237.18] 在Airbus跟波音
[1237.18-1240.76] 它們在2024年Airbus總共加了766架
[1240.76-1242.30] 波音350架
[1242.30-1244.34] 我想各位應該也知道
[1244.34-1245.88] 在去年
[1245.88-1246.90] 第三季
[1246.90-1248.18] 因為整個波音
[1248.18-1249.72] 包括供應鏈的問題
[1249.72-1251.00] 包括罷工的問題
[1251.00-1252.54] 其實在去年
[1252.54-1253.82] 第三季的部分
[1253.86-1256.42] 幾乎是比較short down的一個情況
[1256.42-1257.44] 所以
[1257.44-1260.78] 所以這個部分也影響到它自己波音的產出
[1260.78-1262.82] 那當然它現在慢慢在恢復了
[1262.82-1263.84] 所以
[1263.84-1265.64] Airbus在第一季
[1265.64-1266.92] 交了134架
[1266.92-1268.96] 波音交了130架
[1268.96-1271.02] 那預計的部分
[1271.02-1272.80] 他們希望目標達到的是
[1272.80-1274.34] 波音是610架
[1274.34-1277.42] Airbus大概820架
[1277.42-1281.26] 那當然這裡會有一些還是有一些部分的一些挑戰
[1281.26-1282.78] 例如說目前的供應鏈的
[1282.78-1283.82] 去年發生的一些問題是
[1283.86-1287.44] 現在慢慢在復原當中
[1287.44-1289.50] 尤其是發動機的短缺
[1289.50-1291.02] 會讓整個
[1291.02-1291.80] 飛機
[1291.80-1293.34] 組裝的一個節奏
[1293.34-1294.36] 變慢
[1294.36-1297.42] 那當然FAA對於波音的要求
[1297.42-1299.22] 還沒有完全放鬆
[1299.22-1301.26] 比如說現在波音在
[1301.26-1302.80] 737 MAX的部分
[1302.80-1305.36] 他們在第一季交了38架
[1305.36-1306.90] 那波音當然希望
[1306.90-1310.48] 這個FAA可以核准他們做更多的飛機
[1310.48-1311.76] 737的部分
[1311.76-1312.54] 這個
[1312.54-1313.82] 據了解是很難做的
[1313.86-1315.14] 所以我們在這個
[1315.14-1316.16] 打架談判當中
[1316.16-1317.96] 目前掌握大概38架
[1317.96-1319.74] 是目前的最多的一個範圍
[1319.74-1320.52] 這個是
[1320.52-1321.80] 所以
[1321.80-1323.08] 但不管怎麼樣
[1323.08-1324.36] 這個需求
[1324.36-1326.14] 一直在增加當中
[1326.14-1329.98] 一直在增加
[1329.98-1332.04] 那LiP的整個交付的狀況
[1332.04-1334.34] 去年當然因為受到波音
[1334.34-1335.62] 737 MAX的影響
[1335.62-1336.90] 而導致
[1336.90-1339.20] LiP YB的這具發動機
[1339.20-1340.48] 往下掉
[1340.48-1342.54] 那當然整個供應鏈上
[1342.54-1343.82] 在去年還是有發生一些問題
[1343.86-1345.40] 一些短缺的問題
[1345.40-1346.42] 那今年的部分
[1346.42-1348.46] 慢慢的這些供應鏈的問題
[1348.46-1349.74] 慢慢在
[1349.74-1351.54] 在變好當中
[1351.54-1353.08] 所以今年預測
[1353.08-1354.62] 整個LiP的交付
[1354.62-1355.64] 應該會來到
[1355.64-1358.20] 1600G發動機
[1358.20-1361.26] 那當然這個整個需求是一直在
[1361.26-1364.34] 往上增加的
[1364.34-1365.62] 因為
[1365.62-1368.44] 這兩天新聞也看到了就是
[1368.44-1370.48] 波音的多了一些訂單
[1370.48-1371.50] 那當然這個
[1371.50-1373.82] 我想長期來講這絕對是好事啊
[1373.86-1376.94] 這絕對是好事
[1376.94-1378.72] 維修的部分其實
[1378.72-1380.26] 在疫情的期間
[1380.26-1383.84] 在這樣疫情之後因為供應鏈的問題
[1383.84-1387.18] 因為飛機製造輪體所以在新飛機的部分
[1387.18-1388.96] 其實它一直跟不上
[1388.96-1390.76] 整個市場的需求
[1390.76-1392.80] 所以維修的部分
[1392.80-1396.38] 比如說像這具舊款的CFN565這具發動機
[1396.38-1399.98] 老總應該在2019年2020年的時候慢慢的
[1399.98-1401.26] 他要
[1401.26-1402.54] 他要淘汰了
[1402.54-1403.82] 可是因為沒辦法所以
[1403.86-1407.96] 過去這幾年一直都一直會維持維修的一個狀態
[1407.96-1410.00] 那目前的預估
[1410.00-1411.28] 還是會一直會有
[1411.28-1412.56] 只是說
[1412.56-1413.58] 整個
[1413.58-1416.40] 淘汰的速度就變那麼快
[1416.40-1419.74] 還是要把舊飛機拿出來維修因為新的飛機製造
[1419.74-1421.02] 速度上變慢
[1421.02-1422.30] 所以這個部分
[1422.30-1428.18] 還是會持續會自由的
[1428.18-1430.22] 那
[1430.22-1432.78] 當然我做這份報告的時候是大概
[1432.78-1433.82] 一兩個禮拜前
[1433.86-1438.98] 跟美中之間的問題還是很僵硬的時候
[1438.98-1439.74] 說
[1439.74-1443.08] 這個不買飛機的情況對風達的影響是什麼
[1443.08-1444.86] 其實不管怎麼樣
[1444.86-1445.90] 就算他不買
[1445.90-1448.70] 這個飛機還是會有別人要的
[1448.70-1454.34] 整個國際市場上對於737這個飛機對於波音飛機的需求
[1454.34-1456.14] 還是很強大
[1456.14-1459.72] 所以不管怎麼樣這個飛機的需求都一直會有
[1459.72-1461.00] 所以
[1461.00-1463.56] 我想對風達來講
[1463.86-1465.66] 我認為會有什麼影響
[1465.66-1466.68] 就是
[1466.68-1468.46] A不要 B也不要
[1468.46-1472.06] 大概是這樣一個意思
[1472.06-1475.12] 馬來西亞的部分
[1475.12-1477.18] 我想各位看到新聞稿
[1477.18-1478.46] 在
[1478.46-1482.54] 4月中我們在馬來西亞舉辦了一個
[1482.54-1483.82] 開幕的儀式
[1483.82-1487.42] 正式跟我們的客戶跟馬來西亞的
[1487.42-1488.44] 的
[1488.44-1489.98] 整個航空業
[1489.98-1492.28] 以及跟各位媒體朋友們
[1492.28-1493.82] 報告說我們馬來西亞的
[1493.86-1497.70] 正式要來營運
[1497.70-1498.72] 那
[1498.72-1501.28] 這塊地目前
[1501.28-1503.84] 有一個現有的工廠
[1503.84-1506.40] 大概是
[1506.40-1509.22] 三萬兩千個米方英尺的
[1509.22-1510.76] 一個工廠
[1510.76-1516.90] 那我們在去年12月開始招募員工
[1516.90-1521.00] 所以到現在我們做了很多的訓練
[1521.00-1522.54] 那工廠已經開始在市營運了
[1522.54-1523.56] 那工廠已經開始在市營運了
[1523.86-1530.00] 那市營運的對象當然是針對台灣跟針對大陸工廠的產品
[1530.00-1532.30] 在做市營運
[1532.30-1534.86] 那這裡另外一塊土地
[1534.86-1537.68] 就是同一個廠區另外一塊空地
