[0.00-8.96] 各位投资先进午安
[257.38-259.94] 那在金融资产部分明显的上升
[259.94-262.24] 这边有一些现金我们去
[262.24-265.32] 买一些保本型的一些金融商品
[265.32-268.14] 所以它是属于流动性的金融资产
[268.14-269.92] 那事实上整体来讲的话
[269.92-272.24] 整个现金部位是增加的
[272.24-274.02] 那我们看一下运输账款的部分
[274.02-276.08] 运输账款的部分我们可以持平
[276.08-277.86] 24.95亿
[277.86-280.42] 它占总资产的36.1%
[280.42-283.50] 重负的部分下降17.32亿
[283.50-286.06] 大约资产总资产的5%
[286.06-289.38] 那固定资产是113.58亿
[289.38-294.24] 那总资产来讲是346亿左右
[294.24-295.28] 总负债是8.2亿左右
[295.32-296.34] 总负债是8.2亿左右
[296.34-298.90] 总负债比是25.4%
[298.90-302.74] 普通权益是258亿左右
[302.74-305.30] 占比是74.6%
[305.30-308.64] 那我们在今年度的折旧费用是16亿左右
[308.64-311.70] 那资本支出是10.89亿
[311.70-315.80] 那我们看折旧的部分16亿跟去年来讲
[315.80-318.10] 很明显的成长
[318.10-321.44] 主要是因为发动场地的折旧开始判定
[321.44-324.00] 那资本支出的部分是下降
[324.00-325.28] 为10.89亿
[325.28-327.84] 那我们看一下资本支出的部分
[327.84-331.42] 我们在2023年的资本支出是27.43亿左右
[331.42-336.28] 我们在2023年的资本支出是27.43亿左右
[336.28-338.34] 但在2024年是10.89亿
[338.34-339.62] 变成10.91亿左右
[339.62-341.40] 变成10.91亿左右
[341.40-343.46] 以上是针对于财务的报告
[343.46-345.50] 2024年度做的简要的说明
[345.50-346.28] 以上是针对于财务的报告
[346.28-347.56] 做的简要的说明
[347.56-349.08] 谢谢
[349.08-352.42] 接着再会跟各位来报告我们的business update
[352.42-355.24] 我们2024年的总营收市
[355.24-357.04] 是120.9亿
[357.04-361.38] 那YOY成长大概4%
[361.38-362.40] 下一页
[362.40-364.72] 如果看每一季来看的话
[364.72-369.06] 第四季的营收是29.8亿
[369.06-375.46] 比第3季加降3%
[375.46-376.74] 下一页
[376.74-378.54] 那如果是看Arch module的话
[378.54-380.84] 第四季
[380.84-383.92] QOQ是成长17%的
[383.92-384.94] 所以是
[384.94-388.52] 216,231
[388.52-390.82] 下一页
[390.82-392.88] 那在Heavy module的话
[392.88-396.98] 是QOQ是下降47.05亿
[396.98-399.28] 下一页
[399.28-401.32] Serumic Subject是
[401.32-404.14] QOQ是下降17%
[404.14-407.98] 4.8亿
[407.98-410.54] Each Product
[410.54-413.62] QOQ是下降2%是14.8亿
[414.94-420.32] 那如果看我们的应用来看的话
[420.32-423.90] 最大的还是我们的器质相关的
[423.90-425.94] 已经降到67%了
[425.94-427.48] 然后其次是
[427.48-429.78] 手机相关的是7%
[429.78-434.14] 工业用的降12%
[434.14-436.18] 通信的9%
[436.18-439.00] 医药的话再4%
[439.00-443.36] 现在看起来
[443.36-444.90] 我们QE因为
[444.94-449.30] 在1月份过年和2月份的短月
[449.30-451.60] 所以现在看起来大概是
[451.60-456.98] 中个位数的下降
[456.98-461.06] 以上是我的报告
[461.06-463.12] 接下来是Q&A时间
[463.12-464.40] 那各位投资先进
[464.40-465.42] 如果有任何问题
[465.42-466.96] 请用问语答题问
[466.96-467.46] 谢谢
[474.94-494.66] aprove this video
[494.66-506.40] 这边有位投资先进有问到
[506.40-509.40] 公司现在已经是2024年
[509.40-512.40] 那在2025年公司对于这个四大产品
[512.40-514.36] 有什么样的排序与展望
[514.36-519.22] 你现在目前从客户那边得来的资讯
[519.22-521.46] 成长最快的应该
[521.46-526.08] 幅度最大的还是RF模组当中的光纤通讯的部分
[526.08-529.34] 那第二个是陶瓷基板
[529.34-532.94] 第三个是车用的影像感测器
[532.94-534.52] 然后最后才是Hybrid
[538.02-539.94] 那这边还会投资先进问到
[539.94-544.90] 这个公司如何看待这个全球车用去库存的进度
[544.90-549.50] 我们从客人那边得到的消息是
[549.50-551.44] 现在的库存应该回到正常的水平
[551.46-557.22] 但是每一个因为政治的关系
[557.22-559.74] 所以大家都非常保守了
[559.74-562.44] 就对增加库存非常保守
[562.44-565.14] 所以到目前为止还是步步为营
[565.14-568.68] 但是基本上这个库存是一个非常正常的状况
[568.68-569.56] 健康的状况
[581.46-583.88] 这动作就是我们来讲一下
[583.88-600.64] 我们中文上面 gutero
[600.86-603.14] 加入个 LOG
[604.14-608.30] split
[608.32-610.04] 电感到 different
[610.04-610.56] 不行
[610.56-611.26] LOG
[611.26-611.28] 侧 있다
[611.28-611.32] 再刁
[611.32-611.42] 杀人犯覆性根据评论
[611.42-611.44] 好嗯
[611.44-617.84] 这位还为投资先进问到
[617.84-622.22] 就是最近中国车厂
[622.22-624.30] 它有自主的ADAS
[624.30-626.40] 自动驾驶的产品
[626.40-629.20] 那公司在这边是否有机会
[629.20-634.28] 那公司的客户及产品有哪一些
[634.28-639.74] 目前我们看到的是
[639.74-643.74] 根据客人跟我们的预估
[643.74-646.04] 就是下半年开始
[646.04-648.36] 比较高阶的影像感测器
[648.36-652.10] 主要是用在ADAS这边的数量
[652.10-653.60] 我们的客人告诉我们
[653.60-655.44] 觉得这个数量会增加
[655.44-657.64] 所以请我们替他准备产能
[657.64-660.04] 有足够的空间
[660.04-662.52] 让他如果拉货的时候
[662.52-664.12] 我们可以支持他的生产
[664.12-668.50] 看起来这个在高阶的车用影像感测器
[668.50-669.72] 都在自动驾驶
[669.72-671.08] 应该是乐观的
[671.08-672.92] 而且可以看到有一定的动感
[672.92-682.38] 那还有客户跟这个产品主要是有哪一些
[682.38-688.62] 我们在车用影像感测器
[688.62-690.04] 主要有几个客人
[690.04-693.90] 那当然有主要的还是美国的
[693.90-695.12] 还是日本的
[695.12-696.38] 那他们
[696.38-699.70] 现在所谓的高阶的产品
[699.72-702.02] 是在自动驾驶上面的
[702.02-703.48] 我想在1M以上
[703.48-706.48] 大概看起来是3M 8M这两个为主力
[706.48-712.28] 这边还有一位投资先进问到
[712.28-713.12] 陶瓷机版
[713.12-715.52] 那在这个车用上面
[715.52-718.28] 今年是否因为有这个新的客户
[718.28-720.38] 或者是导入新的产品的专案
[720.38-721.90] 是的
[721.90-729.06] 我们本来在车用的LED上面
[729.06-729.70] 给投电了
[729.72-731.12] 我们的车用的
[731.12-733.56] 本来主要还是欧美的客人
[733.56-735.36] 那经过很多年的努力
[735.36-737.60] 现在终于有一家日本的客人
[737.60-738.68] 逐渐在导入了
[738.68-741.24] 但是车用的东西在这时间很差
[741.24-743.64] 导入的期程也事实上是
[743.64-745.92] 比较不会一下子冲上来
[745.92-748.16] 但是很稳定的在增加这个数量
[759.72-763.04] 所以我们的投资是绝对可以的
[763.04-764.48] 所以我们的投资是绝对可以的
[764.48-766.62] 所以我们的投资是绝对可以的
[766.62-767.26] 好
[767.26-768.30] 那这边还有法人问到
[768.30-773.10] 之前法说有提到手机闪光灯
[773.10-774.74] 可能导入陶瓷机版
[774.74-780.16] 请问公司目前是否有新的进度
[780.16-785.20] 本来这个闪光灯在我们童星的LED营收
[785.20-788.54] 其实以前曾经占过非常高的比例
[788.54-789.72] 后来客人转用
[789.72-792.68] 其他的方式来购置
[792.68-795.64] 这最高阶的LED的闪光灯
[795.64-798.90] 但是从最近开始
[798.90-800.24] 我们
[800.24-802.28] 当这个客人事实上有两个供应商
[802.28-803.60] 我们已经进入到
[803.60-805.86] 第一个供应商的供应链里面
[805.86-807.96] 用这种比较高阶的闪光灯
[807.96-811.04] 也是用在最高阶的手机
[811.04-812.50] 才会用到这个
[812.50-814.62] 那我想大概
[814.62-817.80] 我们过去的经验是四五月会开始
[817.80-819.46] 那这个
[819.72-821.64] 我想我们四五月这个闪光灯
[821.64-825.68] 会有一定的贡献的金额
[825.68-829.56] 那当然我们还希望说这个客人是不是可以
[829.56-831.36] 除了在最高阶的之外
[831.36-834.92] 慢慢慢慢导入到所有的其他的
[834.92-838.68] 那同时我们也很努力的在跟另外一家供应商
[838.68-841.94] 这个供应商非常非常困难打进去
[841.94-843.70] 但是现在已经开始我们
[843.70-846.24] 也让我们在做样品在测试当中
[846.24-847.84] 希望能够开发结果
[849.72-851.66] 如果感觉到我们已经已经有了
[851.66-853.42] 或者可利尼商的功能
[853.42-855.52] 那这个状况
[855.52-856.40] нашей这个行业oug
[856.40-858.20] 希致 Heb
[858.20-859.96] 我们已经就还是吃了
[859.96-861.32] 这个干了
[861.32-862.40] 如果我们开始这一节的
[862.40-863.24] 等等让我们再进行
[863.24-864.88] elemento mili
[864.88-866.54] ninety不再 captive
[866.54-869.34] 一切必须交易
[869.34-872.40] 我现在就跟你说
[872.40-873.80] 我有utt
[873.80-875.08] 这种感觉
[875.08-877.34] 那这样 follower
[877.34-878.72] 那就 sebagaigestellt
[878.72-879.56] egent功界
[879.56-886.94] RW不得在後段在中國做封測
[886.94-892.06] 手機CIS重新是否可以受惠
[892.06-896.64] 這個應該分兩部分來說
[896.64-899.80] 其實除了手機之外
[899.80-904.12] 車用的電子感測器
[904.12-907.36] 本來主要是我們主力的IBGA
[907.36-912.48] 還有大陸供應鏈在做的Wafer Level CSP
[912.48-918.60] 現在也開始慢慢看到有一些RW的需求
[918.60-920.60] 就是說他們用COB的製程
[920.60-923.88] 我們現在也在做樣品認證
[923.88-927.24] 當然車用時間不會這麼快
[927.24-933.12] 但是慢慢慢慢車用的RW的聲音也會慢慢發酵
[933.12-935.48] 第二個就是手機CIS
[935.48-937.32] 假如是
[937.32-939.32] 中國大陸的客人
[939.32-942.44] 目前用中國大陸的RW的供應鏈
[942.44-948.84] 他們會不會因為想要供給中國之外的市場
[948.84-951.40] 會不會考慮到同性的RW生產線
[951.40-954.76] 這個我們一直在密切的跟這些廠商配合
[954.76-955.84] 也討論了
[955.84-957.84] 這個到目前為止還沒有定論
[960.84-964.04] 這邊韓維法人問到
[964.04-967.08] 是否可以請公司談談衛星
[967.32-969.88] 方面的進展
[969.88-973.40] 衛星持續發射
[973.40-975.52] 持續復建通訊網
[975.52-978.64] 到目前為止使用的人數還不是太多
[978.64-986.52] 所以當然我想他會持續在復建這樣的一個合約
[986.52-988.76] 就是跟每一個國家去商量
[988.76-990.88] 要求評斷
[990.88-993.76] 然後把他的衛星通訊的服務
[993.76-997.16] 放到各個地區去的
[997.32-999.88] 當然美國北美是最先用的
[999.88-1002.44] 但是現在看起來他在很多國家都在做了
[1002.44-1007.56] 我想持續去做這個事情一定會進行的
[1007.56-1009.36] 另外就是說
[1009.36-1012.68] 希望說衛星對手機直接通訊
[1012.68-1016.52] 他目前為止在測試Tax
[1016.52-1018.56] 然後當然下一步就是語音
[1018.56-1020.36] 在最後才是數據
[1020.36-1022.16] 這個都會逐步的進行
[1022.16-1023.68] 我想這個方向
[1023.68-1026.24] 應該還是會持續的來進行
[1026.24-1027.28] 我們
[1027.32-1030.40] 看著他們的長期的規劃
[1030.40-1032.70] 還是會數量會增加
[1032.70-1036.28] 但是這個客人是很努力的在降低成本
[1036.28-1037.04] 所以
[1037.04-1038.32] 我想
[1038.32-1040.64] 這個
[1040.64-1042.16] 新的設計會
[1042.16-1043.44] 更有效率
[1043.44-1045.76] 這是一個非常好的公司
[1045.76-1047.28] 這個應該要做的事情
[1047.28-1053.94] 但是總體來說我們的營收應該還是會向上增加的
[1057.32-1063.20] 韓國獨協和韓國獨協都認為
[1063.20-1065.12] 不知道他們會有多大的成本
[1065.12-1066.18] 或者是會否推動
[1066.18-1067.04] 我們ところ還都明白
[1067.04-1068.20] 取我們的政策
[1068.20-1069.04] 不知道
[1069.04-1070.88] 唯有然後 lower
[1070.88-1072.88] 太多已經掉在關卡拿入的
[1072.88-1074.32] 我有一些的話
[1074.32-1076.00] 但是這個
[1076.00-1079.08] 現在才不是Where am I
[1079.08-1081.00] 到底在說到個什麼
[1081.00-1082.92] 怎樣給那個變化
[1082.92-1085.36] 感覺有點似乎較艱owych
[1085.36-1086.50] 我覺得
[1086.50-1087.02] 我 grupo
[1087.02-1114.72] 近期市场有传出中国车用的CMOS、CS缺货
[1114.72-1118.12] 公司是否有看到此现象?
[1118.12-1126.32] 公司目前车用影像高阶产品占车用CMOS比重大概多少?
[1126.32-1131.12] 当然我们客人有告诉我们说
[1131.12-1137.52] 未来他们觉得高阶的车用影像产品数量会增加
[1137.52-1139.72] 这个是有提前通知我们
[1139.72-1143.52] 但是车用的产品通常不会一下子冲起来了
[1143.52-1144.62] 它会提前给我们一个示范
[1144.62-1148.32] 因为它自己的供应链也需要时间去反映
[1148.32-1150.22] 这是我们听到的消息
[1150.22-1152.02] 我们客人通知我们
[1152.02-1154.52] 至于确实的比例不太方便说
[1154.52-1156.52] 但是趋势是这样没有错
[1156.52-1160.22] 就是从本来的VGA 1M
[1160.22-1162.72] 然后慢慢转向3M、8M
[1162.72-1165.72] 这样的趋势是一直在增加的
[1174.62-1180.62] 将来主要的诺贷数量会那么贵
[1180.62-1184.82] 所以提前使用CMOS跟在同一个时期
[1184.82-1187.22] 做服务在Sirens的通划中
[1187.22-1189.92] 也许发现 automated 设计问题
[1189.92-1192.62] 任何启动货期都都会见到
[1192.62-1194.66] 不要忘带验证
[1194.66-1196.28] Теперь实际他们在 swinging 上车的 가지
[1196.28-1197.42] 面做了这个中�ольно维的改变
[1197.42-1199.32] 请问公司目前订单的能见度有改善吗?
[1203.32-1204.42] 我想
[1204.42-1209.58] 主要的客人尤其跟汽车跟手机相关的生意
[1209.58-1212.12] 都是客人还是非常保守的
[1212.12-1213.22] 这个我想这个
[1213.22-1215.82] 当然有一些长期的订单
[1215.82-1218.82] 就是医药的这种
[1218.82-1220.40] 它的人件度就是很稳定
[1220.40-1222.80] 然后也可以看到比较远
[1222.80-1224.18] 看产品
[1224.18-1225.54] 不要是看产品
[1225.54-1230.16] 但是基本上这些跟政治相关的东西
[1230.16-1231.54] 跟关税相关的东西
[1231.54-1233.30] 客人都是非常保守的
[1234.42-1250.04] 请问2025年
[1250.04-1252.96] 低轨卫星会有新的成长动能吗
[1252.96-1255.94] 我想这个成长的趋势
[1255.94-1259.22] 和那个成长的
[1259.22-1261.66] 百分比
[1261.66-1263.28] 我想应该跟2024年
[1263.28-1264.40] 差不多这样的范围
[1264.42-1266.42] 并没有一个很突出的
[1266.42-1268.02] 是这样的政策
[1268.02-1268.78] 但目前为止
[1268.78-1272.30] 可能没有这样的跟我们的说明
[1294.42-1297.38] 请问公司目前各厂区的
[1297.38-1299.28] 驾动率状况如何
[1299.28-1302.92] 那这个新厂巴德厂有何规划
[1302.92-1306.26] 可以让这个驾动率提高
[1306.26-1309.78] 驾动率最高的还是我们的珠北工厂
[1309.78-1312.38] 这个珠北工厂的驾动率是最高的
[1312.38-1316.44] 然后巴德工厂
[1316.44-1318.30] 因为那个空间是非常非常大
[1318.30-1322.76] 然后我们一直在思考是哪一样的产品
[1322.76-1324.26] 比较适合在巴德厂里面的工厂
[1324.42-1327.50] 巴德厂建制的也比较大
[1327.50-1329.80] 规模比较大
[1329.80-1330.88] 楼高也比较高
[1330.88-1332.18] 所以如果开动的话
[1332.18-1333.72] 那个成本是比较高的
[1333.72-1335.58] 我们要找到适当的产品
[1335.58-1338.88] 才可以在这样的一个场地来做
[1338.88-1341.04] 目前还在争取
[1341.04-1343.32] 目前还在
[1343.32-1344.70] 在构思当中
[1344.70-1346.66] 目前没有一个确确的结论
[1354.42-1358.46] 但仍无疑问
[1358.46-1361.34] 已经装备到底有没有特别的压力
[1361.34-1363.74] 到现在我们正在在考虑
[1363.74-1366.36] 感觉买进来的我冰卷
[1366.36-1368.34] 这个需要有所稳定
[1368.34-1370.02] 是多水平来的
[1370.02-1371.04] 或者 collapse 的
[1371.04-1373.00] 或者是根本放闪啪啪啪的
[1373.00-1373.20] 这些方面
[1373.20-1374.64] depende족人的对 posit 所以
[1374.64-1375.48] 我们希望能令我们看得到
[1375.48-1379.16] 我们更好地可能开 experient 的
[1379.16-1380.40] 我们希望能不让瓦斯
[1380.40-1381.66] 有损坏
[1381.66-1383.06] 因为它流动 didn't know
[1383.06-1383.76] 这个非常快
[1383.76-1384.24] Physically
[1384.24-1389.14] 對 我們講說下半年這個量會增加
[1389.14-1394.34] 那是不是因為是中國目前供應比較緊張的關係
[1394.34-1395.44] 我不太確定
[1395.44-1397.44] 他並沒有告訴我們狀況
[1397.44-1400.34] 但是的確有客人告訴我們說
[1400.34-1401.94] 下半年數量會增加
[1401.94-1403.34] 叫我們準備好產品
[1414.24-1439.14] 是否可以談談我們車用CIS的客戶
[1439.14-1440.44] 在中國車廠
[1440.44-1443.94] 比如這個BRD或吉利的這個
[1443.94-1444.14] 帳號上的客戶在中國車廠
[1444.14-1447.74] 那我們主要服務的市場
[1447.74-1450.34] 如果以非中國市場的話有哪些
[1450.34-1454.04] 我想我們的客人
[1454.04-1459.44] 他們當然在高階
[1459.44-1461.24] 我們看他成長的動能比較大
[1461.24-1463.54] 這個應用主要是自動駕駛
[1463.54-1466.54] 自動駕駛導入最積極的
[1466.54-1467.74] 我想還是在中國大陸
[1467.74-1469.34] 我相信我們的客人
[1469.34-1473.84] 應該在中國大陸很用力的去推他們的產品
[1473.84-1474.04] 我想
[1474.04-1476.94] 因為他們的技術和過去的經驗比較多
[1476.94-1479.94] 應該是有一定的競爭力
[1479.94-1481.94] 尤其是其中有一個客人
[1481.94-1483.94] 我想他競爭力是比較高的
[1483.94-1486.94] 我們努力的滿足他的需求
[1486.94-1490.94] 至於我們的客人
[1490.94-1492.94] 有沒有在中國以外的市場來供貨
[1492.94-1494.94] 我想絕對是的
[1494.94-1497.94] 因為他們都是日本或是歐美的供應商
[1497.94-1499.94] 在自己的家
[1499.94-1502.94] Home market當然一定是很努力的在推銷
[1502.94-1503.94] 這沒有問題
[1504.04-1510.96] 那麼台幣公司 Stefane
[1511.02-1514.24] 中國比較外出的
[1514.24-1516.34] 世界上руш益的
[1516.40-1518.28] 怎樣解決他們的貿易 Lexer
[1518.28-1519.48] 巴黎很低
[1519.48-1521.74] 現在已經差很多
[1521.74-1523.84] 因為冰箱問題
[1523.84-1525.34] Shameful
[1525.34-1527.34] 但是它已經是很重要的問題
[1527.34-1529.24] 我們有愛台灣的人
[1529.24-1531.94] 對日本對台灣unter spirituality
[1531.94-1533.94] 我們對台灣深層也有信心
[1533.94-1562.88] 有位法人问到
[1562.88-1564.76] 可能前面这个问题没有很清楚
[1564.76-1567.18] 那他这边说的比较清楚的说是
[1567.18-1569.86] 这个美国BIS的禁令
[1569.86-1574.46] 那这个禁令是限制高阶的boundary后段
[1574.46-1576.22] 不能在中国做封测
[1576.22-1580.50] 那所以许多这个大陆的客户来台湾的封测厂
[1580.50-1584.84] 那想请问大陆的这个CIS客户
[1584.84-1588.18] 是否有机会在台湾封测下订单
[1588.18-1590.48] 大陆的客人
[1590.48-1592.86] 目前他的主力的产品
[1592.86-1596.70] 都是在中国大陆的boundary下订
[1596.70-1602.62] 所以在台湾的boundary下订的数量不多
[1602.62-1605.30] 但是我们的了解是这一些东西
[1605.30-1606.54] 大概都在我们这边碰撞
[1606.54-1612.70] 在台湾的boundary下的下订的碰撞
[1612.70-1615.44] 目前为止应该是在我们这边碰撞
[1622.86-1632.58] 但是我们的这个CIS客户
[1632.58-1634.86] 是在台湾的这个CIS客户中
[1634.86-1636.86] 是在台湾的这个CIS客户中
[1636.86-1638.86] 是在台湾的这个CIS客户中
[1638.86-1640.86] 是在台湾的这个CIS客户中
[1640.86-1642.86] 是在台湾的这个CIS客户中
[1642.86-1644.86] 是在台湾的这个CIS客户中
[1644.86-1649.86] 刚刚有分享到这个RF Module是成长性排序第一
[1649.86-1651.86] 那是否可以进一步分享
[1651.86-1652.86] 是什么样的成长性排序第一
[1652.86-1653.86] 那是否可以进一步分享
[1653.86-1655.86] 是什么样的成长性排序第一
[1655.86-1657.86] 是新产品的还是新客户的导入
[1657.86-1659.86] 成长速度最快还是光纤相关的模组
[1659.86-1661.86] 成长速度最快还是光纤相关的模组
[1661.86-1663.86] 成长速度最快还是光纤相关的模组
[1663.86-1665.86] 那客人还是原来的客人
[1665.86-1667.86] 那客人还是原来的客人
[1667.86-1669.86] 这个我们已经配合很多年
[1669.86-1671.86] 那是不是新产品是的
[1671.86-1673.86] 因为我们本来的主力是400枚
[1673.86-1675.86] 因为我们本来的主力是400枚
[1675.86-1677.86] 当然还有一些原来的100枚的
[1677.86-1679.86] 400G和原来的100G
[1679.86-1681.86] 但是现在慢慢的800G就开始成长
[1681.86-1683.86] 慢慢的800G就开始进来了
[1683.86-1686.26] 开始量数量会慢慢增加
[1686.26-1687.86] 那甚至在研发阶段
[1687.86-1691.96] 下一个阶段的1.6T也开始在
[1691.96-1694.56] 在讨论怎么样制作样品的事情
[1711.86-1716.96] 想请问这个光通讯产品今年订单的展望
[1716.96-1720.16] 我想我们客人还是
[1721.16-1723.56] 觉得今年的成长性非常高的
[1723.56-1726.76] 当然他们给我们的
[1726.76-1728.76] 的Forecast已经是成长
[1728.76-1731.06] 幅度相当不错了
[1731.06-1732.36] 但是他们还是
[1732.36-1733.86] 警告我们说
[1733.86-1736.06] 产能还是可能要多倍一点
[1736.06-1739.06] 比如说给我们事先的通知说
[1739.06-1741.66] 这个我现在给你的Forecast
[1741.86-1745.66] 应该算是保守的
[1745.66-1748.46] 那有可能还会再增加
[1748.46-1750.06] 目前他告诉我们的
[1750.06-1751.86] 这个是状况是这样子
[1751.86-1754.86] 所以我也会依据这样的
[1754.86-1756.86] 通知去做准备
[1771.86-1793.86] 想请问这个第一季集
[1793.86-1796.06] 这个2025年的毛利展望
[1796.06-1799.76] 因为第一季是我们
[1799.76-1801.46] 传统的战绩
[1801.46-1803.86] 那相对于营收也会受到影响
[1803.86-1807.06] 因为毛利率可能也不会
[1807.06-1809.66] 有很大的一些依托性的成长
[1809.66-1813.06] 可是我们要看整体OO来看的话
[1813.06-1814.46] 整体的毛利率
[1814.46-1815.66] 应该是往上
[1815.66-1817.06] 谢谢
[1831.46-1848.86] 想请问这个卫星主要出北美以外
[1848.86-1851.46] 那这个欧洲是否已经有打入
[1851.46-1854.06] 目前我们的主要的客人
[1854.06-1855.26] 还是北美的客人
[1855.26-1857.26] 欧洲当然持续在联络
[1857.26-1861.26] 但是目前没有确实的进度
[1861.26-1862.86] 到目前为止
[1862.86-1865.26] 我还是很努力的去想办法
[1865.26-1869.06] 跟大家争取的
[1869.06-1870.26] 但是到目前为止
[1870.26-1872.26] 还没有确确的答案
[1887.66-1891.06] 现场的法人朋友是不是还有要提问
[1891.26-1892.26] 是的
[1892.26-1893.26] 是的
[1893.26-1893.98] jeżeli一架 costly
[1893.98-1894.34] 还是
[1894.34-1894.90] 就得很高的
[1894.90-1895.66] 我们 programa
[1895.66-1896.42] 就得 falta
[1896.42-1897.10] 可以
[1897.10-1897.66] 地址
[1897.66-1899.66] 也要
[1899.66-1902.06] 但我们后面再回来
[1902.06-1903.26] 但是我们可以想办法
[1903.26-1904.66] 准确 有问题
[1904.66-1905.66] transitioning
[1905.66-1906.26] 真的
[1906.26-1907.46] 我약就答了
[1908.66-1909.30] 对
[1909.30-1910.66] 是我
[1910.66-1913.58] 我
[1914.16-1914.56] 我
[1914.56-1915.26] 我
[1915.26-1915.86] 我
[1918.20-1918.80] 我
[1918.80-1919.52] 我
[1919.52-1919.94] 我是
[1919.94-1920.60] repeating
[1920.60-1921.16] 想一言
[1921.16-1921.22] palace
[1921.26-1926.06] 請問公司認為全球車廠的競爭加速
[1926.06-1930.90] 中國車的崛起對於歐美的汽車產業
[1930.90-1935.02] 關稅等問題對於公司的影響如何
[1937.42-1942.54] 我想整個車市不會因為關稅的問題
[1942.54-1944.78] 而把數量變得很大的變化
[1944.78-1945.66] 我想是不會的
[1945.66-1950.82] 車子往自動駕駛的方向前進
[1950.82-1952.46] 這也是不變的趨勢
[1952.46-1953.90] 如果這樣子的話
[1953.90-1957.02] 就會用高階的車用影像感測器
[1957.02-1962.18] 在這方面我想我們的客人在這樣的領域
[1962.18-1964.46] 競爭力是很夠的
[1964.46-1966.54] 他們也是很全力的在
