[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-32.00] 我总是守护你的安全
[293.02-294.94] 回馈社会责任之义务
[294.94-296.12] 在教育方面
[296.12-298.02] 我们捐赠的设备
[298.68-301.68] 中华大学共同成立了影像实验室
[301.68-303.92] 在对偏远地区学校
[303.92-305.68] 我们也捐赠物资
[305.68-308.16] 甚至于帮助贫困家庭
[308.16-310.16] 捐助的奖助学金
[310.16-312.24] 以及静滩活动等等
[312.24-317.00] 未来我们当然会继续扩大这个范围
[317.00-319.68] 市场上朝国际化布局
[319.68-322.12] 技术上朝AI布局
[322.12-325.68] 在产品上面增加多元化的产品
[325.68-328.24] 以及海外扩张的计划
[328.68-331.76] 达到未来的一个设计蓝图
[331.76-335.68] 然后把公司能够成为世界级的
[335.68-337.92] AI的光学影像专家
[337.92-341.52] 完成客户托付之不可能任务
[341.52-344.92] 就是公司全体共同的目标
[358.68-360.68] 随着科技飞快的进步
[360.68-363.68] 加上人类对于生活中品质的追求
[363.68-365.68] 许多智能科技产品
[365.68-367.68] 如手机 手表 家电
[367.68-369.68] 健康辅助设备等
[369.68-372.68] 已经更便利且趋近人性
[372.68-375.68] 普及于你我的日常生活周遭
[375.68-378.68] 台亚在这些产品的发展中
[378.68-381.68] 扮演着关键的角色
[381.68-383.68] 1983年12月
[383.68-385.68] 总部首次在台亚的公司上
[385.68-387.68] 举行公开的公开设计计划
[387.68-391.68] 总部设立于台湾新竹科学园区的台亚
[391.68-396.68] 当时以生产销售发光二集体经历起家
[396.68-398.68] 随着市场需求与发展
[398.68-400.68] 不断地推陈出新
[400.68-403.68] 并导入自动化生产技术
[403.68-406.68] 透过资源整合与不断的创新
[406.68-409.68] 替专业市场提供解决方案
[415.68-416.68] 其中
[416.68-417.68] 感测源区的
[417.68-419.68] 新建的研究与制造
[419.68-422.68] 正是我们主要发展的核心项目
[422.68-425.68] 借由建制高性能的光偶元件
[425.68-428.68] 以及长波长Vixel
[428.68-431.68] 与长波长PD等产品所需的机型
[431.68-435.68] 并进行CIM系统升级
[435.68-440.68] 以扩大产能来应应未来市场的需求
[440.68-444.68] 除了在生产制造上投入大量心力
[444.68-446.68] 在品质上更是严格把关
[446.68-448.68] 我们每一站
[448.68-453.68] 皆以CPK制成能力综合指标来监控制成
[453.68-457.68] 并以自动化设备取代人工检测
[457.68-459.68] 以提高良率及效率
[459.68-462.68] 增加产能 降低成本
[462.68-466.68] 将瑕疵或不符合标准的元件排除后
[466.68-470.68] 才能放心将质量优良的产品交给客户
[470.68-472.68] 不仅如此
[472.68-475.68] 台亚在针对各合作客户们多元的需求上
[475.68-482.68] 也能透过专业的服务提供客制化的解决方案
[482.68-489.68] 为了满足产品被专业市场使用的要求
[489.68-493.68] 我们透过优良的研发团队不断改进
[493.68-495.68] 以此提升质量外
[495.68-502.68] 也建置了许多如封装测试 良率检验等精密多功能的仪器辅佐
[502.68-504.68] 持续开发更多创新的设计
[505.68-510.68] 并且提升专业市场的专业性能与性能卓越的成果
[510.68-513.68] 在面对不同合作客户时
[513.68-518.68] 台亚始终以满足客户的需求为优先考量
[518.68-521.68] 藉由累积而来的丰富经验与知识
[521.68-523.68] 搭配专业的服务团队
[523.68-525.68] 针对有不同目的的客户们
[525.68-529.68] 提供了专业支援 产品维护
[529.68-534.68] 产品相关教育训练 技术咨询等四项核心服务
[535.68-538.68] 解决各合作客户们多元的需求
[538.68-545.68] 未来物联网人工智慧时代来临
[545.68-549.68] 智能产品将更多元的应用在我们的生活中
[549.68-553.68] 无论是虚拟实境 扩增实境
[553.68-557.68] 亦或是混合实境相关技术的提升与应用
[557.68-561.68] 都促进了人们藉由科技得以在不同地点
[561.68-564.68] 身历其境相同事物的可能
[564.68-567.68] 目前市场上的穿戴感测商品
[567.68-572.68] 唯独血糖感测功能还得以穿字取样的方式进行
[572.68-576.68] 台亚将透过进阶的光源感测搭配运算处理
[576.68-579.68] 这项技术将大幅提升生活品质
[579.68-582.68] 并让健康管理更加便利
[582.68-585.68] 在无人驾驶技术的研发跟推动过程中
[585.68-590.68] 台亚的感测元件精准融合汇整所有感应资讯
[590.68-592.68] 连接AI人工智慧运算平台
[592.68-593.68] 并同时搭配专业的技术设计
[594.68-596.68] 搭配V2V车间传输
[596.68-599.68] 高精确度GPS定位等多元技术
[599.68-601.68] 强化资讯准确度
[601.68-605.68] 在系统层面将理论更加真实具象化
[606.68-608.68] 除了环境危害物质禁用
[608.68-612.68] 消解和环安卫绩效的认知与参与之外
[612.68-615.68] 我们更重视建构友善职场
[615.68-618.68] 经由教育训练与良性沟通
[618.68-622.68] 提升员工对产品质量把关的用心与坚持
[622.68-624.68] 建由推动的新的技术设计
[624.68-627.68] 使用健康管理保护员工身心健康
[627.68-629.68] 促进持续发展
[629.68-634.68] 共同缔造安全无污染的永续生活环境
[634.68-638.68] 台亚三十多年的精益求精
[638.68-641.68] 我们努力学习 勤于思考
[641.68-643.68] 我们用心工作
[643.68-646.68] 创造世界第一的商品
[646.68-649.68] 让台亚与您共同打造
[649.68-652.68] 革新 璀璨的未来
[654.68-657.68] 创造 Huang lifestyle
[657.68-659.68] 考虑療程
[659.68-662.68] 领受yn прав
[662.68-663.68] 喜欢上新闻
[663.68-664.68] 订阅朱局
[664.68-665.68] 二维网
[665.68-667.68] 两位统一的传媒
[667.68-669.68] LISA
[670.68-671.68] 请问说
[671.68-672.68] 在欧洲
[672.68-674.68] 看完那一段 memorizing
[674.68-675.48] 否则
[675.48-675.68] 无法錄下
[675.68-677.68] 番ressed
[677.68-678.68] 存在
[678.68-679.68] 不只是
[679.68-680.68] strawberries
[680.68-681.68] 花
[681.68-682.68] 和
[682.68-683.68] 香
[683.68-685.38] 遠雷池半步
[685.38-687.62] 我是光 我是影
[687.62-689.62] 我是你無形的眼
[689.62-690.62] 和雅智慧
[690.62-693.12] 伴你看見更精彩的世界
[696.86-699.16] 本身研發工程師出身
[699.16-701.06] 對專業的執著
[701.06-702.84] 對品質的堅持
[702.84-704.70] 對創新的熱忱
[704.70-706.36] 由於20多年來
[706.36-708.80] 都一直專注在光學影像領域
[708.80-710.38] 所以讓我看到
[710.38-712.74] 在未來市場的一個重要性
[712.74-714.98] 激起了心中的一個
[714.98-716.74] 沉寂已久的創業夢想
[716.74-718.18] 一步一步
[718.18-720.14] 往世界級的公司邁進
[722.18-724.46] 和雅智慧的技術核心
[724.46-726.58] 包含AI的影像視點
[726.58-728.96] 影像品質的檢測軟體
[728.96-731.56] 精密光學的對位系統
[731.56-733.86] 智慧製造的系統整合
[733.86-735.20] 和雅智慧科技
[735.20-737.66] 專注在光學 影像 AI
[737.66-739.94] 三個核心領域的技術研發
[739.94-742.44] 並透過三個核心技術的整合
[742.44-744.64] 提供客戶各種光學檢測
[744.64-746.04] 影像品質軟體
[746.04-748.28] 以及AI演算法等方案
[748.28-750.78] 和雅智慧我們在光學 影像 AI
[750.78-752.38] 這三個技術的佈局
[752.38-754.08] 我們投入大量的研發資源
[754.08-756.36] 在這個三大技術領域當中
[756.36-758.22] 我們的公司的產品型態
[758.22-760.66] 多於軟體演算法為核心
[760.66-762.26] 但是我們會因應不同的市場
[762.26-763.72] 跟不同的應用的差異
[763.72-765.20] 需要整合其他的硬體
[765.20-767.16] 我們鎖定的市場大概有三類
[767.16-769.34] 第一類是在車用市場
[769.34-770.54] 未來的車用市場
[770.54-772.44] 雖然它總量的增長不會太大
[772.44-773.68] 但是每年的總量
[773.68-775.78] 大概會在9000萬輛上下
[775.78-777.68] 其中又因為新能源車
[777.68-779.68] 跟自動駕駛技術的提升
[779.68-782.02] 這個會對車用的各種光學模組
[782.02-783.72] 提供一個很好的承展動能
[783.72-788.32] 譬如說前視 後視 環景 車內
[788.32-790.00] 甚至整合到智慧頭燈的
[790.00-791.32] 3D感測系統
[791.32-792.80] 跟自動輔助駕駛的
[792.80-794.26] 熱成像模組等等
[794.26-796.16] 這些模組的生產測試
[796.16-798.90] 都需要採用我們的影像檢測系統
[798.90-800.20] 以及光學主動式的
[800.20-801.70] 精密對位系統等等
[801.70-802.44] 第二個是
[802.44-803.54] 市場是在半導體
[803.54-805.78] 因為在半導體的晶圓製程中
[805.78-808.44] 有很多需要對瑕疵進行檢測
[808.44-811.04] 我們的AOI的瑕疵檢測系統
[811.04-813.16] 除了傳統的視覺檢測以外
[813.16-815.76] 也融入我們自行開發的AI研發
[815.76-817.76] 那麼一方面可以降低過殺率
[817.76-820.22] 另外一方面也可以把瑕疵做分類
[820.22-822.22] 在收集的批量的檢測結果之後
[822.22-824.06] 經過我們的AI數據分析
[824.06-825.86] 可以提供客戶製程優化
[825.86-827.50] 來改善良率
[827.50-830.24] 第三個就是隨著全球化的趨勢
[830.24-832.44] 以及人口老化的動能不足
[832.44-834.44] 那未來對協作機器人
[834.44-836.94] 無人化工廠的需求將迅速增長
[836.94-839.72] 那這樣的需求也會需要各種2D 3D
[839.72-840.88] 影像的視覺
[840.88-843.12] 以及以AI進行生產
[843.12-845.52] 大數據分析的整合
[845.52-847.46] 和亞智慧股份有限公司
[847.46-849.72] 成立於2015年
[849.72-851.42] 從創業初期的艱辛
[851.42-854.12] 成長為近百人的企業
[854.12-855.46] 每一段里程碑
[855.46-857.96] 都是讓我們驕傲的印記
[862.44-864.44] 在全球的全球市場中
[864.44-866.44] 提供了全球最大的新產品
[866.44-868.44] 並且提供了全球最大的工廠
[868.44-870.44] 並且提供了全球最大的工廠
[870.44-872.44] 並且提供了全球最大的工廠
[872.44-874.44] 並且提供了全球最大的工廠
[874.44-876.44] 並且提供了全球最大的工廠
[876.44-878.44] 並且提供了全球最大的工廠
[878.44-880.44] 並且提供了全球最大的工廠
[880.44-882.44] 和亞智慧深知
[882.44-884.44] 要在競爭激烈的市場中勝出
[884.44-886.44] 必須以研發作為核心動力
[886.44-888.44] 同時關注人才的養成
[888.44-890.44] 以確保技術創新的永續性
[890.44-892.44] 而營運者的信心
[892.44-894.44] 讓產隊在業務、管理
[894.44-896.44] 與財務等領域分工合作
[896.44-898.44] 形成了一套高效的運作體系
[898.44-900.44] 形成了一套高效的運作體系
[900.44-902.44] 讓公司在各個面向都能穩步前行
[902.44-904.44] 讓公司在各個面向都能穩步前行
[904.44-906.44] 近年推出的AI、光學、影像等方案
[906.44-908.44] 近年推出的AI、光學、影像等方案
[908.44-910.44] 皆有獎獲
[910.44-912.44] 反映在營收貢獻上
[912.44-914.44] 創造連續四年的獲利
[914.44-916.44] 並持續成長
[916.44-918.44] 我對待員工如同對待家人一般
[918.44-920.44] 我對待員工如同對待家人一般
[920.44-922.44] 在這一塊推行的彈性工時
[922.44-924.44] 在這一塊推行的彈性工時
[924.44-926.44] 從員工的家庭日部門的聚餐
[926.44-928.44] 甚至員工旅遊
[928.44-930.44] 後面的員工的認股、分紅
[930.44-932.44] 甚至員工的認股、分紅
[932.44-934.44] 等等的措施
[934.44-936.44] 同仁有歸屬感
[936.44-938.44] 專業領域上精益求精
[938.44-940.44] 社會公益也薄弱人後
[940.44-942.44] 我們積極參與各項公益活動
[942.44-944.44] 善盡企業回饋社會責任之義務
[944.44-946.44] 善盡企業回饋社會責任之義務
[946.44-948.44] 在教育方面
[948.44-950.44] 我們捐贈的設備與中華大學
[950.44-952.44] 共同成立了影像實驗室
[952.44-954.44] 共同成立了影像實驗室
[954.44-956.44] 我們捐贈物資
[956.44-958.44] 甚至幫助貧困家庭
[958.44-960.44] 捐助的獎助學金
[960.44-962.44] 以及淨灘活動等等
[962.44-964.44] 未來我們當然會繼續
[964.44-966.44] 擴大這個範圍
[966.44-968.44] 市場上朝國際化佈局
[968.44-970.44] 市場上朝國際化佈局
[970.44-972.44] 技術上朝AI佈局
[972.44-974.44] 在產品上面增加
[974.44-976.44] 多元化的產品
[976.44-978.44] 以及海外擴增的計畫
[978.44-980.44] 來達到未來的一個
[980.44-982.44] 設計藍圖
[982.44-984.44] 公司能夠成為
[984.44-986.44] 世界級的AI的光學影像專家
[986.44-988.44] 世界級的AI的光學影像專家
[988.44-990.44] 完成客戶托付之不可能任務
[990.44-992.44] 完成客戶托付之不可能任務
[992.44-994.44] 就是公司全體共同的目標
[994.44-996.44] 就是公司全體共同的目標
[1010.44-1012.44] 隨著科技飛快的進步
[1012.44-1014.44] 加上人類對於生活中品質的追求
[1014.44-1016.44] 加上人類對於生活中品質的追求
[1016.44-1018.44] 許多智能科技產品
[1018.44-1020.44] 如手機 手錶 家電
[1020.44-1022.44] 健康輔助設備等
[1022.44-1024.44] 已經更便利且趨近人性
[1024.44-1026.44] 普及於你我的日常生活周遭
[1026.44-1028.44] 普及於你我的日常生活周遭
[1028.44-1030.44] 台亞在這些產品的發展中
[1030.44-1032.44] 扮演著關鍵的角色
[1032.44-1034.44] 扮演著關鍵的角色
[1034.44-1036.44] 1983年12月
[1036.44-1038.44] 總部設立於台灣新竹科學園區的台亞
[1038.44-1040.44] 總部設立於台灣新竹科學園區的台亞
[1040.44-1041.44] 當時以生產銷售的目標為
[1041.44-1042.44] 當時以生產銷售的目標為
[1042.44-1044.44] 發光二集體精力起家
[1044.44-1046.44] 發光二集體精力起家
[1050.44-1052.44] 各位現場的長官
[1052.44-1054.44] 各位現場的長官 貴賓以及所有與會的投資先進好朋友們
[1054.44-1056.44] 各位現場的長官 貴賓以及所有與會的投資先進好朋友們
[1056.44-1058.44] 大家午安 大家好
[1058.44-1060.44] 我是今天的活動主持人Sony蘇慧
[1060.44-1062.44] 非常開心也非常榮幸
[1062.44-1064.44] 在此與各位一起來共相盛舉
[1064.44-1066.44] 在此與各位一起來共相盛舉
[1066.44-1068.44] 和亞智慧科技股份有限公司
[1068.44-1070.44] 股票代號7825新櫃前法人說明會
[1070.44-1071.44] 股票代號7825新櫃前法人說明會
[1071.44-1073.44] 股票代號7825新櫃前法人說明會
[1073.44-1075.44] 股票代號7825新櫃前法人說明會
[1075.44-1077.44] 在此先請代表主辦單位
[1077.44-1079.44] 感謝各位的歷齡參與
[1079.44-1081.44] 那麼在本日活動的一開始
[1081.44-1083.44] 我們也要邀請到我們台亞集團的長官
[1083.44-1085.44] 我們也要邀請到我們台亞集團的長官
[1085.44-1087.44] 以及母公司日亞化學時尚副總
[1087.44-1089.44] 一起歷齡到台前
[1089.44-1091.44] 與各位投資先進
[1091.44-1093.44] 一同來打聲招呼
[1093.44-1095.44] 那現在我們也有請我們的台亞集團的長官
[1095.44-1097.44] 幫我們共同歷齡到我們的台前
[1097.44-1099.44] 幫我們共同歷齡到我們的台前
[1099.44-1100.44] 以及我們的時尚副總
[1100.44-1102.44] 也一起歷齡到台前
[1102.44-1104.44] 好在今天這個非常難得的時刻
[1104.44-1106.44] 好在今天這個非常難得的時刻
[1106.44-1108.44] 我們非常開心有租位與會的重要級長官
[1108.44-1110.44] 我們非常開心有租位與會的重要級長官
[1110.44-1112.44] 跟我們的現場投資先進
[1112.44-1114.44] 一起來打聲招呼問聲好
[1114.44-1116.44] 那在這邊也有請我們的母公司日亞化學時尚副總
[1116.44-1118.44] 那在這邊也有請我們的母公司日亞化學時尚副總
[1118.44-1120.44] 一起歷齡到我們的台前
[1120.44-1122.44] 好那在我們的活動一開始呢
[1122.44-1124.44] 好那在我們的活動一開始呢
[1124.44-1126.44] 我們也讓大家來進行合影留念
[1126.44-1128.44] 那在這邊呢
[1128.44-1130.44] 我也先為各位介紹到的
[1130.44-1132.44] 是我們中間的
[1132.44-1134.44] 台亞李國光董事長
[1134.44-1136.44] 請揮揮手向我們現場朋友們致意
[1136.44-1138.44] 那接著呢
[1138.44-1140.44] 是我們的
[1140.44-1142.44] 金亞簡萬才董事長
[1142.44-1144.44] 歡迎
[1144.44-1146.44] 以及河亞石文基董事長
[1146.44-1148.44] 以及河亞石文基董事長
[1148.44-1150.44] 上亞黃坤健董事長
[1150.44-1152.44] 以及我們的冠亞王洪東董事長
[1152.44-1154.44] 以及我們的冠亞王洪東董事長
[1154.44-1156.44] 好那最後是我們母公司日亞化學時尚副總
[1156.44-1158.44] 好那最後是我們母公司日亞化學時尚副總
[1158.44-1160.44] 歡迎
[1160.44-1162.44] 我們主席的各位貴賓
[1162.44-1164.44] 那現在呢也邀請到
[1164.44-1166.44] 主委的掌握貴賓都可以一同看向正前方的攝影鏡頭
[1166.44-1168.44] 好也讓我們右手向前
[1168.44-1170.44] 比出一個讚
[1170.44-1172.44] 為我們今天
[1172.44-1174.44] 台亞集團聯合法人說明會
[1174.44-1176.44] 一同來進行喝載
[1176.44-1178.44] 看向正前方
[1178.44-1180.44] 露出燦爛的微笑
[1180.44-1182.44] 三二一讚
[1182.44-1184.44] 謝謝
[1184.44-1186.44] 再度感謝今天所有與會長官的
[1186.44-1188.44] 歷齡參與
[1188.44-1190.44] 我們今天就坐休息
[1190.44-1192.44] 謝謝各位長官
[1192.44-1194.44] 台亞集團近年來積極推動集團專業分工
[1194.44-1196.44] 台亞集團近年來積極推動集團專業分工
[1196.44-1198.44] 今日也非常難得的
[1198.44-1200.44] 將我們亞家軍齊聚一堂
[1200.44-1202.44] 共同召開聯合法人說明會
[1202.44-1204.44] 希望都可以讓各位投資先進
[1204.44-1206.44] 更加深入了解
[1206.44-1208.44] 亞家軍未來的營運發展概況
[1208.44-1210.44] 亞家軍未來的營運發展概況
[1210.44-1212.44] 另外呢在我們的光學影像領域
[1212.44-1214.44] 深耕超過20年的
[1214.44-1216.44] 和亞智慧科技股份有限公司
[1216.44-1218.44] 也即將於4月15
[1218.44-1220.44] 在新的晶圓櫃掛牌
[1220.44-1222.44] 和亞智慧專注於光學影像技術研發
[1222.44-1224.44] 利用技術優勢與AI人工智慧
[1224.44-1226.44] 利用技術優勢與AI人工智慧
[1226.44-1228.44] 為半導體、車用市場、原宇宙、智慧製造等領域
[1228.44-1230.44] 為半導體、車用市場、原宇宙、智慧製造等領域
[1230.44-1232.44] 提供高效的技術解決方案
[1232.44-1234.44] 產品涵蓋了光學、車用電子、自動化設備及技術服務
[1234.44-1236.44] 產品涵蓋了光學、車用電子、自動化設備及技術服務
[1236.44-1238.44] 產品涵蓋了光學、車用電子、自動化設備及技術服務
[1238.44-1240.44] 對於科技急劇的變化
[1240.44-1242.44] 和亞智慧將致力於創新產品與技術提升
[1242.44-1244.44] 和亞智慧將致力於創新產品與技術提升
[1244.44-1246.44] 為客戶提供更好的產品服務
[1246.44-1248.44] 為客戶提供更好的產品服務
[1248.44-1250.44] 那麼在今日的非凡日子裡
[1250.44-1252.44] 也象徵著台亞集團即將邁向下一個里程碑
[1252.44-1254.44] 也象徵著台亞集團即將邁向下一個里程碑
[1254.44-1256.44] 現在也讓我們共同用熱烈掌聲邀請到
[1256.44-1258.44] 現在也讓我們共同用熱烈掌聲邀請到
[1258.44-1260.44] 李國光董事長先來為我們今日的活動進行引言
[1260.44-1262.44] 李國光董事長先來為我們今日的活動進行引言
[1262.44-1264.44] 掌聲有請林董事長
[1264.44-1266.44] 歡迎李董事長 麗玲到台前
[1266.44-1268.44] 歡迎李董事長 麗玲到台前
[1268.44-1270.44] 有請
[1270.44-1272.44] 各位投資法人先進
[1272.44-1274.44] 各位投資法人先進
[1274.44-1276.44] 各位朋友
[1276.44-1278.44] 大家下午
[1278.44-1280.44] 下午叫做午安
[1280.44-1282.44] 午安
[1282.44-1284.44] 首先還是很感謝各位投資先進
[1284.44-1286.44] 首先還是很感謝各位投資先進
[1286.44-1288.44] 今天麗玲到台前
[1288.44-1290.44] 今天台亞集團聯合法說會的現場
[1290.44-1292.44] 今天台亞集團聯合法說會的現場
[1292.44-1294.44] 我想今天
[1294.44-1296.44] 最重要的目的還是
[1296.44-1298.44] 我們河亞7825
[1298.44-1300.44] 我們河亞7825
[1300.44-1302.44] 要準備在4月15號
[1302.44-1304.44] 要以參考價45塊錢
[1304.44-1306.44] 要以參考價45塊錢
[1306.44-1308.44] 掛新櫃
[1308.44-1310.44] 我想河亞智慧是
[1310.44-1312.44] 台亞集團亞家軍
[1312.44-1314.44] 第二家獨立掛上新櫃的公司
[1314.44-1316.44] 第二家獨立掛上新櫃的公司
[1316.44-1318.44] 在我們台亞集團聯合法說會的現場
[1318.44-1320.44] 我們大家長治亞化學
[1320.44-1322.44] 在俊嘉副董的指示之下
[1322.44-1324.44] 在俊嘉副董的指示之下
[1324.44-1326.44] 台亞集團一步一步把上下游的供應鏈
[1326.44-1328.44] 台亞集團一步一步把上下游的供應鏈
[1328.44-1330.44] 各個公司慢慢整合
[1330.44-1332.44] 然後一步一步把它推上IPO的市場
[1332.44-1334.44] 然後一步一步把它推上IPO的市場
[1334.44-1336.44] 我想這是
[1336.44-1338.44] 我們戴副董給的一個責任
[1338.44-1340.44] 也是一個任務
[1340.44-1342.44] 我的KPI
[1342.44-1344.44] 目標要
[1344.44-1346.44] 10年要10家
[1346.44-1348.44] IPO的公司在台亞集團底下
[1348.44-1351.26] 那陸陸續續你也看在我們展場外
[1351.52-1353.30] 有陸陸續續幾家子公司
[1353.56-1356.12] 產出他們現在新開發的產品
[1356.38-1359.44] 從不管是從Gain從這個SIC
[1359.70-1361.24] 那你可以看到我們
[1361.50-1363.54] 從這個IC設計等等
[1364.06-1365.60] 所有的產品串鏈
[1365.84-1367.12] 這個產業鏈
[1367.38-1368.66] 各個產品在
[1368.92-1374.30] 在這個會場前面展示給各位投資先進來一從參考也給我們一些指教
[1374.80-1375.32] 那
[1376.34-1378.40] 特別還是很高興啊今天
[1378.70-1379.46] 不管怎麼樣
[1379.72-1380.24] 荷亞
[1380.48-1382.02] 已經10年
[1382.28-1383.04] 那
[1383.30-1384.84] 在今在
[1385.36-1386.64] 在4月15號
[1386.88-1388.68] 正式要掛新櫃
[1388.94-1389.70] 那
[1391.24-1395.34] 很多人在問那新櫃掛了這個他們到底業績是怎麼樣
[1396.36-1399.68] 我都說你們荷亞不能說台亞可以說
[1401.22-1405.58] 去年去年我想荷亞智慧的成績不凡啦荷亞智慧
[1405.84-1407.36] 你看這個7825
[1407.62-1408.40] 7825
[1408.70-1409.46] 是有意義的
[1409.98-1411.76] 去年這個我們的這個
[1412.02-1413.04] EPS
[1413.56-1414.08] 是多少
[1415.86-1416.38] 2.
[1416.88-1417.66] 2.78
[1417.92-1418.94] 剛好78
[1419.20-1419.70] 2.78
[1420.48-1421.50] 那今年呢
[1421.76-1423.54] 我想這個會投資法人先進
[1423.80-1426.88] 最看最想要知道到今年是多少
[1427.64-1428.66] 也在上面
[1428.92-1430.20] 也在上面
[1430.46-1431.22] 這個
[1431.74-1433.28] 至於什麼數字
[1433.78-1434.80] 這個
[1436.08-1438.14] 財務長教我不能講但是
[1438.70-1439.98] 在上面但是
[1440.24-1441.76] 我想跟各位說
[1442.28-1446.12] 我們是保守啦謹慎樂觀來看整個今年
[1446.38-1448.42] 荷亞智慧的整個成長
[1448.94-1451.50] 但是我估計應該也有個
[1451.76-1453.04] 3塊
[1453.80-1456.36] 多後面兩個數字在上面
[1457.90-1458.66] 所以我想
