[0.00-2.40] 各位貴賓還有線上的朋友們
[674.90-676.90] 這是我們一個很大的一個強項
[676.90-678.90] 那大家就想像
[678.90-680.90] 你如果是代理人你如果是
[680.90-682.90] 找一個人來幫你做事
[682.90-684.90] 代理人你不會想要
[684.90-686.90] 一個代理人是學東西學得很慢的
[686.90-688.90] 那這樣你整個效率也都會變得很低
[688.90-690.90] OK
[690.90-692.90] 那右上角這邊就是在講說
[692.90-694.90] 你會希望這個ROBA
[694.90-696.90] 除了
[696.90-698.90] 眼明也需要他手快
[698.90-700.90] 那右上角就是講說
[700.90-702.90] 你的手跟腳
[702.90-704.90] 怎麼樣做到精準有效率
[704.90-706.90] 那這部分呢
[706.90-708.90] 就是我們跟AVILA
[708.90-710.90] 我們用了他很多的這個
[710.90-712.90] Isec QMotion
[712.90-714.90] 就是讓手臂能夠很快速的
[714.90-716.90] 去找一個最優化最佳的路徑
[716.90-718.90] 那
[718.90-720.90] 再來呢
[720.90-722.90] 這些都是左上角跟右上角
[722.90-724.90] 這都是軟體
[724.90-726.90] 都是AI
[726.90-728.90] 那你要讓這些AI在實體的
[728.90-730.90] 機器人上面
[730.90-732.90] 跑
[732.90-734.90] 他才能夠叫做一個物理代理人
[734.90-736.90] physical agent
[736.90-738.90] 那所以呢
[738.90-740.90] 也得跟
[740.90-742.90] 很多的不同的
[742.90-744.90] 機器人
[744.90-746.90] 比如說傳統的機械手臂
[746.90-748.90] 人型機器人
[748.90-750.90] 機器狗
[750.90-752.90] 這個AMR
[752.90-754.90] 無人機
[754.90-756.90] 都要能夠串在一起
[756.90-758.90] 那所以我們過去七八年
[758.90-760.90] 在做這個AI就是把各式各樣的機器人
[760.90-762.90] 還有各式各樣的這個
[762.90-764.90] AI的這個
[764.90-766.90] 力神經網路Motion的這些
[766.90-768.90] 串在一起都串在一個平台上面
[768.90-770.90] 那你如果說
[770.90-772.90] 每個工程師這樣去串串串
[772.90-774.90] 其實是很耗時間的
[774.90-776.90] 所以我們打造了一個平台
[776.90-778.90] 下一頁
[778.90-780.90] 這個是
[780.90-782.90] 各式各樣的硬體我們必須去把
[782.90-784.90] 串好了
[784.90-786.90] 再下一頁
[786.90-788.90] 那
[788.90-790.90] 這個看起來像樂高的方塊
[790.90-792.90] 一樣
[792.90-794.90] 也就是說我們會把剛剛講的那些軟體
[794.90-796.90] 不管是視覺啊
[796.90-798.90] Motion啊還有連結各式各樣的硬體
[798.90-800.90] 都切由像樂高
[800.90-802.90] 這種積木一樣
[802.90-804.90] 方塊式的可以組合
[804.90-806.90] 也就是說
[806.90-808.90] 當你是工程師要去
[808.90-810.90] 客製化一些
[810.90-812.90] 客製化一些自動化的應用的時候
[812.90-814.90] 你不需要再去寫程式
[814.90-816.90] 你只要懂得我們這些方塊在做什麼
[816.90-818.90] 拉方塊就可以
[818.90-820.90] 完成一個客製化的應用
[820.90-822.90] 那這個就讓
[822.90-824.90] 代理人這個變得
[824.90-826.90] 更方便但他還沒有完全的做到
[826.90-828.90] 這個
[828.90-830.90] 我先在講這個代理人
[830.90-832.90] 這樣的level
[832.90-834.90] 那我們希望就是說
[834.90-836.90] 未來呢透過
[836.90-838.90] 這個natural language
[838.90-840.90] comment
[840.90-842.90] 那個現在大家所知道是LOM
[842.90-844.90] large language model
[844.90-846.90] 但實際上還有個
[846.90-848.90] VLM vision language model
[848.90-850.90] 甚至現在針對機器人還有個叫
[850.90-852.90] VLA vision language action model
[852.90-854.90] 那未來大家可以想像剛剛那些方塊
[854.90-856.90] 樂高方塊如果是可以
[856.90-858.90] 透過一個
[858.90-860.90] 一個提示就是我們在講的
[860.90-862.90] prompt
[862.90-864.90] 那這個他自動就可以
[864.90-866.90] 把你任務拍
[866.90-868.90] 分配到不同的方塊然後讓這些
[868.90-870.90] 方塊自動的組合起來
[870.90-872.90] 那未來這個自動化就會變得
[872.90-874.90] 很容易很簡單
[874.90-876.90] 也就是說
[876.90-878.90] 你不需要再去自己再
[878.90-880.90] 不用寫程式
[880.90-882.90] 你只要想透過自然語言下給他
[882.90-884.90] 他自己就可以去做組合
[884.90-886.90] 那這就是我們現在正在努力的方向
[886.90-888.90] 那你可以用一個我們可以用一個
[888.90-890.90] 一個比喻來說
[890.90-892.90] 這個就好像這個
[892.90-894.90] 這個叫什麼
[894.90-896.90] 交響樂團
[896.90-898.90] 這邊的agent是那些演奏員
[898.90-900.90] 就是彈
[900.90-902.90] 小基金那些
[902.90-904.90] 各種樂器的
[904.90-906.90] 那這個是那個詞彙官
[906.90-908.90] 這上面那個是大agent下面那個是
[908.90-910.90] 小agent大agent把工作分配給
[910.90-912.90] 小agent在做
[912.90-914.90] 那未來人只要下prompt之後
[914.90-916.90] 這個大agent就自動分配工作
[916.90-918.90] 給這些小agent那這個工作就可以
[918.90-920.90] 幫你完成
[920.90-922.90] 所以這就是一個agent
[922.90-924.90] physical agent的一個概念
[924.90-926.90] 當然我這樣講有點簡化
[926.90-928.90] 中間還有很多不同的tool
[928.90-930.90] 但因為時間的關係我大概
[930.90-932.90] 粗暴的這樣講
[932.90-934.90] 這是我們現在很大力
[934.90-936.90] 在投入的一個地方
[936.90-938.90] 因為我們認為這個Jensen在講這個
[938.90-940.90] physical agent這個世界
[940.90-942.90] 應該會很快的到來
[942.90-944.90] 謝謝大家
[946.90-948.90] 好的謝謝董事長精彩登上
[948.90-950.90] 接著就是Q&A
[950.90-952.90] 意見交流的時間了
[952.90-954.90] 現場非常多的媒體朋友還有投資先進們
[954.90-956.90] 那麼稍後
[956.90-958.90] 如果想要提問的話歡迎你們就舉手
[958.90-960.90] 然後舉手我們的
[960.90-962.90] 工作人員就會把麥克風遞給您
[962.90-964.90] 這樣大家就可以清楚聽到您的
[964.90-966.90] 問題了而且我們現在線上
[966.90-968.90] 其實也大概有累積到現在
[968.90-970.90] 4500多人在線上觀看
[970.90-972.90] 所以不只這邊的還有線上非常多
[972.90-974.90] 投資朋友都想要更了解
[974.90-976.90] 索羅門那麼有問題的人
[976.90-978.90] 現在可以先來舉手
[978.90-980.90] 發問了然後我們的工作人員會
[980.90-982.90] 低下麥克風囉
[988.90-990.90] 觀眾朋友好我想詢問說
[990.90-992.90] 因為你們第一季毛利率YY是
[992.90-994.90] 衰退的嘛那可不可以講一下
[994.90-996.90] 原因然後第二個是請問有
[996.90-998.90] 各產品線的毛利率然後還有
[998.90-1000.90] 25 26年各產品
[1000.90-1002.90] 線的展望嗎謝謝
[1004.90-1006.90] 毛利率整體毛利率
[1006.90-1008.90] 這個Jack你講一下但是
[1008.90-1010.90] 這個針對各產品呢
[1010.90-1012.90] 我們不去做這個break down
[1016.90-1018.90] 第一季那個毛利率有衰退
[1018.90-1020.90] 那有幾個就是
[1020.90-1022.90] 第一個我們那個產品組合
[1022.90-1024.90] 因為我們整個營收整個
[1024.90-1026.90] 那個營收有增加嘛
[1026.90-1028.90] 有一些產品組合的一些調整
[1028.90-1030.90] 那個組合不太一樣那再來就是
[1030.90-1032.90] 我們有部分的一個
[1032.90-1034.90] 案件的工程
[1034.90-1036.90] 其實在在接待的時候
[1036.90-1038.90] 毛利率是有當初接待的毛利率
[1038.90-1040.90] 是有比較低的那在這一季
[1040.90-1042.90] 在這一季有認列出來
[1042.90-1044.90] 那所以整體的毛利率是有
[1044.90-1046.90] 往下下一天
[1046.90-1048.90] 我補充一下他剛講的這個
[1048.90-1050.90] 案件是指這個發電機裡面的
[1050.90-1052.90] 案件然後還有在我們在代理
[1052.90-1054.90] 這個
[1054.90-1056.90] 就是我們的自動化這邊的
[1056.90-1058.90] 產品的
[1058.90-1060.90] 那部分有一些毛利率的下滑
[1064.90-1066.90] 好的那好我們
[1066.90-1068.90] 還有沒有其他的媒體朋友
[1068.90-1070.90] 或投資先進想要舉手發問的呢
[1070.90-1072.90] 好我們後面
[1074.90-1076.90] 好想請教一下
[1076.90-1078.90] 就是我們能不能
[1078.90-1080.90] 就是提一下我們今年
[1080.90-1082.90] 整體的業務然後業務的
[1082.90-1084.90] 展望以及我們未來的一個發展
[1084.90-1086.90] 方向就是今年我們會
[1086.90-1088.90] 做怎樣的調整
[1088.90-1090.90] 當然現在的環境的因素
[1090.90-1092.90] 變動很大有這個
[1092.90-1094.90] 貿易戰匯率等等
[1094.90-1096.90] 所以這個也很難這邊在做
[1096.90-1098.90] 不過就我們目前看到的
[1098.90-1100.90] 以去年我們
[1100.90-1102.90] 看像這個
[1102.90-1104.90] 公控這一塊公控是指
[1104.90-1106.90] 像我們在代理
[1106.90-1108.90] 這塊去年
[1108.90-1110.90] 其實我們去年每個單位都不好
[1110.90-1112.90] 那今年看起來
[1112.90-1114.90] 最起碼在第一季都有
[1114.90-1116.90] 比較好轉不管是
[1116.90-1118.90] 發電機還有這個
[1118.90-1120.90] 公控那當然在
[1120.90-1122.90] AI這邊一定也是有一個比較大的
[1122.90-1124.90] 一個成長所以
[1124.90-1126.90] 看起來目前為止
[1126.90-1128.90] 目前為止還算正向
[1128.90-1130.90] 那後面會不會受到
[1130.90-1132.90] 什麼環境因素的時候我不敢
[1132.90-1134.90] 不敢在這邊亂預估
[1138.90-1140.90] 好的那麼現場
[1140.90-1142.90] 還有沒有投資先進或美女朋友
[1142.90-1144.90] 想要發問的呢
[1150.90-1152.90] 關於
[1152.90-1154.90] Solomon想要了解更多
[1154.90-1156.90] 未來AI或機器人相關的
[1156.90-1158.90] 趨勢發展的問題想要
[1158.90-1160.90] 提出的
[1162.90-1164.90] 那我們這邊我們前面也有
[1164.90-1166.90] 先說幾個題目想要來審照一下
[1166.90-1168.90] 那麼今年因為剛才
[1168.90-1170.90] 其實有提到公控的部分表現的還
[1170.90-1172.90] 不錯嘛那麼目前以這個ROMAP
[1172.90-1174.90] 來講是不是其實最先發燒的
[1174.90-1176.90] 可能還是在剛剛說到的工業用的
[1176.90-1178.90] 部分喔那也不可以聊一下
[1178.90-1180.90] 說我們目前看可能
[1180.90-1182.90] 像是機器狗來治癒到
[1182.90-1184.90] 人型的機器人這一部分
[1184.90-1186.90] 就是AI物理物理
[1186.90-1188.90] AI這一部分喔大概要到
[1188.90-1190.90] 什麼時候才可以真正比較
[1190.90-1192.90] 看得到一些數字上面的
[1192.90-1194.90] 一些Feedback呢
[1194.90-1196.90] 公控其實是還蠻
[1196.90-1198.90] 傳統的一個產業我們在講就是
[1198.90-1200.90] 像POC變評器
[1200.90-1202.90] 所以這個都是老行業了
[1202.90-1204.90] 所以這個我們在這一塊是代理
[1204.90-1206.90] 那
[1206.90-1208.90] 其實您剛剛提到的所謂的
[1208.90-1210.90] 機器人機器狗
[1210.90-1212.90] 這個都還在很初期
[1212.90-1214.90] 所以現在其實的AI的運用
[1214.90-1216.90] 比較大量的都還是在
[1216.90-1218.90] 一般的這個機械手臂
[1218.90-1220.90] 還有像瑕疵檢測
[1220.90-1222.90] 這一類的應用上面
[1222.90-1224.90] 至於您剛剛問到
[1224.90-1226.90] 說人型機器人
[1226.90-1228.90] 跟機械狗這個到
[1228.90-1230.90] 什麼時間點才會有大量
[1230.90-1232.90] 這可能還需要一些時間
[1232.90-1234.90] 因為就我們自己現在在看
[1234.90-1236.90] 很多這些硬體呢
[1236.90-1238.90] 還有
[1238.90-1240.90] 蠻多的空間需要再進步的
[1246.90-1248.90] 那我follow up一下
[1248.90-1250.90] 就是說所以目前
[1250.90-1252.90] 看起來會比較需要進步的是
[1252.90-1254.90] 剛才說到的物理上面的限制
[1254.90-1256.90] 就是說可能是在機器人
[1256.90-1258.90] 他的關節啊或者是一些
[1258.90-1260.90] 還是說那個Color App
[1260.90-1262.90] 他的一些就是
[1262.90-1264.90] 殺手級的應用
[1264.90-1266.90] 這個部分或者說人家真的
[1266.90-1268.90] 目前看到的需求這一塊
[1268.90-1270.90] 這個地方跟剛剛說到的
[1270.90-1272.90] 可能是硬體上面物理上面的限制
[1272.90-1274.90] 可能哪一個影響會比較大一點
[1274.90-1276.90] 現在應該這樣講
[1276.90-1278.90] 比如說把這個人型機器人
[1278.90-1280.90] 軟體跟就AI的腦的部分
[1280.90-1282.90] 跟手跟腳的部分
[1282.90-1284.90] 來做一個區隔的話
[1284.90-1286.90] 其實現在的軟的部分是
[1286.90-1288.90] 跑得比較快進步得比較快
[1288.90-1290.90] 但在機械上面呢
[1290.90-1292.90] 機構上面比如說我們
[1292.90-1294.90] 到我們的攤位去看
[1294.90-1296.90] 那台人型機器人
[1296.90-1298.90] 他的每走一步的誤差
[1298.90-1300.90] 就好幾公分了
[1300.90-1302.90] 那累積起來這樣的誤差有多少
[1302.90-1304.90] 那他的手呢
[1304.90-1306.90] 不管是速度呢精度呢
[1306.90-1308.90] 靈巧度呢
[1308.90-1310.90] 都還是沒有辦法跟傳統的
[1310.90-1312.90] 機械手臂這樣在做比較
[1312.90-1314.90] 所以其實你說
[1314.90-1316.90] 剛剛回答跟之前的問題
[1316.90-1318.90] 這個要到什麼時候才能
[1318.90-1320.90] 大量的被使用
[1320.90-1322.90] 我想最起碼這些
[1322.90-1324.90] 這些關鍵的這些要素
[1324.90-1326.90] 要能夠讓大家可以
[1326.90-1328.90] 感覺起來用起來比較放心一點
[1332.90-1334.90] 好的那我們現場還有哪一些
[1334.90-1336.90] 投資朋友想要發問的呢
[1336.90-1338.90] 我們今天還有一些時間喔
[1338.90-1340.90] 所以說歡迎大家有約的提問
[1340.90-1342.90] 今天機會難得
[1342.90-1344.90] 董事長來現場可以來請教一些
[1344.90-1346.90] 關於機器人啊
[1346.90-1348.90] 還有一些AI未來發展的相關問題
[1348.90-1350.90] 想請教管理團隊
[1350.90-1352.90] 那個我們目前的
[1352.90-1354.90] 營業費用部分
[1354.90-1356.90] 會為今年接下來各季
[1356.90-1358.90] 會維持在Q1這個水準嗎
[1358.90-1360.90] 那這個會不會
[1360.90-1362.90] 會在這個年度
[1362.90-1364.90] 會在這個年度
[1364.90-1366.90] 會在Q1這個水準嗎
[1366.90-1368.90] 然後以及說我們今年在
[1368.90-1370.90] EFM這塊我們主要會
[1370.90-1372.90] 花在哪些地方
[1372.90-1374.90] 會增加的
[1374.90-1376.90] 有可能會在小幅增加
[1376.90-1378.90] 因為我們現在其實人力
[1378.90-1380.90] 還是RD的人力還是在不斷的在
[1380.90-1382.90] 擴增
[1382.90-1384.90] 行銷也會在
[1384.90-1386.90] 行銷應該是差不多了
[1386.90-1388.90] 行銷應該不會在大幅增加
[1388.90-1390.90] 人力可能還會在會增加一些
[1394.90-1396.90] 好我們現場還有任何的問題想要提出的嗎
[1396.90-1398.90] 好我們現場還有任何的問題想要提出的嗎
[1398.90-1400.90] 好我們現場還有任何的問題想要提出的嗎
[1400.90-1402.90] 歡迎大家踴躍的發問喔
[1402.90-1404.90] 歡迎大家踴躍的發問喔
[1404.90-1406.90] 歡迎大家踴躍的發問喔
[1406.90-1408.90] 好我們前面
[1408.90-1410.90] 好我們前面
[1410.90-1412.90] 好我們前面
[1412.90-1414.90] 想要請問一下就是可能
[1414.90-1416.90] 去年跟今年的
[1416.90-1418.90] 資本支出大概是多少
[1418.90-1420.90] 然後可能今年資本支出會
[1420.90-1422.90] 往哪一個方向去做
[1422.90-1424.90] 提升這樣謝謝
[1424.90-1426.90] 提升這樣謝謝
[1426.90-1448.90] 提升這樣這些
[1448.90-1449.90] OK generic
[1449.90-1453.90] Bombing
[1453.90-1457.30] 在我剛講的這個agent這一塊
[1457.30-1461.50] 其實是我們希望要把它加速的打造起來
[1461.50-1463.00] 讓我們在這一塊走得比
[1463.00-1466.30] 最起碼在physical agent這一塊可以走
[1466.30-1470.70] 比其他的全世界廠商都不會落後於他們
[1470.70-1472.70] 領導廠商 領用不會落後他們
