[0.00-29.98] 詞詞曲 李宗盛
[30.00-59.98] 詞曲 李宗盛
[60.00-89.98] 詞曲 李宗盛
[90.00-119.98] 詞曲 李宗盛
[120.02-129.02] 詞曲 李宗盛
[129.02-139.02] 詞曲 李宗盛
[139.02-149.02] 詞曲 李宗盛
[149.02-149.98] 詞曲 李宗盛
[150.02-159.02] 詞曲 李宗盛
[159.02-167.02] 詞曲 李宗盛
[167.02-175.02] 詞曲 李宗盛
[175.02-179.02] 詞曲 李宗盛
[179.04-188.04] 詞曲 李宗盛
[188.04-194.04] 詞曲 李宗盛
[194.04-204.04] 詞曲 李宗盛
[204.04-214.04] 詞曲 李宗盛
[214.14-216.04] 詞曲 李宗盛
[216.06-227.02] 詞曲 李宗盛
[227.06-229.02] 詞曲 李宗盛
[229.02-231.08] 詞曲 李宗盛
[231.08-233.14] 詞曲 李宗盛
[233.14-233.94] 詞曲 李宗盛
[233.94-233.96] 詞曲 李宗盛
[233.96-234.02] 詞曲 李宗盛
[234.02-238.62] 現在對於產業及客戶的一些看法所做的一些預估值
[1236.06-1238.12] 那我用幾張簡單的結構圖
[1238.12-1239.14] 跟各位報告
[1239.14-1242.46] 這個是一個傳統的miniLED的一個結構設計
[1242.46-1246.30] 一般他們可能是使用多顆不管是
[1246.30-1248.10] chip on board或者是pager on board這樣子的一個構構
[1248.66-1251.98] 他們會用一個很簡單的工藝形成的一個背光模組的一個結構
[1251.98-1252.76] 那為了
[1252.76-1258.14] 讓每一個分區數的光學能夠均勻他可能需要用多顆的LED
[1258.14-1259.92] 光學堆疊的形式
[1259.92-1261.98] 去達成一個這個
[1261.98-1264.02] 光源均勻的一個效果
[1264.02-1266.06] 但往往這樣結構就會產生
[1266.06-1268.38] 側邊會有一些光線易漏
[1268.38-1271.70] 就會在最終再形成一個
[1271.70-1276.06] 我們需要做分區控制Locodimi這樣子的演示效果的時候會出現
[1276.06-1278.10] 側面會有一些光學散逆的這樣子的結構
[1278.66-1283.52] 導致所謂的miniLED他整體的表現會不如
[1283.52-1286.60] 我們大家標榜的這麼好的一個規格
[1286.60-1289.66] 那如果要克服這樣子的一個
[1289.66-1291.72] 先天設計上的困難
[1291.72-1295.82] 透過我們的2525產品我們能夠做到什麼樣的表現
[1295.82-1297.86] 這個是2525的這個結構圖
[1297.86-1299.14] 首先我們
[1299.14-1301.44] 透過這個一次光學的設計
[1301.44-1304.52] 把光角做得相對開
[1304.52-1306.56] 所以我們能夠滿足一個Dimension
[1306.56-1308.62] 只使用一顆LED這樣子的一個設計
[1308.66-1310.70] 再來
[1310.70-1313.78] 透過這個一次光學的這個設計結構
[1313.78-1314.80] 我們把
[1314.80-1316.34] 有一些光強
[1316.34-1319.92] 在這個分區裡面做成一個均勻的分布
[1319.92-1325.82] 也就是不需要透過多顆堆疊去完成均勻性這樣子的一個效果
[1325.82-1329.14] 相對來說側邊的這個散漏的這個易光
[1329.14-1331.70] 漏光的部分也能夠得到一個
[1331.70-1332.72] 有效的控制
[1332.72-1334.78] 各位可以看到這個視圖
[1334.78-1335.54] 所以
[1335.54-1337.34] 我們的產品
[1337.34-1338.62] 不但能夠幫助
[1338.66-1340.70] 客戶維持同樣的Performance
[1340.70-1342.24] 降低成本以外
[1342.24-1344.54] 甚至能夠帶來更好的這個
[1344.54-1347.88] 高動態對比的一個演示效果
[1347.88-1352.22] 那最後我想跟各位報告就是我們在整體這個
[1352.22-1354.78] 長華的這個NCSP
[1354.78-1357.34] 在整個背光的一個布局
[1357.34-1361.70] 那剛剛我們提到車用市場是一個我們可以期待
[1361.70-1364.00] 有一個大幅成長動能的一個區塊
[1364.00-1365.28] 所以我們的產品
[1365.28-1367.34] 這個2025年
[1367.34-1368.62] 優先發表這個二
[1368.66-1371.22] 2525首先會應用在這個
[1371.22-1373.26] 車用的一個這個mini-LED產品
[1373.26-1374.30] 應用裡面
[1374.30-1376.86] 那除了車用以外
[1376.86-1380.18] 同樣的這個結構設計我們也積極的開始往
[1380.18-1381.72] 消費類TV
[1381.72-1383.00] 或者是monitor
[1383.00-1384.78] 電競等等這樣子的一個產品
[1384.78-1386.32] 應用去做導入
[1386.32-1387.60] 我們期待除了
[1387.60-1393.24] 車用市場能夠發酵之外好的這個光學設計也能夠同步在消費性市場
[1393.24-1394.78] 有一定的展望
[1394.78-1395.80] 那
[1395.80-1398.62] 各位可能在上一季我們的訪說我們有說明了
[1398.66-1401.48] 我們的這個mini-LED產品已經
[1401.48-1403.78] 進到所謂韓系的一個供應鏈
[1403.78-1405.32] 那就是這一顆
[1405.32-1407.10] 1515這樣的產品類型
[1407.10-1408.64] 這個已經在去年
[1408.64-1412.74] 在韓系的這個電視機品牌已經開始進入量產
[1412.74-1413.76] 那目前
[1413.76-1416.58] 持續在穩定的生產
[1416.58-1419.14] 中端的客戶也是觀察這個產品
[1419.14-1421.70] 他在整體的performance表現等等
[1421.70-1422.72] 那未來我們
[1422.72-1426.56] 期待就是說其他的這個韓系的品牌或者是
[1426.56-1428.62] 中國的品牌有可能也會切入這個產品的產品類型
[1428.66-1430.70] 這樣子的一個產品設計以外
[1430.70-1435.32] 那在同樣原先使用的這個韓系的客戶也有可能在
[1435.32-1440.44] 其他的機型開始逐步使用這樣的手機選擇做一個替代
[1440.44-1442.22] 那以上就是我們
[1442.22-1444.54] 長華科技在mini-LED
[1444.54-1449.66] 2025年整體的新產品的一個規劃還有產品的一個佈局
[1449.66-1451.18] 那我們期待後續
[1451.18-1454.26] 隨著這個時間的這個堆疊
[1454.26-1455.28] 產品的一個堆疊
[1455.28-1456.06] 這個
[1456.06-1457.58] 後續的這個需求量會
[1457.58-1458.62] 呈現一個逐步成長的
[1458.66-1459.42] 一個趨勢
