[0.00-1.72] 先敬大家下午好
[152.76-157.30] 第四页的部分可以看到
[157.30-158.88] 我们的一个组织架构
[158.88-161.74] 那发展迄今保证已经转型
[161.74-164.08] 为产业控股公司的方式运作
[164.08-165.80] 主导策略拟定
[165.80-167.86] 财快行政等后勤统筹
[167.86-170.20] 以及部分绣鞋业务相关研发
[170.20-171.80] 用物料管理采购等
[171.80-173.82] 那绣鞋与零售
[173.82-176.30] 两大业务分别有我们的
[176.30-178.02] 子公司专注经营
[178.02-178.08] 和绣鞋业务
[178.10-180.52] 从业务分工来说的话
[180.52-182.94] 这些业务是由保证工业持股
[182.94-186.02] 51.36%的中央子公司
[186.02-187.02] 育原工业
[187.02-189.28] 作为主要的一个营运主体
[189.28-191.36] 为国际品牌代工制造
[191.36-194.48] 代工设计制造各式鞋类产品
[194.48-196.62] 且为掌握关键材料的供应
[196.62-198.78] 确保品质与管控交齐
[198.78-201.48] 化竹上有鞋材的生产制造
[201.48-204.08] 在零售业务的部分
[204.08-206.02] 则是由育原工业持股
[206.02-208.02] 62.55%的子公司
[208.02-210.20] 保证国际负责营运
[210.20-212.16] 也就是说保证工业
[212.16-214.22] 透过育原工业间接持有
[214.22-217.34] 保证国际32.13%的股权
[217.34-220.24] 保证国际透过多元业务形态
[220.24-221.38] 和通路形式
[221.38-223.86] 在到中华区经销跟代理
[223.86-226.26] 多个知名运动绣鞋品牌的鞋类
[226.26-228.20] 服装配件等产品
[228.20-230.94] 而为了最大化企业价值
[230.94-233.72] 保证工业业从事房产开发
[233.72-235.82] 以及观光旅馆经营的业务
[238.02-239.68] 那在第五页的部分
[239.68-242.24] 我们看到保证工业在2024年
[242.24-245.82] 我们的合并营收是2638亿元
[245.82-248.76] 在2023年增加了7%
[248.76-253.24] 主要是获益于这些业务的订单需求回升
[253.24-257.12] 有效抵消了零售业务销售疲弱的不利影响
[257.12-259.18] 这些业务呢
[259.18-262.80] 继续作为我们2024年合并营收的主要来源
[262.80-265.72] 随着鞋类产品需求的大幅回升
[265.72-267.64] 以及第七期的支持
[268.02-272.46] 带动了2024年这些业务营收年增14.6%
[272.46-276.94] 合并营收比重增加到了68.5%
[276.94-278.40] 以零售业务来说
[278.40-282.84] 由于主要营运地区经营环境越去复杂多变
[282.84-286.32] 消费者购物行为更加审慎
[286.32-288.74] 尽管线上销售依然稳健
[288.74-291.28] 但实体门店客流量大幅下降
[291.28-296.88] 导致2024年零售业务的一个营收年减6.6%
[296.88-298.00] 合并营收比重降低
[298.02-299.74] 到31.1%
[299.74-301.76] 其他业务来说的话
[301.76-304.90] 则主要来自于保证工业100%持股的
[304.90-307.86] 台中育儿花园酒店之旅馆经营业务
[307.86-312.00] 合并营收比重只有0.4%
[312.00-314.02] 相对不去重大性
[314.02-319.52] 第六月的部分可以看到
[319.52-322.60] 我们主要业务近年的营收变化
[322.60-325.46] 以之前业务来说
[325.46-327.54] 2021到2023年
[328.02-330.78] 看到2020因为疫情爆发
[330.78-333.66] 所以当年的一个基期是比较低的
[333.66-339.02] 那尽管越南疫情导致2021年第三季的一个产能相对受限
[339.02-341.74] 随着整个疫情影响逐渐淡化
[341.74-347.22] 2021年以美元季的全年营收重新回到了正成长
[347.22-352.10] 那2022年更实现了双位数的一个营收增长
[352.10-356.54] 那2023年就是因为总体经济下行风险增加
[356.54-357.84] 在高息跟高通盘中
[358.02-361.54] 压力的一个抑制全球终端需求
[361.54-364.68] 产业库存水平处于相对高位
[364.68-367.24] 导致营运相对沉压
[367.24-368.52] 那在2024年
[368.52-371.34] 随着产业库存调整周期结束
[371.34-373.90] 全球鞋内市场稳健复苏
[373.90-378.24] 订单激进满载也有助于整个营运回温
[378.24-379.90] 那零售业务来说的话
[379.90-383.10] 在2021到2023年
[383.10-387.98] 那整体的一个环境陆续受到了像是疫情反复市场反复的影响
[388.02-391.60] 波动宏观经济等多重因素的一个干扰
[391.60-394.94] 以至于影响了整体的一个销售表现
[394.94-399.80] 那随着主要营运地区在2022年底全面解封
[399.80-405.68] 2023年的一个营收较2022年有一个高个位数的一个增长
[405.68-410.30] 然而2024年受到宏观消费持续放缓的这个影响
[410.30-416.18] 消费支出维持审慎的态度也影响了整体的一个销售力道
[418.02-422.88] 那我们先看到第7页的一个知邪业务
[422.88-426.98] 知邪业务的部分一开始是从台湾开始的
[426.98-429.06] 随着营运规模的一个扩大
[429.06-432.80] 我们也配合品牌客户灵活的一个采购策略
[432.80-438.08] 且为善用海外制造优势生产中心自台湾外移
[438.08-442.74] 1998年我们到中国大陆设立海外第一条生产线
[442.74-445.14] 1992年前往了印尼
[445.14-447.88] 1994年则到了越南社场
[448.02-452.92] 后续并于柬埔寨、孟加拉及缅甸等地设置了生产据点
[452.92-456.10] 那目前以2024年来说
[456.10-461.66] 我们总共生产出货的一个双数达到了255.3百万双
[461.66-464.28] 年增16.9%
[464.28-470.26] 其中印尼、越南、中国大陆分别占总生产出货量的54%
[470.26-472.86] 31%及11%
[472.86-476.98] 而包括了柬埔寨、孟加拉及缅甸的其他地区
[476.98-477.98] 则占54%
[478.02-481.84] 在平均售价方面的话
[481.84-486.30] 2024年的一个平均单价是每双鞋20.25美元
[486.30-489.96] 主要是受到产品组合变化的一个影响
[489.96-494.84] 所以叫2023年减少了5.1%
[494.84-498.38] 然而单价的一个跌幅也足迹了一个收窄
[498.38-500.92] 在2024年的一个第四季的话
[500.92-504.42] 它还是持平2023年的第四季
[508.02-514.68] 在第八页的部分我们看到育员工业整体的一个营收年增3.7%
[514.68-517.34] 那拆分整个产品的一个类别
[517.34-522.30] 其中制鞋业务来说是包括了像是鞋类产品
[522.30-527.38] 鞋类产品包括了运动鞋、户外鞋、休闲鞋、运动凉鞋
[527.38-534.64] 那如前所述出货双数的一个年增幅度在2024年是有一个16.9%
[534.64-535.90] 相对强劲的一个增幅有效抵消了平均收入的一个增幅度
[535.90-539.64] 有效抵消了平均售价下降的一个影响
[539.64-541.94] 如果以美元来计算的话
[541.94-548.00] 2024年鞋类产品营收较2023年增加了11.0%
[548.00-554.06] 而来自鞋底配件及其他的一个营收则年增了12.4%
[554.06-557.26] 因此整个制鞋业务2024年的一个营收
[557.26-562.56] 以美元来说的话是比2023年增加了11.1%
[562.56-564.28] 那保生国籍的部分
[564.28-565.88] 则因为受到的费用增加了11.1%
[565.88-571.84] 而在2024年的一个营收是减少了9.5%
[571.84-576.60] 那后续也会在就营收业务的部分做详细的一个说明
[576.60-585.44] 那第九页的部分我们可以看到
[585.44-588.06] 预言工业近期的一个盈利表现
[588.06-590.52] 其中在营业毛利率的部分
[590.52-592.84] 大概在2021年以来
[592.84-595.10] 那预言工业整体的一个毛利率
[595.88-598.18] 大概是23% 24%这个水平
[598.18-602.44] 那2024年大概持稳于24.4%
[602.44-605.20] 那由于预言工业的一个毛利率
[605.20-607.26] 涵盖了营收业务的表现
[607.26-610.06] 那保生国籍同期的一个毛利率
[610.06-613.54] 大概是落在33到35%的这个区间
[613.54-619.54] 单以这些业务来说的话
[619.54-622.42] 我们看到除了2020跟2021
[622.42-624.12] 因为全球疫情爆发
[624.12-625.84] 以及越南疫情的一个影响
[625.88-629.80] 毛利率降到了14%到15%左右
[629.80-631.78] 其余年度的一个毛利率
[631.78-635.90] 大概是落在18%到20%的这个区间
[635.90-638.44] 那以2024年来说的话
[638.44-640.88] 整体的一个这些业务的一个毛利率
[640.88-642.50] 是19.9%
[642.50-644.50] 那这个部分也看到了
[644.50-647.44] 全球鞋类产品市场进一步常态化
[647.44-650.32] 那随着订单需求的一个大幅提升
[650.32-651.80] 我们的一个产能利用率
[651.80-655.06] 在2024年达到了93%
[655.06-655.86] 比2024年达到了93%
[655.88-658.00] 比2023年的79%
[658.00-660.16] 有一个显著的一个提升
[660.16-663.44] 那并且透过了灵活调度的一个生产排成
[663.44-670.10] 我们也看到生产效率有明显的一个提高
[670.10-675.38] 那接下来看到零售业务的这个部分
[675.38-678.52] 零售业务原来是育原工业旗下的一个部门
[678.52-683.02] 那考量致写跟零售业务的一个经营思维不尽相同
[683.02-685.64] 而且零售业务的一个营运规模组建的
[685.64-686.30] 一个扩大
[686.30-689.74] 我们在2008年的时候
[689.74-693.04] 将零售业务自育原工业独立分拆上市
[693.04-695.30] 有保证国际专注经营
[695.30-699.54] 目前是大中华区领先的运动用品零售商之一
[699.54-702.14] 零售业务的一个合作伙伴
[702.14-704.48] 涵盖了众多知名的一个品牌
[704.48-709.96] 包括了Nike、Adidas、Sketchers、Puma、Under Armour跟Converse
[709.96-713.54] 之类提供消费者多元产品选择
[713.54-715.62] 那以销售管道来说
[715.64-722.70] 的话2024年的营收有72%是来自于实体门店的这个贡献
[722.70-727.34] 那线上销售的一个占比则是有28%
[727.34-729.24] 在实体门店来说
[729.24-732.40] 我们对于觉得对于喜欢探索新品
[732.40-738.04] 而且希望亲自享有所谓的一个独特服务体验的消费者来说
[738.04-740.50] 实体门店仍然是至关重要
[740.50-742.88] 而且无法替代的一个销售触点
[743.06-745.60] 我们透过直营跟加模
[745.60-751.08] 两种形式在大中华区建立一定规模的一个实体网络
[751.08-754.20] 那以线上销售来说的话呢
[754.20-757.78] 我们主要包括了B2B跟B2C
[757.78-761.50] 其中B2C又可以分为公寓跟私寓
[761.50-764.12] 在公寓的一个部分的话呢
[764.12-766.70] 我们主要是跟天猫青东
[766.70-773.10] 就是当地比较当地较大的第三方电商平台合作
[773.36-775.48] 那在私寓的部分呢
[775.60-778.60] 则是包括了微信
[778.60-780.90] 就是微信商店
[780.90-784.02] 抖音直播商场会员平台的等等
[784.02-787.36] 那其中微店作为实体门店的一个延伸
[787.36-791.96] 那这个部分希望可以建构发微店生态圈
[791.96-796.28] 具备因为它具备了更好的一个销售转换率
[796.28-800.76] 也可以促进当季的一个增加销售提高复购率
[800.76-803.66] 希望可以实现优质的一个增量服务
[805.60-809.70] 那在第十二页的部分可以看到
[809.70-812.50] 就是保顺它近期的一个营运绩效
[812.50-815.96] 那在2024年来说的话
[815.96-821.32] 虽然线上销售还是保持一个稳健增长的一个态势
[821.32-826.52] 但是实体门店则仍然面临客流相对疲弱的压力
[826.52-830.50] 以至于以人民币季的2024年营收
[830.50-833.00] 是年减8%
[833.00-835.58] 然而我们持续聚焦于这个项目的一个项目
[835.60-838.76] 是相当于敏捷的一个营运以及永续的一个增长
[838.76-840.84] 藉由高效库存管理
[840.84-844.86] 管理省胜折扣幅度以及严谨费用管控
[844.86-847.02] 尽管销售规模下降
[847.02-850.64] 2024年的一个毛利率跟营业净利率
[850.64-855.38] 分别较2023年改善了0.5跟0.1个百分点
[855.38-859.30] 达到了34.2%以及3.8%
[859.30-862.94] 相对还是保持在一定的一个水平
[862.94-865.58] 那整体获利也较2023年
[865.60-868.30] 有一个微幅的一个增加
[868.30-869.92] 在直营门店的一个部分
[869.92-872.58] 我们持续精致化零售策略
[872.58-876.66] 那直营门店的数量跟2023年底变化不大
[876.66-878.14] 其实2024年底
[878.14-882.36] 我们总共经营3448间直营店
[882.36-884.22] 以线上渠道来说的话
[884.22-886.38] 我们相较于疫情前
[886.38-890.62] 也就是2019年线上销售的一个占比12%
[890.62-894.42] 也可以看到就是整个消费习惯的一个改变
[894.42-895.58] 那到2024年
[895.60-898.92] 像刚刚说的已经来到了28%
[898.92-902.52] 那我们也会持续提升线上运营的一个能力
[902.52-907.64] 希望结合数位通路跟整体销售网络
[907.64-910.96] 增加跟消费者的一个互动
[910.96-914.28] 带来更好的一个营运效率
[914.28-922.48] 那第13页的话是保顺的一个营运绩效的一个表现
[922.48-925.36] 那其中我们可以看到是在
[925.60-928.68] 2024年以下的营业净利率的部分
[928.68-934.04] 2024年营业净利率较2023年改善了0.1%
[934.04-936.60] 个百分点到3.8%
[936.60-940.44] 那主要反映了我们的一个折扣管控有成
[940.44-945.32] 那像刚刚说的整个毛利率提升了0.5%个百分点
[945.32-948.12] 那我们也持续进行了费用管控
[948.12-952.74] 包括推动了租金以及人效控管的一个销售
[952.74-954.52] 人效控管的措施
[954.52-955.56] 那整体的一个费用下降的一个效果
[955.60-957.64] 就下降了7.1%
[957.64-959.96] 那有效抵消了销售规模减少
[959.96-965.84] 营运杠杆效率下降的这个影响
[965.84-967.64] 那在第15页的部分
[967.64-971.22] 我们可以看到就是从2021年到2024年
[971.22-973.52] 两大核心业务的这个占比
[973.52-977.62] 那其中目前以部门营收以及部门利益来说
[977.62-981.46] 大部分仍然来自于这些业务的贡献
[981.46-985.56] 以2024年来说的话可以看到这些业务的一个
[985.56-989.40] 占比都有相对较佳的一个表现
[989.40-994.78] 所以跟整体对营收跟获利的一个贡献
[994.78-996.56] 也同步的一个增长
[996.56-1005.28] 那从第16页到18页是保存近几年来的一个合并财报
[1005.28-1009.88] 那在2024年我们的一个合并营收年增了7%
[1009.88-1013.46] 合并营业毛利则是年增了6.7%
[1013.46-1015.52] 那合并营业毛利率持续增加了7.7%
[1015.56-1021.44] 那主要也是受惠于这些业务的产能利用率
[1021.44-1023.94] 以及生产效率显著的一个提高
[1023.94-1027.52] 对合并营业毛利的贡献大幅的一个增长
[1027.52-1032.52] 同时零售业务的一个折扣幅度跟库存管理也有所成效
[1032.52-1035.98] 随着合并营业收入的一个持续增长
[1035.98-1038.40] 营运规模效益稳步体现
[1038.40-1041.66] 且持续落实严谨的费用管控措施
[1041.66-1044.24] 2024年合并营业费用率
[1044.24-1045.54] 由2023年到2024年来说是很高的
[1045.56-1050.48] 20.7%进一步降到了18.6%
[1050.48-1055.00] 合并营业净利率则较2023年提高了2.0个百分点
[1055.00-1058.98] 合并营业净利增加了56.2%
[1058.98-1064.70] 此外业外净收益的部分也增加了信贷币45.21亿元
[1064.70-1068.38] 主要由于依权依法认立的一个投资收益
[1068.38-1071.74] 年增了信贷币43.29亿元
[1072.06-1074.44] 那整体的一个税后净利
[1074.44-1075.54] 呃
[1075.56-1081.44] 年增了50.9%来到了新台币160.36亿元
[1081.44-1085.22] 那这个数字是历史同期的一个新高
[1085.22-1088.94] 每股盈余则是新台币5.44元
[1088.94-1097.32] 那第18页的部分是我们的一个鼓励政策
[1097.32-1100.62] 保证工业的一个鼓励政策主要是
[1100.62-1102.06] 宜居公司未来的发展计划财务结构以及营运状况的影响
[1102.06-1102.56] 宜居公司未来的发展计划财务结构以及营运状况的影响
[1102.56-1105.54] 宜居公司未来的发展计划财务结构以及营运状况的影响
[1105.56-1107.22] 这些事项是由我们的公司居住决定
[1107.22-1112.18] 考量公司股本已经来到了294.68亿元新台币
[1112.18-1116.22] 那为了避免资本膨胀以及更符合投资人的期待
[1116.22-1120.94] 我们从2010年盈余分配起全部发放现金鼓励
[1120.94-1123.90] 以往年度的一个现金鼓励发放率
[1123.90-1126.52] 皆符合公司装成的一个规定
[1126.52-1134.86] 那后续也会持续致力于落实长期相对稳定的一个鼓励政策
[1135.56-1142.10] 那第19页的部分是公司的一个永续发展的一个绩效分享
[1142.10-1144.46] 那从社会面来看的话
[1144.46-1148.72] 我们由于这些业务属于劳力密集的一个产业
[1148.72-1153.44] 我们也持续致力于提供一个安全与公平的一个工作环境
[1153.44-1157.34] 在2011年加入FLA公平劳动协会
[1157.34-1163.02] 有系统且定期的接受NGO团体的人权检视跟评估还有监督
[1163.02-1165.54] 2018年获得FLA的一个公平劳动协会
[1165.56-1171.68] 也是全球目前唯一取得FLA认证的一个协会制造商
[1171.68-1176.80] 未来我们也会持续与FLA共同关注国际人权议题
[1176.80-1180.88] 借此保持人权政策以及劳动方面的一个合规标准
[1180.88-1189.90] 那目前我们也倡议了就是FLA跟美国服装和协会共同定义的负责任招聘
[1189.90-1194.12] 以及包括使用FLA的这个薪资数据
[1194.12-1195.18] 收集工具
[1195.18-1195.54] 以及
[1195.54-1201.66] 线上平台主动的检视就是工资薪资工厂薪资的一个结构
[1201.66-1208.94] 那目前来讲我们的一个冲样工厂百分之百都符合了当地基本薪资以及公平薪资的一个标准
[1208.94-1210.90] 在环境面的部分
[1210.90-1221.88] 我们也因应国际有趣趋势以及配合品牌客户有趣发展的一个里程标的设定了中短期的中期的这个目标
[1221.88-1223.96] 那以短期来说的话
[1223.96-1225.52] 是希望在2025年
[1225.54-1227.88] 达到了碳排零成长的一个目标
[1227.88-1229.64] 且进一步
[1229.64-1232.14] 就是跟随品牌客户的这个
[1232.14-1235.12] 倡议的一个SBTI减量承诺
[1235.12-1239.04] 我们也制定了2030年的温室气体绝对排放量
[1239.04-1243.04] 要比2019年下降46.2%的这个
[1243.04-1244.96] 这个目标
[1244.96-1247.76] 那此外在公司治理面的部分
[1247.76-1252.56] 我们在过去十届的一个公司治理评辩都有获得不错的一个成绩
[1252.56-1255.34] 其中有六次获得了第一级
[1255.34-1259.38] 也就是上市主盘明显5%的一个肯定
[1259.38-1263.18] 那另外第四次则是第二级
[1263.18-1269.22] 那也持续入选为富时社会责任新兴指数
[1269.22-1274.04] 以及台湾有趣指数的一个成分股之一
[1274.04-1277.04] 那未来我们也会持续深化有趣策略
[1277.04-1279.58] 在我们的整体领域管理之中
[1279.58-1282.88] 那以上我的报告先到这边
[1282.88-1284.48] 那后面就进入了
[1284.48-1285.20] 呃
[1285.20-1285.34] 呃
[1285.34-1287.10] Q&A的这个部分
[1287.10-1290.50] 那也欢迎就是投资先进可以开始提问
[1290.50-1293.50] 谢谢
[1293.50-1294.30] 谢谢Eve
[1294.30-1296.84] 那我们接下来就进行Q&A间交流时间
[1296.84-1299.72] 欢迎各位投资先进自行打开麦克风提问
[1299.72-1303.96] 也可以使用聊天室以文字的方式留下您预提供的问题
[1303.96-1305.30] 我们将会待会提问
[1305.30-1310.72] 谢谢
[1315.34-1324.34] 谢谢
[1324.34-1325.42] 好
[1325.42-1339.38] 어떡
[1339.38-1342.84] 说的是然后泡泡泡
[1342.84-1343.98] initially
[1343.98-1345.20] Кар程序
[1345.20-1349.04] 可以公告一下就是我们前五大客户的占比吗
[1349.04-1356.36] 我们目前只有说前五大的一个占比合计
[1356.36-1359.40] 如果是以鞋类产品来说的话
[1359.40-1363.14] 大概占比是八成到九成这个区间
[1363.14-1368.76] 前五大客户占的八成到九成是这样
[1368.76-1372.84] 对就是纯粹以鞋类产品来说
[1372.84-1374.96] OK 字写的部分对不对
[1374.96-1378.28] 就是不包括鞋底鞋材这样子
[1378.28-1382.74] 好那我可以请问一下这五大客户今年的成长性
[1382.74-1385.36] 就是我们现在看到的订单的一个状况
[1385.36-1391.44] 我们目前来说的话
[1391.44-1395.62] 因为每个月都有公布月营收的这个数据
[1395.62-1398.56] 以今年一到二月来说的话
[1398.56-1401.64] 这些业务以美元计的这个营收
[1401.64-1404.68] 大概是年增百分之七点三
[1404.68-1408.18] 那目前的一个订单能见度来说的话
[1408.18-1412.32] 大概是到大概十到十二周
[1412.32-1414.50] 也就是在年中左右
[1414.50-1417.48] 我想应该是说品牌客户间
[1417.48-1421.72] 当然它的一个增长幅度还是各自有一些不同
[1421.72-1423.82] 但是以整体来说的话
[1423.82-1428.62] 我们对目前来说对于今年的一个订单展望
[1428.62-1431.68] 还是是一个比较正向的一个看法
[1431.68-1434.48] 那当然我们也有看到说
[1434.68-1440.62] 后续可能还是有一些总体经济的一个不确定性还是存在的
[1440.62-1445.18] 那这部分我们也会跟品牌客户保持比较密切的一个沟通
[1445.18-1449.32] 希望可以争取就是比较优质的订单
[1449.32-1455.48] 那我可以问一下去年这前五大客户跟2023年的ranking有改变吗
[1455.48-1460.40] 就是五大客户里面的排序它有改变吗
[1460.40-1461.30] 没有
[1461.30-1462.00] 没有改变
[1462.00-1464.02] 那今年看起来会改变吗
[1464.68-1470.24] 应该也会是一个稳定的状况
[1470.24-1471.28] OK
[1471.28-1476.00] 那另外我想问一下我们现在如果就是一般来讲
[1476.00-1478.12] 就是以平均自写的一个状况
[1478.12-1480.16] 现在的总采能大概是多少
[1480.16-1487.98] 以双数
[1487.98-1488.70] 对
[1488.70-1493.68] 这个部分我们可能比较没有一个
[1493.68-1494.66] 一个比较强的状况
[1494.68-1496.38] 比较量化的一个目标
[1496.38-1501.44] 因为其实还是要看就是所谓的一个
[1501.44-1504.34] 形体的这个不同
[1504.34-1507.78] 它的生产秒数也会不太一样
[1507.78-1510.10] 那因为以我们来说的话
[1510.10-1516.28] 我们像刚刚提的我们去年生产了大概是255.3百万双
[1516.28-1518.42] 那以去年来讲的话
[1518.42-1521.76] 产能利用率大概是93%左右
[1521.76-1523.56] 那今年来讲的话
[1523.56-1524.66] 我想当然就是我们的生产秒数也会不太一样
[1524.68-1531.22] 但是还是会有一些产能的一个提升的一个规划
[1531.22-1534.28] 那这个部分有一部分当然是说
[1534.28-1535.90] 可能还有一些
[1535.90-1538.52] 比方说透过了一个加班
[1538.52-1539.94] 或者是增加效率
[1539.94-1543.56] 或者是增补人力等等那些方式来进行
[1543.56-1547.50] 但这个部分我们比较没有一个绝对的数字
[1547.50-1550.58] 说是一个多少双
[1550.58-1553.30] 因为我觉得都还是有一些弹性的
[1553.30-1553.68] OK
[1553.68-1554.52] OK
[1554.68-1557.68] 那就是我们也没有办法给幅度
[1557.68-1560.52] 就是说产能增加的幅度以今年来说
[1560.52-1566.20] 或者是可以给一下就是到去年底的员工人数
[1566.20-1569.32] 还有就是今年可能预计要增补到多少
[1569.32-1577.84] 如果以去年就是24年底制造端的一个员工人数
[1577.84-1581.44] 是26万5000人左右
[1581.44-1584.52] 那这个部分就是比23年
[1584.68-1587.68] 所以我们也没有办法给他们增加的一个规划
[1587.68-1588.68] 所以我们也没有办法给他们增加的一个规划
[1588.68-1592.36] 但是这个增长当然就是
[1592.36-1593.64] 因为这是到年底嘛
[1593.64-1598.48] 那其中就是每一季的部分其实都已经有陆续的一个增加
[1598.48-1599.80] 那今年来讲的话
[1599.80-1602.88] 应该还是有一些增补的一个规划
[1602.88-1606.80] 但是还是要看实际的一个订单状况
[1606.80-1610.72] 可以做一些比较弹性的一个安排
[1610.72-1611.24] 了解
[1611.24-1613.24] 那最后还有一个问题就是
[1613.24-1614.52] 因为我们已经有宣布了
[1614.52-1616.56] 就是印度要设厂嘛
[1616.56-1620.40] 那可以讲一下就是印度今年的目前的进度
[1620.40-1622.64] 还有就是初期的才能规划
[1622.64-1625.52] 还有就是这个厂大概是否来一些客户
[1625.52-1630.00] 我们目前来讲
[1630.00-1633.36] 印度应该还是在一个比较初期的一个阶段
[1633.36-1638.08] 因为是在今年的一个2月14号有发了一个重讯
[1638.08-1639.68] 其中有提到说
[1639.68-1641.28] 印度子公司的部分
[1641.28-1643.96] 他的董事会通过了一个预算
[1644.52-1649.88] 新建一个厂房的预算是美金2.06亿元左右
[1649.88-1652.72] 那但是因为这个部分我们也是
[1652.72-1655.28] 是我们在印度的第一个厂
[1655.28-1661.16] 那这部分还是要看后续实际发包跟工程的一个进度
[1661.16-1662.88] 了解好的
[1662.88-1664.08] 那我问题先到这里
[1664.08-1664.88] 谢谢
[1664.88-1665.88] 谢谢
[1668.40-1670.68] 我们线下投资监督想询问说
[1670.68-1674.16] 大客户最近一期的营收GM不如预期
[1674.16-1677.20] 对未来的展望也低于同业表现
[1677.20-1680.12] 那请问目前订单展望如何呢
[1680.12-1683.12] 以及客户的库存水位是健康的吗
[1689.28-1691.36] 我们这边可能就不方便评论
[1691.36-1693.48] 就是单一品牌客户
[1693.48-1694.12] 谢谢
[1694.12-1699.76] 那像刚刚说的就是我们就是采取多品牌代工的一个策略
[1699.76-1702.04] 那我想以整体来说的话
[1702.04-1703.92] 我们对今年的一个展望
[1703.92-1707.80] 还是是一个维持一个相对正向的一个看法
[1712.32-1712.56] 是
[1712.56-1714.72] 那我们投资监督想询问说
[1714.72-1718.16] 以公司的观察该客户的2025年
[1718.16-1720.68] 可以视为是最坏状况过去吗
[1720.68-1723.96] 还是2026年重返荣耀吗
[1726.48-1726.96] 不好意思
[1726.96-1730.24] 这个部分我可能也没有进一步的评论
[1730.24-1730.72] 谢谢
[1733.92-1736.00] 那我们接下来有投资先进询问说
[1736.00-1739.56] 近4年股息配发率皆超过30%
[1739.56-1741.28] 去年获利5.44元
[1741.28-1743.60] 那也是维持同样发放率吗
[1748.00-1748.52] 是的
[1748.52-1754.36] 应该是说因为以公司的一个股利政策来说的话
[1754.36-1759.28] 根据我们公司装成的一个规定是不低于当其税后
[1759.28-1761.80] 经历的一个30%
[1761.80-1763.28] 那过去我想也都维持这样的一个规定了
[1763.28-1763.72] 那过去我想也都维持这样的一个规定了
[1763.72-1765.76] 那过去我想也都维持这样的一个规定了
[1765.76-1770.44] 那公司的2024年的一个盈余分配
[1770.44-1773.84] 这个部分还在等董事会的一个决议
[1773.84-1779.60] 最迟会在股东会前40日会另行的一个公告
[1779.60-1783.24] 那预计应该就是4月中下旬的部分
[1783.24-1785.96] 那这个部分如果董事会决议了
[1785.96-1789.84] 我们也会发布重大讯息
[1789.84-1790.92] 谢谢
[1793.72-1794.64] 好的谢谢
[1794.64-1795.76] 那接下来投资先进
[1795.76-1799.52] 想询问说保证去年透过调整鞋款
[1799.52-1803.72] 拉升量与驾动率带动获利结构改善
