[0.00-9.68] 欢迎各位投资先进参加凯基举办亚洲水泥的线上法人会议
[542.80-548.68] 会提供一些错峰停产的一个时程规划排程规划
[548.68-551.58] 那但是因为是比较缺乏强制性
[551.58-555.04] 所以还是比较是偏向大企业的带头
[555.04-556.50] 企业之间的自律
[556.50-559.88] 所以它是具有一定程度的不稳定性
[559.88-563.22] 那所以在去年第四季
[563.22-565.88] 其实大家在经历了亏损之后
[565.88-569.22] 其实相对参与错峰停产的意愿是比较高
[569.22-572.52] 所以也带动了价格一段的修复
[572.52-575.38] 不过到目前四五月来看
[575.38-581.42] 有些地方的错峰停产的执行相对上又不是这么的稳定
[581.42-585.42] 所以在五月其实我们也看到一些地方的价格又开始回落
[585.42-589.12] 所以这个其实就是再次验证我们在讲说
[589.12-591.72] 目前错峰相对是最有效
[591.72-594.08] 可是它也仍然具有不稳定性
[594.08-594.76] 好
[594.76-595.06] 那
[595.06-625.06] 
[625.06-655.06] 
[655.06-685.06] 
[685.06-695.14] dinner the
[695.14-697.18] 有了 curl
[697.18-701.56] 的rados the
[701.56-704.00] o
[704.00-706.32] 买卖
[706.32-708.16] clue
[708.16-709.42] 我的
[709.42-713.36] 我越吃越敏
[713.36-714.12] 中
[714.12-714.96] 7
[714.96-716.48] 然后产业垂直整合
[716.48-719.04] 转向一些高毛利事业为主
[719.04-720.76] 下一页
[720.76-724.08] 这是刚前面有带到的
[724.08-726.78] 大陆需求去年下滑10%
[726.78-728.66] 大概是18亿吨
[728.66-732.16] 今年第一季是下滑2%
[732.16-733.86] 不过行业目前预估
[733.86-735.64] 全年仍然下滑幅度
[735.64-737.56] 可能在5%到8%之间
[737.56-739.04] 下一页
[739.04-743.22] 那冲锋停产
[743.22-745.86] 现在主要这个停产天数
[745.86-747.98] 要求的天数都在加强
[747.98-749.34] 举例来说
[749.34-751.18] 今年的第一季
[751.18-752.08] 2025第一季
[752.08-753.32] 四川停60天
[753.32-755.18] 江西停50天
[755.18-756.46] 湖北停40天
[756.46-758.12] 其实停产都比去年同期多
[758.12-760.42] 如果就4月5月来讲的话
[760.42-762.62] 其实要求的停产天数
[762.62-764.12] 也是比去年同期多
[764.12-767.30] 但是当然更关键是说
[767.30-769.10] schedule是这样排
[769.10-770.98] 但是大家落实的情况是怎么样
[770.98-772.22] 这部分其实就是
[772.22-773.20] 会比较仰赖
[773.20-774.20] 其实是有点不太好
[774.20-775.20] 因为其实是在企业自律
[775.20-777.20] 就去年第四季来观察来看
[777.20-778.20] 从库存水位
[778.20-779.20] 从价格角度来看的话
[779.20-780.20] 其实落实是相当不错
[780.20-781.20] 不过到今年的4月开始
[781.20-782.20] 可以看到这张图
[782.20-783.20] 就是价格其实又开始往下走
[783.20-784.20] 所以体现出
[784.20-785.20] 可能在尤其是湖北的部分
[785.20-786.20] 就是冲锋的具体的落实
[786.20-787.20] 可能相对来说
[787.20-788.20] 又不是那么理想
[788.20-789.20] 不过就这个价格来看
[789.20-790.20] 其实也已经接近去年第三季的低点
[790.20-791.20] 所以到现在
[791.20-792.20] 我们看到
[792.20-793.20] 其实在这个时候
[793.20-794.20] 我们已经看到
[794.20-795.20] 我们已经看到
[795.20-796.20] 我们已经看到
[796.20-797.20] 我们已经看到
[797.20-798.20] 我们已经看到
[798.20-799.20] 我们已经看到
[799.20-800.20] 我们已经看到
[800.20-801.20] 我们已经看到
[803.20-804.20] 这个价格位置的话
[804.20-805.20] 这个价格位置的话
[805.20-806.20] 我觉得可能也是接近谷底了
[806.20-807.20] 我觉得可能也是接近谷底了
[807.20-808.20] 所以后续来讲
[808.20-809.20] 要再往下突破
[809.20-810.20] 可能也不是这么容易
[810.20-811.20] 可能也不是这么容易
[811.20-812.20] 可能也不是这么容易
[812.20-813.20] 所以就第一季的逗毛率来看
[813.20-814.20] 所以就第一季的逗毛率来看
[814.20-815.20] 所以就第一季的逗毛率来看
[815.20-816.20] 大概是在25块
[816.20-817.20] 大概是在25块
[817.20-818.20] 第二季虽然价格慢慢在往下走
[818.20-819.20] 第二季虽然价格慢慢在往下走
[819.20-820.20] 可是成本部分也是在往下跌
[820.20-821.20] 可是成本部分也是在往下跌
[821.20-822.20] 加上第二季的量
[822.20-823.20] 加上第二季的量
[823.20-824.20] 应该比去年
[824.20-825.20] 应该比第一季也好多
[825.20-826.20] 应该比第一季也好多
[826.20-827.20] 四川江西等等价格
[827.20-828.20] 四川江西等等价格
[828.20-829.20] 其实也都还OK
[829.20-830.20] 其实也都还OK
[830.20-831.20] 主要是湖北相对是弱的
[831.20-832.20] 主要是湖北相对是弱的
[832.20-833.20] 所以第二季的逗毛率
[833.20-834.20] 所以第二季的逗毛率
[834.20-835.20] 目前预期应该会
[835.20-836.20] 目前预期应该会
[836.20-837.20] 比第一季在做改善
[837.20-838.20] 可能有望看到30块三字头
[838.20-839.20] 可能有望看到30块三字头
[839.20-840.20] 再往下看
[840.20-841.20] 再往下看
[841.20-842.20] 这是刚刚讲煤价部分
[842.20-843.20] 这是刚刚讲煤价部分
[843.20-844.20] 这是刚刚讲煤价部分
[844.20-845.20] 煤价部分可以看到
[845.20-846.20] 煤价部分可以看到
[846.20-847.20] 其实去年黑色线2024年
[847.20-848.20] 其实去年黑色线2024年
[848.20-849.20] 其实去年黑色线2024年
[849.20-850.20] 基本上就是一个弱势的盘整
[850.20-851.20] 基本上就是一个弱势的盘整
[851.20-852.20] 大概在800到900之间
[852.20-853.20] 大概在800到900之间
[853.20-854.20] 红色线2025年的部分
[854.20-855.20] 红色线2025年的部分
[855.20-856.20] 其实年初就是高点
[856.20-857.20] 其实年初就是高点
[857.20-858.20] 从大概780块往下探
[858.20-859.20] 从大概780块往下探
[859.20-860.20] 现在其实已经到650块左右
[860.20-861.20] 现在其实已经到650块左右
[861.20-862.20] 所以其实比去年同期来讲
[862.20-863.20] 所以其实比去年同期来讲
[863.20-864.20] 就有一段落差
[864.20-865.20] 就有一段落差
[865.20-866.20] 会形成成本上面的一个建设
[866.20-867.20] 会形成本上面的一个建设
[867.20-868.20] 所以就这趋势来看的话
[868.20-869.20] 所以就这趋势来看的话
[869.20-870.20] 所以就这趋势来看的话
[870.20-871.20] 第二季尽管价格看起来
[871.20-872.20] 第二季尽管价格看起来
[872.20-873.20] 并未如想像中的强
[873.20-874.20] 并未如想像中的强
[874.20-875.20] 但是成本仍然在往下走
[875.20-876.20] 但是成本仍然在往下走
[876.20-877.20] 但是成本仍然在往下走
[877.20-878.20] 情况下就是对利润空间
[878.20-879.20] 情况下就是对利润空间
[879.20-880.20] 还是有一定的改善
[880.20-881.20] 再往下看
[881.20-882.20] 再往下看
[882.20-883.20] 中国部分有刚就是如同上面报告
[883.20-884.20] 中国部分有刚就是如同上面报告
[884.20-885.20] 那我们再看到台湾市场部分
[885.20-887.52] 那我们再看到台湾市场部分
[887.52-889.52] 那我们再看到台湾市场部分
[889.52-890.52] 台湾市场部分的话
[890.52-891.52] 其实第一季的需求相对是比较稳定
[891.52-892.52] 其实第一季的需求相对是比较稳定
[892.52-893.52] 其实第一季的需求相对是比较稳定
[893.52-894.52] 走一到四月来讲的话
[894.52-895.52] 走一到四月来讲的话
[895.52-898.20] 台湾选举需要大概是1%的小幅增长
[898.20-899.20] 台湾选举需要大概是1%的小幅增长
[899.20-899.70] 看到建造合法楼地板甚至有
[899.70-900.70] 看到建造合法楼地板甚至有
[900.70-901.70] 反而还有5%的增长
[901.70-902.70] 反而还有5%的增长
[902.70-903.70] 反而还有5%的增长
[903.70-904.70] 所以这提现出说
[904.70-910.28] 尽管现在的一个台湾的这个房市的一个政策
[910.28-912.74] 是相对是比较紧缩的情况下
[912.74-915.70] 交易量的减少并不完全代表
[915.70-918.62] 营建方面的活动的一个冷淡
[918.62-920.84] 其实在建造方面
[920.84-923.26] 其实相对都还是比较持稳的
[923.26-926.52] 加上其实土地购置在建造土地购买
[926.52-928.40] 在第一季其实表现并不差
[928.40-930.38] 那合法楼地板面积
[930.38-932.24] 其实也还有个percent增长
[932.24-937.52] 所以显示说尽管房市现在交易面是相对降温的
[937.52-940.64] 但是在营建业这块
[940.64-946.42] 其实倒是没有看到同样的冷淡下来
[946.42-948.42] 所以造就水泥需求
[948.42-951.10] 目前看起来还是相对是比较平稳的
[951.10-952.68] 再往下看
[952.68-958.24] 那在电力跟不锈钢方面
[958.24-960.96] 可以看到说蓝色的柱状体
[960.96-962.22] 就是2020
[962.22-963.42] 2025年的低级
[963.42-964.74] 加费电力在低减
[964.74-968.28] 相对营业经历比去年略少一些
[968.28-970.62] 这主要原因就是
[970.62-974.36] 电线成本目前其实是比去年同期高的
[974.36-977.36] 所以这部分会对我们的毛利造成一些影响
[977.36-979.80] 那再加上加费一期低级
[979.80-982.02] 有一个四年一度的大秀刚报告
[982.02-985.28] 就是营收跟营业经历会有受到一些影响
[985.28-987.34] 那但二期的部分
[987.34-989.70] 因为先因为就整个上半年来讲
[989.70-991.98] 其实我们的发电量
[991.98-993.00] 还是会比去年高
[993.00-995.86] 因为我们在去年第三季的时候
[995.86-997.92] 跟台电签征购合约
[997.92-1002.30] 所以就今年上半年二期部分还是一个低级级的红利
[1002.30-1004.74] 所以这部分还是会带一些支撑
[1004.74-1007.48] 那不过就到下半年来讲的话
[1007.48-1009.94] 这部分的这个低级级差异就不会有
[1009.94-1011.66] 所以就整年来讲
[1011.66-1013.04] 2025年来讲的话
[1013.04-1017.66] 那其实加费的贡献有可能在今年会是比去年要再少一点
[1020.24-1021.82] 那在远能不锈钢的部分呢
[1021.82-1021.96] 那在远能不锈钢的部分呢
[1021.98-1023.18] 来看的话
[1023.18-1024.62] 其实
[1024.62-1029.00] 其实去年开始就有营运慢慢转去稳定的一个状况
[1029.00-1030.92] 营业经历就开始转正
[1030.92-1031.88] 那今年的话
[1031.88-1034.40] 这个状况仍然是维持不错
[1034.40-1040.86] 那但是因为现在看起来关税政策等等发一些中断需求的一个不确定性
[1040.86-1043.36] 所以这块拉费有变相保守
[1043.36-1050.74] 所以今年我觉得我们认为远能的展望仍然是可能会是一个相对持稳
[1050.74-1051.82] 持银保泰维持
[1051.82-1053.44] 小幅获利这样的一个状况
[1056.32-1056.82] 再往下
[1059.56-1060.28] 好
[1060.28-1064.60] 那接下来就是资本开支跟鼓励政策的看一下
[1067.18-1068.38] 这资本开支的部分
[1068.38-1068.94] 那去年
[1071.26-1074.92] 2024年整个亚尼合并资本开支大概是40亿元
[1074.92-1079.66] 那亚尼中国部分有增加到4亿8千万人民币
[1079.66-1081.66] 那这部分增加主要是因为我们有些
[1081.66-1085.12] 产能的扩充跟置换
[1085.12-1088.58] 然后还有一些节能减排的一个环保设备
[1088.58-1090.14] 这部分的改善
[1090.14-1094.64] 然后台湾的部分也有一些循环经济的一些投资
[1094.64-1097.64] 那到今年来讲
[1097.64-1101.92] 这部分的金额有可能还会再持续维持去年
[1101.92-1102.94] 所以说甚至往上
[1102.94-1105.84] 因为有些案子还是在持续进行
[1105.84-1107.10] 再往下
[1107.10-1110.04] 那鼓励政策
[1110.04-1111.54] 鼓励政策部分
[1111.54-1111.64] 呢
[1111.66-1112.66] 呃
[1112.66-1114.66] 公司目前的最低
[1114.66-1116.82] 根据公司章程
[1116.82-1120.42] 亚尼部分最低章程要求是50个percent
[1120.42-1124.42] 那但是当然可以做过去的历史看到
[1124.42-1126.68] 其实我们几乎没有配到50个percent
[1126.68-1130.28] 大概大部分都是在60到70甚至80
[1130.28-1132.66] 那更早期也有到90到100
[1132.66-1134.64] 所以呃
[1134.64-1137.98] 这部分我们董事会的部分还是会呃
[1137.98-1140.32] 参考整个市场的条件情况
[1140.32-1141.38] 在结合公司
[1141.66-1143.42] 本身的一个财务情况
[1143.42-1144.90] 来去做综合的考量
[1144.90-1147.90] 那会考虑配息率也会考虑殖利率
[1147.90-1151.66] 然后也会考虑呃整个公司的一个资本开支
[1151.66-1155.42] 或者是公司的这个资金使用的一个综合考量的结果
[1155.42-1157.66] 这是我们目前鼓励政策
[1157.66-1162.42] 那亚尼中国部分呃2024年就没有派息
[1162.42-1166.66] 主要原因是因为呃2024年亚尼中国是亏损的
[1166.66-1171.66] 那当然有很多股东也问到说呃2015年
[1171.66-1172.66] 亚尼中国也是亏损
[1172.66-1174.66] 但是当时有派息
[1174.66-1175.66] 现在没有派息
[1175.66-1178.66] 那这部分主要的原因考量就是
[1178.66-1180.66] 2015年的时候
[1180.66-1185.66] 其实当时水泥行业仍然是在一个需求扩张阶段
[1185.66-1188.66] 那行业的获利尽管亏损
[1188.66-1192.66] 但是其实需求还在成长
[1192.66-1194.66] 那加上当时其实也没有这么多人在想要成长
[1194.66-1195.66] 那加上当时其实也没有这么多人在想要成长
[1195.66-1196.66] 那加上当时其实也没有这么多人在想要成长
[1196.66-1197.66] 那么现在来看的话
[1197.66-1198.66] 2024年还是亏损
[1198.66-1201.66] 可是需求比起2014 2015的高峰
[1201.66-1202.66] 但是需求比起2014 2015的高峰
[1202.66-1204.66] 已经是大幅减少
[1204.66-1205.66] 已经是大幅减少
[1205.66-1208.66] 刚刚有见没有看到
[1208.66-1210.66] 现在需求是18亿吨
[1210.66-1211.66] 他当时是24亿吨
[1211.66-1213.66] 那而且现在可能这个下降
[1213.66-1214.66] 那当时是24亿吨
[1214.66-1216.66] 那而且现在可能这个下降
[1216.66-1217.66] 还在进行中
[1217.66-1219.66] 所以我们是必须要去
[1219.66-1222.66] 比较谨慎审慎的看待这件事情
[1222.66-1223.66] 加上公司现在有些比较大的资本开支
[1223.66-1225.66] 加上公司现在有些比较大的资本开支
[1225.66-1229.62] 大的资本开支是必要进行的
[1229.62-1233.44] 所以今年2020年是没有派息
[1233.44-1238.22] 以上这些状况跟各位投资先进行做说明
[1238.22-1241.26] 我们现在就先进行Q&A
[1241.26-1246.74] 谢谢Niles
[1246.74-1249.08] 我们接下来就看各位投资先进
[1249.08-1251.42] 有任何问题都可以提出来做个交流
[1251.42-1253.72] 也可以将您的问题写在聊天室
[1255.66-1269.54] Niles现在聊天室有新增一个问题
[1269.54-1270.30] 好
[1270.30-1274.40] 有一个问题是问到说
[1274.40-1277.52] 请问新台币升值幅度对公司的影响
[1277.52-1281.28] 这部分其实可以参考我们公司的财报
[1281.28-1283.50] 在后半付注的时候
[1283.50-1285.62] 其实有揭露公司在
[1285.62-1285.64] 在后半付注的时候
[1285.64-1289.10] 会对上面的一个曝显程度
[1289.10-1293.68] 那以公司的美元的净资产
[1293.68-1295.34] 就是资产购掉负债的话
[1295.34-1298.26] 大约在第一季底大约是8亿美金左右
[1298.26-1300.64] 所以各位可以直接去做实算
[1300.64-1305.32] 下面一个问题问到说
[1305.32-1309.32] 加费电力第二季的获利会回复去年下半年的水准吗
[1309.32-1313.60] 不会因为第二季跟去年下半年是不同的
[1313.60-1316.72] 因为第三季通常是传统旺季
[1316.72-1320.40] 所以这个它本身就有季节性的因素在里面
[1320.40-1326.80] 所以可能要看同期的比较
[1326.80-1329.16] 那所以就第二季的
[1329.16-1333.46] 如果是就第二季跟去年第二季同期来比的话
[1333.46-1336.20] 有可能还是会差不多或者略少
[1336.20-1340.64] 因为主要是因为天然气价是有落差
[1340.64-1343.06] 但是二期的部分
[1343.06-1343.90] 是正贡献
[1343.90-1347.18] 所以一期会应该说一期会比去年少
[1347.18-1348.78] 但是二期会比去年多
[1348.78-1351.36] 所以两项比较之下
[1351.36-1352.96] 可能要看最后影响是怎么样
[1352.96-1355.02] 但是到了下半年的话
[1355.02-1358.42] 如果天然气的价格还是比去年高的话
[1358.42-1364.24] 那这个状况可能在第三季第四季有可能会比去年少
[1373.06-1381.12] 那下面有一个问题问到的是第一季跟第二季的煤炭耗用成本
[1381.12-1384.78] 第一季的煤炭耗用成本是743
[1384.78-1389.30] 那第二季预计可能会是在680块左右
[1389.30-1393.44] 740跟680
[1393.44-1394.64] 下面一个问题问到说
[1394.64-1398.16] 嘉惠电力的维修排成和台电的购置专案
[1398.16-1399.46] 可以再review一次吗
[1399.46-1402.90] 嘉惠电力的维修排成在今年第一季有一个大选项
[1402.90-1403.04] 嘉惠电力的维修排成在今年第一季有一个大选项
[1403.06-1404.74] 是四年一度的大修
[1404.74-1406.34] 影响时间大概是一个月
[1406.34-1409.10] 所以导致今年第一季的营收
[1409.10-1411.46] 按获利比去年少
[1411.46-1413.76] 主要是今年第一季有一个大修
[1413.76-1415.64] 都已经在第一季完全结束
[1415.64-1417.06] 所以第二季没有大修
[1417.06-1420.36] 台电购置
[1420.36-1421.94] 关于台电购置专案是
[1421.94-1425.16] 我们在去年第三季嘉惠二期
[1425.16-1427.08] 有跟台电增加购买
[1427.08-1430.12] 台电有跟台电签一个增购合约
[1430.12-1432.66] 也就是台电增加购买
[1432.66-1432.90] 嘉惠电力的购买
[1432.90-1434.12] 嘉惠电力的电
[1434.12-1436.34] 因为我们的电都会卖给台电
[1436.34-1438.96] 所以嘉惠二期的发电量
[1438.96-1442.84] 在去年第三季开始有比较明显的增加
[1442.84-1445.84] 那这个专案会延续到今年
[1445.84-1449.28] 所以今年就上半年角度来看
[1449.28-1452.78] 嘉惠二期的发电量仍然会比去年上半年多
[1452.78-1456.42] 因为增购是从去年第三季开始
[1456.42-1458.56] 但到今年下半年
[1458.56-1460.50] 这个机器的差异就会没有
[1462.90-1465.66] 所以我们现在就要去年再去看
[1465.66-1466.76] 下面一个问题问到
[1466.76-1471.12] 雅尼的ESG政策在碳排放是不是比去年减少
[1471.12-1473.22] 再生能源的使用情况
[1473.22-1475.44] 这部分其实牵涉到比较多数据
[1475.44-1477.68] 那可能请要请这位先进
[1477.68-1480.44] 我们直接参考一下我们的ESG报告书
[1480.44-1484.68] 上面其实会有比较详细的数据在说说明
[1484.68-1487.32] 那就大方向可以直接说明
[1487.32-1491.56] 就是说我们的碳排放政策确实是有在比去年
[1491.56-1492.74] 一比一年比一年多的增加性质量
[1492.74-1492.76] 所以我们现在就要去年再去看这些数据了
[1492.90-1493.40] 所以我们现在就要去年再去看这些数据了
[1493.40-1494.00] 所以我们现在就要去年再去看这些数据了
[1494.00-1496.90] 主要在现在减少比较快
[1496.90-1500.04] 是因为我们在石灰石的用量上面
[1500.04-1503.12] 我们现在开始开采一些
[1503.12-1506.18] 生产一些所谓的低碳水泥
[1506.18-1509.86] 低碳水泥它使用比较多的石灰石
[1509.86-1511.52] 但是比较少的熟料
[1511.52-1515.84] 所以在水泥生产出来的碳排放就会比较少
[1515.84-1518.10] 这是新的产品推出的效果
[1518.10-1519.32] 这是主要的因素
[1519.32-1522.74] 那我们现在也完成了
[1522.74-1525.04] 新的SBT的建制
[1525.04-1528.58] 所以在我们的减碳的一个路径上面
[1528.58-1531.98] 从2025年我们已经提前达标了
[1531.98-1534.52] 原本编的SBT的一个减碳目标
[1534.52-1536.12] 我们已经提早达标
[1536.12-1540.72] 我们现在把这减碳目标再持续延展到2030年后
[1540.72-1544.50] 所以这部分我们都是在持续进行当中
[1544.50-1546.90] 再生能源的使用情况部分
[1546.90-1551.44] 我们有使用水泥厂有配套一些绿色电力
[1551.44-1552.74] 太阳能的部分
[1552.74-1554.54] 所以我们现在是有在使用绿电
[1554.54-1559.62] 那详细的就简单报告到这边
[1559.62-1561.18] 因为详细的部分可以再参考
[1561.18-1564.58] ESG报告书上面有非常丰富的说明
[1564.58-1566.62] 或是如果有提问的话
[1566.62-1570.12] 也可以请这位投资先进可以直接email给我们
[1570.12-1572.76] 可以再做比较详细的回复
[1572.76-1574.36] 那在下面一个问题问
[1574.36-1576.24] 有同志先进问到说
[1576.24-1578.54] 近期水泥报价叠价较多
[1578.54-1581.40] 库存堆积是否代表需求已经结束
[1581.40-1582.74] 短期怎么看是否为止?
[1582.74-1584.74] 地档震荡到秋天
[1584.74-1588.24] 刚前面报告就是最近水泥价格下跌
[1588.24-1589.78] 主要是在江西跟湖北
[1589.78-1591.58] 那后来湖北下跌比较多
[1591.58-1595.02] 主要原因就是凑封停产的执行
[1595.02-1596.82] 在第二季开始
[1596.82-1601.22] 有一些区域是执行的不是这么理想
[1601.22-1604.00] 那所以价格就开始有一些回落
