[0.00-11.92] 高雄銀行2024年第四季法人說明會正式開始
[205.54-208.54] 數字加回到我們的稅後經濟來看的話
[208.54-211.54] 事實上我們去年的稅後經濟大概是有來到
[211.54-213.54] 12億0600萬
[213.54-217.54] 那這個較前一個年度的10億0400萬來看的話
[217.54-221.54] 我們的成長幅度就達到了20.12%
[221.54-223.54] 好 接下來我們看下一頁
[223.54-226.54] 那接下來是比較詳細的一個
[226.54-228.54] 各方面業務的一個詳細數字
[228.54-232.54] 首先我們看到的是我們資產跟負債的總額的一個狀況
[232.54-233.54] 那各位看到的這個是我們每一季度每一個月的數字
[233.54-234.54] 那各位看到的這個是我們每一季度每一個月的數字
[234.54-237.54] 那各位看到的這個是我們每一季度每一個月的數字
[237.54-239.54] 首先看到資產的部分
[239.54-241.54] 資產我們去年第四季呢
[241.54-246.54] 這個資產總額是來到3507億
[246.54-249.54] 那相較前一個年度的同期呢
[249.54-252.54] 我們是淨增加了438億
[252.54-253.54] 那這個因為是資產
[253.54-256.54] 所以最主要的部分呢還是淨增加在我們的放款
[256.54-258.54] 我們可以看到我們的放款呢
[258.54-261.54] 大概就增加了336億
[261.54-262.54] 還有一些金融的投資
[262.54-263.54] 那這個部分也有一部分呢
[263.54-265.54] 那這個部分也有一百零四億
[265.54-266.54] 主要是這個部分
[266.54-268.54] 接下來紅色的這條曲線圖
[268.54-271.54] 是我們的一個整個負債的一個總額
[271.54-273.54] 那我們看到去年的第四季
[273.54-277.54] 這個金額是來到3256億
[277.54-282.54] 那相較前一個年度的同期2883億
[282.54-285.54] 這個是淨增加了373億
[285.54-288.54] 那這個不管是這個資產或者是負債
[288.54-291.54] 也都有兩位數字以上的一個成長
[291.54-293.54] 來接下來我們看下一頁
[293.54-296.54] 下一頁是我們的一個權益的一個增長的一個變化
[296.54-299.54] 跟股本的相關的一個變化的一個情形
[299.54-301.54] 首先我們看到權益
[301.54-303.54] 權益也就是所謂的淨值
[303.54-305.54] 我們可以看到去年年底的時候
[305.54-310.54] 這個數字是來到250.26億
[310.54-315.54] 那相較前一個年度的同期的185億5000萬呢
[315.54-319.54] 我們大概是增加了有64億7600萬
[319.54-322.54] 那這個主要增加主要是有幾個因素
[322.54-323.54] 第一個是
[323.54-325.54] 我們去年3月份的時候
[325.54-327.54] 我們有做了一個現金增值50億
[327.54-329.54] 那因為我們是溢價發行
[329.54-331.54] 10塊7
[331.54-335.54] 所以呢我們大概就收進了這個53億5
[335.54-337.54] 這是第一個因素
[337.54-340.54] 第二個因素是我們剛剛稍早有報告過
[340.54-345.54] 我們去年一整年大概稅後的淨利有9億6100萬
[345.54-346.54] 這是第二個因素
[346.54-349.54] 使得這個淨值會來做一個增加
[349.54-352.54] 第三個是我們帳列OCI
[353.54-356.54] 這個就是我們在這個平價的損益部分
[356.54-359.54] 我們去年年底也就是這個時間點
[359.54-363.54] 平價利益是正數是來到1億5800萬
[363.54-366.54] 但是相較於去年同期的這個點
[366.54-370.54] 當時是負的是2.66億
[370.54-372.54] 所以這個差距一個是正的
[372.54-374.54] 這邊是正的1億5800萬
[374.54-376.54] 這是負的2億6600萬
[376.54-379.54] 所以這個差距就有4億多的一個差距
[379.54-382.54] 那其次還有一個減相的因素是因為
[382.54-385.54] 我們去年在股東會之後呢
[385.54-389.54] 我們有發放了這個現金的股利3毛錢
[389.54-390.54] 發了5億
[390.54-392.54] 所以呢剛剛幾個因素相加
[392.54-394.54] 減掉剛剛的股利
[394.54-397.54] 所以使得我們的淨值也就是說
[397.54-399.54] 較去年的同期大概就是
[399.54-403.54] 淨增加了64億7600萬
[403.54-406.54] 好那其次我們看到紅色的曲線
[406.54-408.54] 那這是股本的一個變化的一個狀況
[408.54-411.54] 那我們看到我們去年年底的股本是來到
[412.54-414.54] 182億6300萬
[414.54-418.54] 那其實這個是含了我們的特別股4億在內
[418.54-422.54] 那相較去年同期127億4300萬
[422.54-426.54] 這個是進一增加了55億2000萬
[426.54-429.54] 那其中的50億是剛剛報告的
[429.54-432.54] 在3月份的一個現金增值50億
[432.54-436.54] 那另外的5億2呢是因為我們有配發了
[436.54-439.54] 股票股利也就是盈餘轉增值
[439.54-442.54] 所以使得股本也多增加了這個
[442.54-443.54] 55億2
[443.54-445.54] 所以使得我們整個來看的話
[445.54-446.54] 大概相較去年同期
[446.54-449.54] 總共就是增加了55億2000萬
[449.54-451.54] 好接下來我們再看下一頁
[451.54-455.54] 下一頁這個是資產結構的比較詳細的一個分析
[455.54-457.54] 那我們看得出來在這個
[457.54-460.54] 派圖裡面的最大的一個部分呢
[460.54-461.54] 還是這個橘色的部分
[461.54-464.54] 也就是我們的貼現放款的一個進額
[464.54-466.54] 那這個2172億呢
[466.54-470.54] 是不含了我們的背底呆帳提存的部分
[470.54-471.54] 也就是說呢
[471.54-473.54] 我們有把那個扣除掉
[473.54-475.54] 那個金額大概相當於455的話
[475.54-477.54] 大概相近26億
[477.54-480.54] 這個大概是主要的一個部分
[480.54-484.54] 那其次再來就是我們的金融的一個投資
[484.54-488.54] 那這個主要當然就是一些台外幣的一些投資的一個部分
[488.54-491.54] 還有充當流動準備的一些資產
[491.54-496.54] 好那我們接下來再看下一個頁次
[496.54-499.54] 接下來是我們的負債跟權益結構的分析
[499.54-501.54] 那我們先看到負債
[501.54-503.54] 那我們的負債在去年的時候呢
[503.54-505.54] 是3256億
[505.54-509.54] 那我們知道銀行最大的負債就是我們的存款
[509.54-514.54] 因為銀行是作為一個中介的一個行業
[514.54-517.54] 我們主要的資金還是來自於這個存款
[517.54-519.54] 所以這個是佔最大的部分
[519.54-523.54] 我們可以看到這個比重是來到89%
[523.54-527.54] 那其次呢我們自己本身也有發了一些債券
[527.54-529.54] 這個是我們金融債券這個部分
[529.54-531.54] 是我們自己本身的債券
[531.54-533.54] 我們自己發的一個債券
[533.54-539.54] 那這個其中呢有15億是有到期日的一個金融債券
[539.54-545.54] 那有38億多呢這個是就是沒有到期日的一個次存位債券
[545.54-549.54] 好那其他的大概是一些拆借跟其他的一個部分
[549.54-550.54] 其他的負債
[550.54-554.54] 那我們看到右邊是我們這個權益也就是淨值這個部分
[554.54-558.54] 那我們總額是來到251億
[558.54-561.54] 那最大的一個部分就是我們的股本
[561.54-563.54] 這個部分是183億
[563.54-566.54] 那其次呢我特別說明一下這個保留益
[566.54-569.54] 因為我們這個帳上保留益看起來有50幾億
[569.54-571.54] 那這個50幾億的主要成分
[571.54-574.54] 第一個是法定公積
[574.54-577.54] 法定公積其實是佔了最主要的部分
[577.54-581.54] 那大概這個就有35億8500萬
[581.54-585.54] 另外呢還有部分的特別盈餘公積
[585.54-588.54] 特別盈餘公積是在前年
[588.54-590.54] 前年因為不能夠分派
[591.54-594.54] 這個現金股利跟股票股利的時候
[594.54-596.54] 提了一個特別盈餘公積
[596.54-599.54] 那是因為當時的剛剛有報告過
[599.54-603.54] 帳列這個其他綜合損益
[603.54-608.54] 像按公允價值計算的這個OCI的評價是有一些損失
[608.54-614.54] 所以當時的賺的錢呢就是去提列了這個特別盈餘公積
[614.54-617.54] 那去年我們有從這個特別盈餘公積裡面呢
[617.54-621.54] 拿了一部分來配發我們的一個股利
[621.54-626.54] 那現在目前帳上大概還有2億9這樣子的一個
[626.54-629.54] 特別盈餘公積在這個帳上
[629.54-632.54] 那當然還有就是我們去年賺的一些的
[632.54-634.54] 稅後淨利9億6千多萬
[634.54-637.54] 以及稍早也有提到說
[637.54-642.54] 我們帳列在這個權益向下的
[642.54-646.54] 權益公積的一個儲分利益2億4千5百萬
[646.54-648.54] 這個也是帳列在這個保留盈餘裡面
[648.54-650.54] 這個也是可以作為一個
[651.54-653.54] 一個股利分派的一個來源
[653.54-655.54] 這個是主要的一個部分
[655.54-658.54] 好那這個其他權益呢
[658.54-660.54] 就是剛剛有特別報告
[660.54-662.54] 也就是說我們帳列OCI這個部分呢
[662.54-664.54] 因為去年年底的時候
[664.54-666.54] 我們是正數
[666.54-670.54] 所以這個是正數大概就是1億5千8百萬的部分
[670.54-673.54] 那因為是四捨五入所以是帳列2億
[673.54-676.54] 好接下來我們再看下一個顏色
[676.54-679.54] 接下來是我們損益的一個增長的一個狀況
[679.54-680.54] 那這個曲線圖呢是我們每一項的一個狀況呢
[680.54-682.54] 是我們每一季度每一季度
[682.54-685.54] 我們的一個損益的一個狀況
[685.54-688.54] 那首先我們可以看到我們的稅前盈餘
[688.54-690.54] 我們去年第四季的時候
[690.54-694.54] 我們的稅前盈餘是來到3億4千8百萬
[694.54-698.54] 那相較前一個年度的重啟2億5千8百萬
[698.54-701.54] 我們大概是有淨增加9千萬
[701.54-704.54] 我們可以看得到為什麼在每年
[704.54-708.54] 在這個2024年2Q的時候
[708.54-712.54] 我們感覺這個曲線圖是來到最高峰
[712.54-714.54] 那是因為在第二季的時候
[714.54-716.54] 很多的股利的一個發放
[716.54-719.54] 包括我們長期股權的一個投資
[719.54-722.54] 以及上市櫃公司的股利發放
[722.54-724.54] 都會是集中在第二季
[724.54-726.54] 所以呢可以看得出來
[726.54-730.54] 我們的這個不管是稅前稅後盈餘
[730.54-732.54] 都會是在這個第二季2Q的時候
[732.54-734.54] 這個是來到高峰
[734.54-736.54] 那這個高峰過了以後呢大概就是回復了
[736.54-738.54] 那這個高峰過了以後呢大概就是回復了
[738.54-740.54] 比較正常的一個狀態
[740.54-743.54] 那接下來第二條曲線是我們的稅後淨利
[743.54-745.54] 那我們相對的一樣
[745.54-749.54] 稅前是3.48億
[749.54-753.54] 那我們的這個稅後第四季是來到2.5億
[753.54-756.54] 這個相較前一個年度的同期的1.71億
[756.54-759.54] 大概也有淨增加了7千6百萬
[759.54-760.54] 大概是
[760.54-763.54] 另外這個是稅後美股的一個盈餘
[763.54-765.54] 我們可以看得到
[765.54-767.54] 去年的第四季跟前一個年度的同期的
[767.54-770.54] 前一個年度的同期基本上來講的話是持平
[770.54-772.54] 但是事實上看起來是持平
[772.54-774.54] 事實上結構已經不同
[774.54-776.54] 因為我們在去年的第一季
[776.54-778.54] 這個季度的時候我們事實上
[778.54-781.54] 我們是有做了這個現金增值
[781.54-785.54] 幅度非常大的一個增值
[785.54-789.54] 那其實是我們的股本其實是已經擴增了40%
[789.54-790.54] 是這樣
[790.54-794.54] 所以稅後看起來這個美股的盈餘是一樣的
[794.54-796.54] 但是實際上呢是要多賺很多錢
[796.54-798.54] 才有辦法維持
[798.54-800.54] 因為這個幅度確實是非常大
[800.54-801.54] 現金增值
[801.54-804.54] 好那接下來我們再看下一頁
[804.54-809.54] 那再來這一個頁次是我們整個淨收益的一個狀況
[809.54-811.54] 那銀行的淨收益其實
[811.54-813.54] 這是一個總和的一個曲線
[813.54-817.54] 主要是下面這個三個收益加起來
[817.54-819.54] 但是不會完全相等
[819.54-822.54] 因為銀行的收益除了這三大收益以外
[822.54-824.54] 還有其他的淨收益
[824.54-826.54] 但是那個部分是
[826.54-827.54] 非常微小的
[827.54-829.54] 所以我們可以忽略不去看
[829.54-832.54] 那我們先從利息淨收益來看好了
[832.54-836.54] 我們利息淨收益在去年第四季的時候
[836.54-839.54] 這個金額是來到8億0900萬
[839.54-844.54] 那前一個年度的這個金額是6億2300萬
[844.54-847.54] 那有進增加了1億8600萬
[847.54-849.54] 那這個部分呢主要
[849.54-851.54] 利息淨收益可以成長那麼多
[851.54-855.54] 其實主要是我們的因為我們的放款的量
[855.54-857.54] 增加了好幾百億喔
[857.54-859.54] 這個待會會有詳細的報告
[859.54-861.54] 那雖然我們這個負利差的狀況
[861.54-863.54] 是還沒有完全改善
[863.54-867.54] 但是呢因為我們台外幣的放款都有增加
[867.54-868.54] 長足的進步
[868.54-873.54] 所以呢就是cover了部分的這個負利差的一個狀況
[873.54-876.54] 所以呢這個看起來這個利息淨收益呢
[876.54-879.54] 還是有一個淨成長大概1億8600萬
[879.54-882.54] 那接下來看到手續費的一個淨收益
[882.54-884.54] 手續費淨收益的話在
[884.54-886.54] 去年第四季的時候
[886.54-889.54] 我們金額是來到2億1900萬
[889.54-896.54] 相對前一個年度的同期2億1100萬
[896.54-899.54] 我們還是有增加了大概800萬左右
[899.54-901.54] 那財務操作的部分呢
[901.54-905.54] 去年第四季是來到6200萬
[905.54-909.54] 相對前一個年度的同期的5600萬
[909.54-911.54] 大概也有增加了600萬
[911.54-913.54] 所以呢不管是哪一個收益
[913.54-915.54] 其實都是有成長的
[915.54-917.54] 好接下來我們看下一個頁次
[917.54-924.54] 好那剛剛看到的是我們個別季度的一個收益的一個狀況
[924.54-927.54] 那這張簡報的圖呢
[927.54-929.54] 分為上半部跟下半部
[929.54-935.54] 這個就是我們整個去年年度整個收益的相關的一個
[935.54-939.54] 包括收益的來源跟它的去路是做怎麼分派的
[939.54-941.54] 那請各位法輪功的我們可以看到
[941.54-942.54] 這三個派圖裡面呢
[943.54-945.54] 我們先看到綠色的這個派圖
[945.54-949.54] 上面呢是2024年的一個我們整個的一個狀況
[949.54-954.54] 那下半段的部分是這個前一個年度的一個整個的一個情形
[954.54-956.54] 那我們看到這個綠色的這個部分呢
[956.54-958.54] 我們看到淨收益
[958.54-964.54] 那淨收益呢我們去年的總金額是來到43億8500萬
[964.54-968.54] 那跟前一個年度的38億2100萬呢
[968.54-971.54] 我們是淨增加了5億6400萬
[971.54-972.54] 這個成長的幅度也有增加了
[973.54-978.54] 也就是說這個5億6400萬去除上這個38.21億呢
[978.54-981.54] 我們這個成長的幅度是來到14.76
[981.54-983.54] 將近15個percent
[983.54-986.54] 那它的組成是怎麼樣呢
[986.54-988.54] 因為稍早剛剛也有提到
[988.54-991.54] 我們的淨收益主要是靠三大支柱
[991.54-993.54] 第一個最大的還是利息淨收
[993.54-996.54] 其次是我們的手續費的一個淨收
[996.54-998.54] 再來是我們的一個財務操作
[998.54-1002.54] 那我們先看到這個藍色的派圖這個部分
[1002.54-1005.54] 是我們的一個利息淨收益
[1005.54-1007.54] 我們可以看到它整個的占比
[1007.54-1009.54] 占比去年度呢
[1009.54-1012.54] 這個是大概在67個percent
[1012.54-1014.54] 相較前一個年度66個percent呢
[1014.54-1016.54] 其實差距並不大
[1016.54-1018.54] 差距並不大
[1018.54-1021.54] 那絕對是我們來看到
[1021.54-1024.54] 去年的這個金額是來到29.28億
[1024.54-1029.54] 這個相較前一個年度是淨增加了3億8400萬
[1029.54-1031.54] 那3億8400萬呢
[1031.54-1033.54] 跟各位做一個報告
[1033.54-1035.54] 因為我們的主要的資產就有兩個部分
[1035.54-1037.54] 一個是放款
[1037.54-1039.54] 另外一個是我們的一個投資
[1039.54-1042.54] 那這個利息淨收益的增加
[1042.54-1047.54] 主要是來自放款的一個利息淨收益的增加
[1047.54-1049.54] 尤其是台幣的放款
[1049.54-1052.54] 我們台幣的放款去年大概整整增加了這個
[1052.54-1055.54] 大概5億元的一個利息淨收益
[1055.54-1059.54] 那外幣的放款大概增加了2600萬
[1059.54-1061.54] 所以整個放款來看的話
[1061.54-1064.54] 就是淨增加了5億2600萬
[1064.54-1067.54] 但是我們的負利差的一個狀況
[1067.54-1069.54] 還沒有完全改善過來
[1069.54-1072.54] 所以吃掉了部分這樣子的一個淨增加
[1072.54-1076.54] 所以即便是放款增加了5億2600萬
[1076.54-1079.54] 但是利息淨收益的絕對數
[1079.54-1082.54] 還是只有增加了3億8400萬
[1082.54-1084.54] 但是即便是這樣我們可以看到
[1084.54-1086.54] 這個3億8400萬
[1086.54-1088.54] 較前一個年度的這個增長幅度
[1088.54-1090.54] 也達到了15.09億元
[1091.54-1093.54] 相當於15%
[1093.54-1095.54] 那接下來我們看到
[1095.54-1098.54] 我們這個看起來派圖第二大的一個部分
[1098.54-1100.54] 是我們的手續費的淨收益
[1100.54-1103.54] 那各位可以從我們這個派圖裡面看到
[1103.54-1106.54] 我們去年的這個手續費淨收益是
[1106.54-1109.54] 9億0200萬
[1109.54-1113.54] 那相較前一個年度的7億9200萬
[1113.54-1115.54] 我們有增加了大概1億1億
[1115.54-1117.54] 那主要增加在哪一個部分
[1117.54-1120.54] 其實我們現在的手續費收入
[1120.54-1122.54] 最主要的兩大塊還是
[1122.54-1125.54] 第一財富管理的一個手續費收入
[1125.54-1130.54] 其次是放款業務的一些手續費
[1130.54-1134.54] 那當然還有小部分的包括外匯的匯兌的
[1134.54-1138.54] 那有一些匯款的這個等等的一些的手續費
[1138.54-1141.54] 那最主要的還是剛剛報告的前兩大塊
[1141.54-1142.54] 一個就是財富管理
[1142.54-1144.54] 那我們財富管理呢
[1144.54-1146.54] 去年的這個手續費收入
[1146.54-1148.54] 較前一個年度也就是較112年
[1148.54-1150.54] 大概淨增加了3億2千萬
[1150.54-1152.54] 相當於4千9百萬
[1152.54-1155.54] 相當於5千萬元的一個手續費淨收益
[1155.54-1159.54] 那另外放款業務這邊的手續費
[1159.54-1162.54] 較前一個年度大概增加了7千1百萬
[1162.54-1165.54] 這是成長幅度是比較可觀的
[1165.54-1167.54] 這個是我們的手續費的一個狀態
[1167.54-1170.54] 那接下來我們看到我們財務操作這個部分
[1170.54-1172.54] 財務操作呢
[1172.54-1174.54] 我們去年的整個的收益
[1174.54-1176.54] 大概是5億0300萬
[1176.54-1179.54] 相較前一個年度的4億4千5百萬
[1179.54-1182.54] 我們也有淨增加了大概5千8百萬
[1182.54-1184.54] 那這個成長的幅度呢
[1184.54-1187.54] 也來到12.78個%
[1187.54-1189.54] 那四舍五入的話
[1189.54-1190.54] 大概就是13個%
[1190.54-1192.54] 所以呢我們的財務操作
[1192.54-1194.54] 大概增加了13個%
[1194.54-1196.54] 我們的手續費淨收益呢
[1196.54-1198.54] 大概淨增加了14個%
[1198.54-1200.54] 那我們的利息淨收益這塊呢
[1200.54-1202.54] 大概增加了15%
[1202.54-1204.54] 所以呢這個增加15%
[1204.54-1206.54] 這個13%
[1206.54-1208.54] 這個14%
[1208.54-1209.54] 這個13%
[1209.54-1211.54] 所以我們整個淨收益來看的話
[1211.54-1214.54] 我們大概是淨增加了14.76個%
[1214.54-1215.54] 好
[1215.54-1217.54] 這個是收益的一個主要的來源
[1217.54-1218.54] 是這個樣子
[1218.54-1220.54] 那我們這些的收益
[1220.54-1223.54] 我們是怎麼樣去做分派的
[1223.54-1225.54] 第一我們銀行最大的
[1225.54-1227.54] 大概就是這個營業費用
[1227.54-1229.54] 營業費用這個當然最主要是包含了
[1229.54-1232.54] 這個人員的一些薪資費用
[1232.54-1235.54] 我們的提存的一個
[1235.54-1237.54] 折舊
[1237.54-1239.54] 提存算在這個
[1239.54-1241.54] 裡面不算在這裡喔
[1241.54-1243.54] 不算在營業費用裡面
[1243.54-1245.54] 那就是
[1245.54-1248.54] 主要是人員的薪資跟一些折舊相關的等等
[1248.54-1251.54] 那我們去年這個營業費用我們可以看到
[1251.54-1254.54] 去年的營業費用大概是30億零400萬
[1254.54-1257.54] 相較前一個年度的27億零800萬
[1257.54-1259.54] 大概有增加了
[1259.54-1261.54] 2億9600萬
[1261.54-1263.54] 那這2億9600萬主要是增加什麼
[1263.54-1265.54] 當然部分因為剛剛有報告過
[1265.54-1267.54] 最大的部分呢
[1267.54-1269.54] 當然是營業費用的最大部分
[1269.54-1271.54] 是人員的薪資的一個費用
[1271.54-1273.54] 那我們去年
[1273.54-1275.54] 淨增加這個2億多呢
[1275.54-1278.54] 主要是因為我們捐給信保基金的費用呢
[1278.54-1280.54] 大概較前一個年度
[1280.54-1282.54] 也就是說我們113年捐的費用
[1282.54-1286.54] 相較於112年大概就增加了8600萬
[1286.54-1288.54] 另外呢我們的營業稅
[1288.54-1291.54] 因為我們的存放款大額的一個增加
[1291.54-1294.54] 也就是說因稅的所得
[1294.54-1296.54] 因課稅的所得也大幅的成長
[1296.54-1299.54] 所以我們的營業稅的部分
[1299.54-1302.54] 也相較前一個年度大概就增加了5500萬
[1302.54-1306.54] 那其次我們去年3月有做了一個現金增資
[1306.54-1308.54] 那員工認股
[1308.54-1311.54] 也就是這個面額跟這個
[1311.54-1316.54] 跟實際發行那個價格那個差額呢
[1316.54-1320.54] 是要算成員工的一個薪資的一個費用
[1320.54-1323.54] 所以這個費用呢大概也佔了2900萬
[1323.54-1326.54] 所以為什麼我們去年整個營業稅
[1326.54-1329.54] 營業費用會相較這個前一個年度
[1329.54-1331.54] 會增加2億9千多萬
[1331.54-1334.54] 其實是剛剛講的這些主要的原因
[1334.54-1336.54] 一個8600萬捐獻
[1336.54-1338.54] 然後5500萬是稅
[1338.54-1340.54] 另外呢當然就是剛剛講的這個
[1340.54-1343.54] 現金增資的員工的認股費用
[1343.54-1346.54] 當然去年因為我們也有比照政府
[1346.54-1348.54] 有調薪了這個4%
[1348.54-1350.54] 所以相對的這個費用也有增加
[1350.54-1353.54] 好那另外我們看到待賬費用
[1353.54-1355.54] 那待賬費用各位可以看得到
[1356.54-1359.54] 就是一個0.66
[1359.54-1362.54] 那相較前一個年度是負的0.92
[1362.54-1364.54] 這是什麼意思咧
[1364.54-1368.54] 這個一來一回呢大概差距就是這個1億5千8
[1368.54-1370.54] 應該是這樣說前一個年度呢
[1370.54-1373.54] 我們的一些待賬的收回之後呢
[1373.54-1377.54] 大概還有部分可以充當盈餘
[1377.54-1380.54] 也就是有9千多萬充當盈餘
[1380.54-1383.54] 但是去年113年
[1383.54-1386.54] 我們不但沒有用這個待賬費用
[1386.54-1388.54] 我們還把待賬的收回充當盈餘
[1388.54-1392.54] 而且還實際上就是由這個淨收益裡面的
[1392.54-1394.54] 提了金額來提列備理待賬
[1394.54-1397.54] 所以這個是正的0.66的用意喔
[1397.54-1400.54] 那也跟各位做一個補充報告
[1400.54-1402.54] 這個簡報裡面是沒有
[1402.54-1406.54] 我們去年大概總共提了這個待賬
[1406.54-1410.54] 大概總待賬的費用大概5億5千多萬
[1410.54-1411.54] 5億5千多萬
[1411.54-1414.54] 那其中的這個3億5千5百萬
[1414.54-1416.54] 是因為我們去年放款
[1416.54-1417.54] 大幅的成長
[1417.54-1419.54] 因為主管機關有要求規定
[1419.54-1421.54] 就是說呢
[1421.54-1423.54] 放款的一個增加
[1423.54-1426.54] 必須提列備理待賬作為費用
[1426.54-1429.54] 那這個當然有分放款的種類不同
[1429.54-1432.54] 提列備理待賬的這個百分比不太一樣
[1432.54-1435.54] 如果是屬銀行法72條之二的
[1435.54-1438.54] 這個是要提列1.5%的一個待賬費用
[1438.54-1442.54] 那因為我們的去年的放款大幅成長
[1442.54-1445.54] 所以呢我們去年提列的這個備理待賬
[1445.54-1447.54] 5億9千多萬裡面呢
[1447.54-1449.54] 其中3億5千5百萬
[1449.54-1453.54] 就是因應因為我們的放款的增加
[1453.54-1454.54] 而增提了
[1454.54-1457.54] 實際打消這個待賬的部分
[1457.54-1460.54] 只有佔了1億9千4百萬
[1460.54-1462.54] 這個相較這個前一個年度呢
[1462.54-1464.54] 這個是增加非常多的
[1464.54-1468.54] 前一個年度我們的為了這個放款增加
[1468.54-1471.54] 多提列的備理待賬大概只有2億5
[1471.54-1474.54] 但是我們去年大概就是來到3億5千5
[1474.54-1477.54] 大概就多了1億3千萬左右
[1477.54-1480.54] 這個是待賬這個部分
[1480.54-1483.54] 好那我們的稅錢淨利呢
[1483.54-1485.54] 主要就是剛剛講的這個
[1485.54-1487.54] 淨收益扣掉了這個營業費用
[1487.54-1489.54] 跟這個提存待賬之後呢
[1489.54-1491.54] 這個就是我們的稅錢淨利
[1491.54-1494.54] 那我們相較前一個年度的12億0500萬
[1494.54-1497.54] 我們竟增加了這個1億1千萬
[1497.54-1501.54] 那這個成長的幅度大概就是9.61%
[1501.54-1503.54] 好接下來我們再看
[1503.54-1505.54] 下一個簡報
[1505.54-1507.54] 接下來是我們的一個放款
[1507.54-1510.54] 存放款的一個業務的一個平均預約的一個狀態
[1510.54-1514.54] 那由接下來要報告的這個
[1514.54-1516.54] 這個內容裡面呢
[1516.54-1518.54] 各位就可以了解
[1518.54-1521.54] 我們確實去年的一個存放款呢
[1521.54-1524.54] 確實有非常長足的一個進步
[1524.54-1526.54] 首先我們看到這個
[1526.54-1529.54] 綠色的是我們的存款的一個平均預約
[1529.54-1531.54] 我們可以看到去年第四季的時候
[1531.54-1533.54] 我們這個數字是來到2千萬
[1533.54-1535.54] 2千8百6十1億
[1535.54-1540.54] 那跟前一個年度的同期2千4百85億來看的話
[1540.54-1543.54] 我們竟增加了3百76億
[1543.54-1545.54] 也就是這個季度
[1545.54-1547.54] 這個季度跟這個季度比較的話
[1547.54-1549.54] 增加是這樣子
[1549.54-1552.54] 那這個表裡面沒有我用口頭補充的
[1552.54-1555.54] 如果是看到說我們全年
[1555.54-1558.54] 也就是說去年113年
[1558.54-1560.54] 全年的存款的平均預約
[1560.54-1563.54] 跟1百12年來比較的話
[1563.54-1568.54] 我們的存款大概竟增加了3百51億
[1568.54-1571.54] 全年的平均預約竟增加3百51億
[1571.54-1574.54] 如果我們單看去年的12月
[1574.54-1578.54] 也就是113年12月的一個存款的餘額
