[0.00-3.00] 好,謝謝各位
[610.00-613.00] 相較來講會比第三季稍微保守一點點
[613.00-619.00] 因為大部分的通路商都不希望把這個庫存堆到了隔年
[619.00-621.00] 所以整個來看其實會發現說
[621.00-626.00] 在二三年跟二四年的時候其實第三季的數字相較於來
[626.00-629.00] 相較於第四季來說都會比較高一點
[629.00-638.00] 那在資產負債表的話其實宏碁公司資產負債表都會是跟整個營運資金會比較直接有關
[638.00-645.00] 所以其實在我看我們的現金的部位大部分它都會是跟Working Capital會直接有連動性
[645.00-651.00] 那在六月底跟九月底來看你會看到一個現金的大幅增加的情況
[651.00-653.00] 那是因為我們在這個大部分的一個下降
[653.00-656.00] 主要的原因也是會反映在我們的AP的部分
[656.00-658.00] 就是應付賬款那一塊
[658.00-661.00] 那大家也會看到我們應付賬款有一個很大的下滑
[661.00-666.00] 那主要原因是因為剛好九月六月底的那一天其實是假日
[666.00-670.00] 所以導致我們有一些付款該付出去沒有付
[670.00-674.00] 那就會變成會有一個好像很大的一個波動
[674.00-677.00] 那事實上它就是因為有沒有放假的問題而已
[677.00-680.00] 那其他的部分其實我們大部分都是
[681.00-683.00] 蠻符合預期的
[683.00-685.00] 那十二月底的話雖然我現在沒有數字
[685.00-690.00] 但overall來講其實在存貨的部分我們都會降下來
[690.00-696.00] 特別是其實在九月底對六月底的時候我們的存貨已經有降下來
[696.00-702.00] 不管是成品的存貨或是關鍵零組件的存貨都是有下降的
[702.00-706.00] 那十二月的部分會在存貨部分會再下降更明顯一點
[706.00-708.00] 那剛這個營運資金會的部分呢
[708.00-710.00] 我們也有看到一個下降的情況
[711.00-714.00] 那這個營收分析其實剛剛有說過了
[714.00-716.00] 就還有產品別的分析有說過了
[716.00-719.00] 那大概就會是這個第三節狀況
